REGION,STORAGE,YEAR,VALUE
Greece,BATTERY_STORAGE,2023,107477.6759
Greece,BATTERY_STORAGE,2025,86091.17849
Greece,BATTERY_STORAGE,2030,68247.88468
Greece,BATTERY_STORAGE,2035,62045.61997
Greece,BATTERY_STORAGE,2040,55877.37965
Greece,BATTERY_STORAGE,2045,49751.01497
Greece,BATTERY_STORAGE,2050,43676.99411
Greece,BATTERY_STORAGE_NEW,2023,107477.6759
Greece,BATTERY_STORAGE_NEW,2025,86091.17849
Greece,BATTERY_STORAGE_NEW,2030,68247.88468
Greece,BATTERY_STORAGE_NEW,2035,62045.61997
Greece,BATTERY_STORAGE_NEW,2040,55877.37965
Greece,BATTERY_STORAGE_NEW,2045,49751.01497
Greece,BATTERY_STORAGE_NEW,2050,43676.99411
Crete,BATTERY_STORAGE,2023,107477.6759
Crete,BATTERY_STORAGE,2025,86091.17849
Crete,BATTERY_STORAGE,2030,68247.88468
Crete,BATTERY_STORAGE,2035,62045.61997
Crete,BATTERY_STORAGE,2040,55877.37965
Crete,BATTERY_STORAGE,2045,49751.01497
Crete,BATTERY_STORAGE,2050,43676.99411
Crete,BATTERY_STORAGE_NEW,2023,107477.6759
Crete,BATTERY_STORAGE_NEW,2025,86091.17849
Crete,BATTERY_STORAGE_NEW,2030,68247.88468
Crete,BATTERY_STORAGE_NEW,2035,62045.61997
Crete,BATTERY_STORAGE_NEW,2040,55877.37965
Crete,BATTERY_STORAGE_NEW,2045,49751.01497
Crete,BATTERY_STORAGE_NEW,2050,43676.99411
