REGION,TECHNOLOGY,VALUE
Greece,CoalExtraction,1
Crete,OilImports,1
Greece,NGImports,1
Greece,BiomassProduction,1
Greece,BiomassImports,1
Greece,ElectricityImports,31.536
Greece,BackStop,1
Greece,Elec_Network,31.536
Greece,Ag_Dimitriou_II,31.536
Greece,Ag_Dimitriou_III,31.536
Greece,Ag_Dimitriou_IV,31.536
Greece,Ag_Dimitriou_V,31.536
Greece,Ag_Dimitriou_I,31.536
Greece,Megalopolis_III,31.536
Greece,Megalopolis_IV,31.536
Greece,Melitis_I,31.536
Greece,Ptolemaidas_V,31.536
Greece,Iron_I,31.536
Greece,Iron_II,31.536
Greece,Iron_III,31.536
Greece,OCGT,31.536
Greece,ELPEDISON,31.536
Greece,KORINTHOS_POWER,31.536
Greece,PROTERGIA_CC,31.536
Greece,AIS_Aliveriou,31.536
Greece,AIS_Komotinis,31.536
Greece,AIS_Lavriou_IV,31.536
Greece,AIS_Lavriou_V,31.536
Greece,Alouminion,31.536
Greece,Energ_Thesalonikis,31.536
Greece,IronII_CCGT,31.536
Greece,THIS_Ag.Nikolaos,31.536
Greece,AIS_Megalopoli_V,31.536
Greece,CCGT,31.536
Crete,Atherinolakos,31.536
Crete,Atherinolakos_Diesel,31.536
Crete,Linoperamata,31.536
Crete,Xilokamara,31.536
Greece,Rodos,31.536
Greece,Lesvos,31.536
Greece,Kos_Kalymnos,31.536
Greece,Lemnos,31.536
Greece,Chios,31.536
Greece,Samos,31.536
Greece,Karpathos,31.536
Greece,Thira,31.536
Greece,Other_Cyclades,31.536
Greece,Other_Aegean,31.536
Greece,Agra,31.536
Greece,Asomaton,31.536
Greece,Edeseou,31.536
Greece,Ilariona,31.536
Greece,Kastrakiou,31.536
Greece,Kremaston,31.536
Greece,Ladona,31.536
Greece,Plastira,31.536
Greece,Pigwn_Aoou,31.536
Greece,Platanovrisis,31.536
Greece,Polifitou,31.536
Greece,Pournarou_I,31.536
Greece,Pournarou_II,31.536
Greece,Stratou_I,31.536
Greece,HydroStor,31.536
Greece,RoR_Ex,31.536
Greece,RoR,31.536
Greece,Wind_Ex,31.536
Greece,Wind,31.536
Greece,PV_Ex,31.536
Greece,PV,31.536
Greece,RooftopPV_Ex,31.536
Greece,RooftopPV,31.536
Greece,Biomass_Ex,31.536
Greece,Biomass,31.536
Greece,Geothermal_HI,31.536
Greece,Geothermal_ME,31.536
Greece,OffshoreWind,31.536
Greece,Batteries,31.536
Greece,Biomass_CCS,31.536
Greece,Gas_CCS,31.536
Greece,Batteries_New,31.536
Crete,Elec_Network,31.536
Crete,RoR_Ex,31.536
Crete,RoR,31.536
Crete,Wind_Ex,31.536
Crete,Wind,31.536
Crete,PV_Ex,31.536
Crete,PV,31.536
Crete,RooftopPV_Ex,31.536
Crete,RooftopPV,31.536
Crete,Batteries_New,31.536
Crete,OffshoreWind,31.536
