REGION,TECHNOLOGY,YEAR,VALUE
Greece,BackStop,2023,99999
Greece,BackStop,2025,99999
Greece,BackStop,2030,99999
Greece,BackStop,2035,99999
Greece,BackStop,2040,99999
Greece,BackStop,2045,99999
Greece,BackStop,2050,99999
Greece,Batteries,2023,359.2827058
Greece,Batteries,2025,311.3593197
Greece,Batteries,2030,317.3839866
Greece,Batteries,2035,306.440749
Greece,Batteries,2040,295.0258889
Greece,Batteries,2045,283.0305775
Greece,Batteries,2050,270.3097124
Greece,Batteries_New,2023,359.2827058
Greece,Batteries_New,2025,311.3593197
Greece,Batteries_New,2030,317.3839866
Greece,Batteries_New,2035,306.440749
Greece,Batteries_New,2040,295.0258889
Greece,Batteries_New,2045,283.0305775
Greece,Batteries_New,2050,270.3097124
Greece,Biomass,2023,2387.5
Greece,Biomass,2025,2362.5
Greece,Biomass,2030,2300
Greece,Biomass,2035,2275
Greece,Biomass,2040,2250
Greece,Biomass,2045,2225
Greece,Biomass,2050,2200
Greece,Biomass_CCS,2023,5675
Greece,Biomass_CCS,2025,5450
Greece,Biomass_CCS,2030,5150
Greece,Biomass_CCS,2035,4913
Greece,Biomass_CCS,2040,4675
Greece,Biomass_CCS,2045,4438
Greece,Biomass_CCS,2050,4200
Greece,CCGT,2023,1000
Greece,CCGT,2025,1000
Greece,CCGT,2030,1000
Greece,CCGT,2035,1000
Greece,CCGT,2040,1000
Greece,CCGT,2045,1000
Greece,CCGT,2050,1000
Greece,Elec_Network,2023,994.51
Greece,Elec_Network,2025,994.51
Greece,Elec_Network,2030,994.51
Greece,Elec_Network,2035,994.51
Greece,Elec_Network,2040,994.51
Greece,Elec_Network,2045,994.51
Greece,Elec_Network,2050,994.51
Greece,Gas_CCS,2023,3019
Greece,Gas_CCS,2025,2856
Greece,Gas_CCS,2030,2450
Greece,Gas_CCS,2035,2363
Greece,Gas_CCS,2040,2275
Greece,Gas_CCS,2045,2188
Greece,Gas_CCS,2050,2100
Greece,Geothermal_HI,2023,2825
Greece,Geothermal_HI,2025,2775
Greece,Geothermal_HI,2030,2650
Greece,Geothermal_HI,2035,2600
Greece,Geothermal_HI,2040,2550
Greece,Geothermal_HI,2045,2500
Greece,Geothermal_HI,2050,2450
Greece,Geothermal_ME,2023,2675
Greece,Geothermal_ME,2025,2751
Greece,Geothermal_ME,2030,2940
Greece,Geothermal_ME,2035,2953
Greece,Geothermal_ME,2040,2968
Greece,Geothermal_ME,2045,2982
Greece,Geothermal_ME,2050,2996
Greece,HydroStor,2023,2650
Greece,HydroStor,2025,2650
Greece,HydroStor,2030,2650
Greece,HydroStor,2035,2650
Greece,HydroStor,2040,2650
Greece,HydroStor,2045,2650
Greece,HydroStor,2050,2650
Greece,OCGT,2023,500
Greece,OCGT,2025,500
Greece,OCGT,2030,500
Greece,OCGT,2035,500
Greece,OCGT,2040,500
Greece,OCGT,2045,500
Greece,OCGT,2050,500
Crete,OffshoreWind,2023,3120
Crete,OffshoreWind,2025,2840
Crete,OffshoreWind,2030,2140
Crete,OffshoreWind,2035,1965
Crete,OffshoreWind,2040,1790
Crete,OffshoreWind,2045,1615
Crete,OffshoreWind,2050,1440
Crete,PV,2023,750
Crete,PV,2025,667
Crete,PV,2030,460
Crete,PV,2035,425
Crete,PV,2040,390
Crete,PV,2045,355
Crete,PV,2050,320
Crete,RooftopPV,2023,1255
Crete,RooftopPV,2025,1125
Crete,RooftopPV,2030,800
Crete,RooftopPV,2035,743
Crete,RooftopPV,2040,685
Crete,RooftopPV,2045,628
Crete,RooftopPV,2050,570
Crete,RoR,2023,3900
Crete,RoR,2025,3900
Crete,RoR,2030,3900
Crete,RoR,2035,3888
Crete,RoR,2040,3875
Crete,RoR,2045,3863
Crete,RoR,2050,3850
Crete,Wind,2023,1630
Crete,Wind,2025,1601
Crete,Wind,2030,1530
Crete,Wind,2035,1509
Crete,Wind,2040,1487
Crete,Wind,2045,1466
Crete,Wind,2050,1444
Crete,Elec_Network,2023,994.51
Crete,Elec_Network,2025,994.51
Crete,Elec_Network,2030,994.51
Crete,Elec_Network,2035,994.51
Crete,Elec_Network,2040,994.51
Crete,Elec_Network,2045,994.51
Crete,Elec_Network,2050,994.51
Crete,Batteries_New,2023,359.2827058
Crete,Batteries_New,2025,311.3593197
Crete,Batteries_New,2030,317.3839866
Crete,Batteries_New,2035,306.440749
Crete,Batteries_New,2040,295.0258889
Crete,Batteries_New,2045,283.0305775
Crete,Batteries_New,2050,270.3097124
Greece,OffshoreWind,2023,3120
Greece,OffshoreWind,2025,2840
Greece,OffshoreWind,2030,2140
Greece,OffshoreWind,2035,1965
Greece,OffshoreWind,2040,1790
Greece,OffshoreWind,2045,1615
Greece,OffshoreWind,2050,1440
Greece,PV,2023,750
Greece,PV,2025,667
Greece,PV,2030,460
Greece,PV,2035,425
Greece,PV,2040,390
Greece,PV,2045,355
Greece,PV,2050,320
Greece,RooftopPV,2023,1255
Greece,RooftopPV,2025,1125
Greece,RooftopPV,2030,800
Greece,RooftopPV,2035,743
Greece,RooftopPV,2040,685
Greece,RooftopPV,2045,628
Greece,RooftopPV,2050,570
Greece,RoR,2023,3900
Greece,RoR,2025,3900
Greece,RoR,2030,3900
Greece,RoR,2035,3888
Greece,RoR,2040,3875
Greece,RoR,2045,3863
Greece,RoR,2050,3850
Greece,Wind,2023,1630
Greece,Wind,2025,1601
Greece,Wind,2030,1530
Greece,Wind,2035,1509
Greece,Wind,2040,1487
Greece,Wind,2045,1466
Greece,Wind,2050,1444
