REGION,STORAGE,YEAR,VALUE
Greece,BATTERY_STORAGE,2023,0.85
Greece,BATTERY_STORAGE,2025,0.85
Greece,BATTERY_STORAGE,2030,0.85
Greece,BATTERY_STORAGE,2035,0.85
Greece,BATTERY_STORAGE,2040,0.85
Greece,BATTERY_STORAGE,2045,0.85
Greece,BATTERY_STORAGE,2050,0.85
Greece,BATTERY_STORAGE_NEW,2023,0.85
Greece,BATTERY_STORAGE_NEW,2025,0.85
Greece,BATTERY_STORAGE_NEW,2030,0.85
Greece,BATTERY_STORAGE_NEW,2035,0.85
Greece,BATTERY_STORAGE_NEW,2040,0.85
Greece,BATTERY_STORAGE_NEW,2045,0.85
Greece,BATTERY_STORAGE_NEW,2050,0.85
Crete,BATTERY_STORAGE,2023,0.85
Crete,BATTERY_STORAGE,2025,0.85
Crete,BATTERY_STORAGE,2030,0.85
Crete,BATTERY_STORAGE,2035,0.85
Crete,BATTERY_STORAGE,2040,0.85
Crete,BATTERY_STORAGE,2045,0.85
Crete,BATTERY_STORAGE,2050,0.85
Crete,BATTERY_STORAGE_NEW,2023,0.85
Crete,BATTERY_STORAGE_NEW,2025,0.85
Crete,BATTERY_STORAGE_NEW,2030,0.85
Crete,BATTERY_STORAGE_NEW,2035,0.85
Crete,BATTERY_STORAGE_NEW,2040,0.85
Crete,BATTERY_STORAGE_NEW,2045,0.85
Crete,BATTERY_STORAGE_NEW,2050,0.85
