REGION,TECHNOLOGY,YEAR,VALUE
Greece,Ag_Dimitriou_I,2023,42.36611974
Greece,Ag_Dimitriou_I,2025,42.36611974
Greece,Ag_Dimitriou_I,2030,42.36611974
Greece,Ag_Dimitriou_I,2035,42.36611974
Greece,Ag_Dimitriou_I,2040,42.36611974
Greece,Ag_Dimitriou_I,2045,42.36611974
Greece,Ag_Dimitriou_I,2050,42.36611974
Greece,Ag_Dimitriou_II,2023,42.59028809
Greece,Ag_Dimitriou_II,2025,42.59028809
Greece,Ag_Dimitriou_II,2030,42.59028809
Greece,Ag_Dimitriou_II,2035,42.59028809
Greece,Ag_Dimitriou_II,2040,42.59028809
Greece,Ag_Dimitriou_II,2045,42.59028809
Greece,Ag_Dimitriou_II,2050,42.59028809
Greece,Ag_Dimitriou_III,2023,47.31844222
Greece,Ag_Dimitriou_III,2025,47.31844222
Greece,Ag_Dimitriou_III,2030,47.31844222
Greece,Ag_Dimitriou_III,2035,47.31844222
Greece,Ag_Dimitriou_III,2040,47.31844222
Greece,Ag_Dimitriou_III,2045,47.31844222
Greece,Ag_Dimitriou_III,2050,47.31844222
Greece,Ag_Dimitriou_IV,2023,42.51038644
Greece,Ag_Dimitriou_IV,2025,42.51038644
Greece,Ag_Dimitriou_IV,2030,42.51038644
Greece,Ag_Dimitriou_IV,2035,42.51038644
Greece,Ag_Dimitriou_IV,2040,42.51038644
Greece,Ag_Dimitriou_IV,2045,42.51038644
Greece,Ag_Dimitriou_IV,2050,42.51038644
Greece,Ag_Dimitriou_V,2023,42.2156215
Greece,Ag_Dimitriou_V,2025,42.2156215
Greece,Ag_Dimitriou_V,2030,42.2156215
Greece,Ag_Dimitriou_V,2035,42.2156215
Greece,Ag_Dimitriou_V,2040,42.2156215
Greece,Ag_Dimitriou_V,2045,42.2156215
Greece,Ag_Dimitriou_V,2050,42.2156215
Greece,Agra,2023,60
Greece,Agra,2025,60
Greece,Agra,2030,60
Greece,Agra,2035,60
Greece,Agra,2040,60
Greece,Agra,2045,60
Greece,Agra,2050,60
Greece,AIS_Aliveriou,2023,27.51716414
Greece,AIS_Aliveriou,2025,27.51716414
