REGION,TECHNOLOGY,VALUE
Greece,CoalExtraction,40
Greece,OilImports,40
Greece,NGImports,40
Greece,BiomassProduction,40
Greece,BiomassImports,40
Greece,ElectricityImports,40
Greece,BackStop,1
Greece,Elec_Network,40
Greece,Ag_Dimitriou_II,40
Greece,Ag_Dimitriou_III,40
Greece,Ag_Dimitriou_IV,40
Greece,Ag_Dimitriou_V,40
Greece,Ag_Dimitriou_I,40
Greece,Megalopolis_III,40
Greece,Megalopolis_IV,40
Greece,Melitis_I,40
Greece,Ptolemaidas_V,40
Greece,Iron_I,30
Greece,Iron_II,30
Greece,Iron_III,30
Greece,OCGT,30
Greece,ELPEDISON,30
Greece,KORINTHOS_POWER,30
Greece,PROTERGIA_CC,30
Greece,AIS_Aliveriou,30
Greece,AIS_Komotinis,30
Greece,AIS_Lavriou_IV,30
Greece,AIS_Lavriou_V,30
Greece,Alouminion,30
Greece,Energ_Thesalonikis,30
Greece,IronII_CCGT,30
Greece,THIS_Ag.Nikolaos,30
Greece,AIS_Megalopoli_V,30
Greece,CCGT,30
Crete,Atherinolakos,30
Crete,Atherinolakos_Diesel,30
Crete,Linoperamata,30
Crete,Xilokamara,30
Greece,Rodos,30
Greece,Lesvos,30
Greece,Kos_Kalymnos,30
Greece,Lemnos,30
Greece,Chios,30
Greece,Samos,30
Greece,Karpathos,30
Greece,Thira,30
Greece,Other_Cyclades,30
Greece,Other_Aegean,30
Greece,Agra,60
Greece,Asomaton,60
Greece,Edeseou,60
Greece,Ilariona,60
Greece,Kastrakiou,60
Greece,Kremaston,60
Greece,Ladona,60
Greece,Plastira,60
Greece,Pigwn_Aoou,60
Greece,Platanovrisis,60
Greece,Polifitou,60
Greece,Pournarou_I,60
Greece,Pournarou_II,60
Greece,Stratou_I,60
Greece,HydroStor,60
Greece,RoR_Ex,60
Greece,RoR,60
Greece,Wind_Ex,30
Greece,Wind,30
Greece,PV_Ex,30
Greece,PV,30
Greece,RooftopPV_Ex,30
Greece,RooftopPV,30
Greece,Biomass_Ex,40
Greece,Biomass,40
Greece,Geothermal_HI,60
Greece,Geothermal_ME,60
Greece,OffshoreWind,30
Greece,Batteries,35
Greece,Batteries_New,35
Greece,Biomass_CCS,35
Greece,Gas_CCS,30
Crete,OffshoreWind,30
Crete,Batteries,35
Crete,Batteries_New,35
Crete,RoR_Ex,60
Crete,RoR,60
Crete,Wind_Ex,30
Crete,Wind,30
Crete,PV_Ex,30
Crete,PV,30
Crete,RooftopPV_Ex,30
Crete,RooftopPV,30
Crete,Elec_Network,40
