REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
Greece,Ag_Dimitriou_I,Elec_Transmission,1,2023,1
Greece,Ag_Dimitriou_I,Elec_Transmission,1,2025,1
Greece,Ag_Dimitriou_I,Elec_Transmission,1,2030,1
Greece,Ag_Dimitriou_I,Elec_Transmission,1,2035,1
Greece,Ag_Dimitriou_I,Elec_Transmission,1,2040,1
Greece,Ag_Dimitriou_I,Elec_Transmission,1,2045,1
Greece,Ag_Dimitriou_I,Elec_Transmission,1,2050,1
Greece,Ag_Dimitriou_II,Elec_Transmission,1,2023,1
Greece,Ag_Dimitriou_II,Elec_Transmission,1,2025,1
Greece,Ag_Dimitriou_II,Elec_Transmission,1,2030,1
Greece,Ag_Dimitriou_II,Elec_Transmission,1,2035,1
Greece,Ag_Dimitriou_II,Elec_Transmission,1,2040,1
Greece,Ag_Dimitriou_II,Elec_Transmission,1,2045,1
Greece,Ag_Dimitriou_II,Elec_Transmission,1,2050,1
Greece,Ag_Dimitriou_III,Elec_Transmission,1,2023,1
Greece,Ag_Dimitriou_III,Elec_Transmission,1,2025,1
Greece,Ag_Dimitriou_III,Elec_Transmission,1,2030,1
Greece,Ag_Dimitriou_III,Elec_Transmission,1,2035,1
Greece,Ag_Dimitriou_III,Elec_Transmission,1,2040,1
Greece,Ag_Dimitriou_III,Elec_Transmission,1,2045,1
Greece,Ag_Dimitriou_III,Elec_Transmission,1,2050,1
Greece,Ag_Dimitriou_IV,Elec_Transmission,1,2023,1
Greece,Ag_Dimitriou_IV,Elec_Transmission,1,2025,1
Greece,Ag_Dimitriou_IV,Elec_Transmission,1,2030,1
Greece,Ag_Dimitriou_IV,Elec_Transmission,1,2035,1
Greece,Ag_Dimitriou_IV,Elec_Transmission,1,2040,1
Greece,Ag_Dimitriou_IV,Elec_Transmission,1,2045,1
Greece,Ag_Dimitriou_IV,Elec_Transmission,1,2050,1
Greece,Ag_Dimitriou_V,Elec_Transmission,1,2023,1
Greece,Ag_Dimitriou_V,Elec_Transmission,1,2025,1
Greece,Ag_Dimitriou_V,Elec_Transmission,1,2030,1
Greece,Ag_Dimitriou_V,Elec_Transmission,1,2035,1
