REGION,INTERCONNECTION,TIMESLICE,YEAR,VALUE
Greece,ALBANIA,m1_d1_t1,2023,21.45195088
Greece,ALBANIA,m1_d1_t2,2023,21.45195088
Greece,ALBANIA,m1_d1_t3,2023,20.24747658
Greece,ALBANIA,m1_d1_t4,2023,19.31906428
Greece,ALBANIA,m1_d1_t5,2023,17.54839916
Greece,ALBANIA,m1_d1_t6,2023,18.26932538
Greece,ALBANIA,m1_d1_t7,2023,21.45195088
Greece,ALBANIA,m1_d1_t8,2023,21.10027955
Greece,ALBANIA,m1_d1_t9,2023,21.45195088
Greece,ALBANIA,m1_d1_t10,2023,20.49892158
Greece,ALBANIA,m1_d1_t11,2023,19.98548145
Greece,ALBANIA,m1_d1_t12,2023,18.15151548
Greece,ALBANIA,m1_d1_t13,2023,17.78050223
Greece,ALBANIA,m1_d1_t14,2023,17.10529329
Greece,ALBANIA,m1_d1_t15,2023,21.45195088
Greece,ALBANIA,m1_d1_t16,2023,21.45195088
Greece,ALBANIA,m1_d1_t17,2023,22.75313478
Greece,ALBANIA,m1_d1_t18,2023,24.12992802
Greece,ALBANIA,m1_d1_t19,2023,24.52379991
Greece,ALBANIA,m1_d1_t20,2023,24.42005687
Greece,ALBANIA,m1_d1_t21,2023,23.3562511
Greece,ALBANIA,m1_d1_t22,2023,22.00759157
Greece,ALBANIA,m1_d1_t23,2023,21.45195088
Greece,ALBANIA,m1_d1_t24,2023,21.45195088
Greece,ALBANIA,m1_d2_t1,2023,22.85863618
Greece,ALBANIA,m1_d2_t2,2023,21.97945786
Greece,ALBANIA,m1_d2_t3,2023,12.20123665
Greece,ALBANIA,m1_d2_t4,2023,10.99148729
Greece,ALBANIA,m1_d2_t5,2023,10.49211401
Greece,ALBANIA,m1_d2_t6,2023,10.09824212
Greece,ALBANIA,m1_d2_t7,2023,18.71067289
Greece,ALBANIA,m1_d2_t8,2023,20.94906088
Greece,ALBANIA,m1_d2_t9,2023,28.13370607
Greece,ALBANIA,m1_d2_t10,2023,27.25452775
Greece,ALBANIA,m1_d2_t11,2023,19.52655037
Greece,ALBANIA,m1_d2_t12,2023,18.93398418
Greece,ALBANIA,m1_d2_t13,2023,18.97090967
Greece,ALBANIA,m1_d2_t14,2023,18.40823555
Greece,ALBANIA,m1_d2_t15,2023,26.37534944
Greece,ALBANIA,m1_d2_t16,2023,30.77124101
Greece,ALBANIA,m1_d2_t17,2023,21.22336451
Greece,ALBANIA,m1_d2_t18,2023,22.21507765
Greece,ALBANIA,m1_d2_t19,2023,22.79885205
Greece,ALBANIA,m1_d2_t20,2023,21.43612567
Greece,ALBANIA,m1_d2_t21,2023,29.01288438
Greece,ALBANIA,m1_d2_t22,2023,20.4901298
Greece,ALBANIA,m1_d2_t23,2023,18.84606635
Greece,ALBANIA,m1_d2_t24,2023,16.94000777
Greece,ALBANIA,m1_d3_t1,2023,28.56450344
Greece,ALBANIA,m1_d3_t2,2023,27.20177705
Greece,ALBANIA,m1_d3_t3,2023,25.81619203
Greece,ALBANIA,m1_d3_t4,2023,21.43612567
Greece,ALBANIA,m1_d3_t5,2023,21.43612567
Greece,ALBANIA,m1_d3_t6,2023,21.43612567
Greece,ALBANIA,m1_d3_t7,2023,40.79739051
Greece,ALBANIA,m1_d3_t8,2023,37.72554148
Greece,ALBANIA,m1_d3_t9,2023,52.75069887
Greece,ALBANIA,m1_d3_t10,2023,45.26185799
Greece,ALBANIA,m1_d3_t11,2023,36.22214656
Greece,ALBANIA,m1_d3_t12,2023,36.22214656
