REGION,INTERCONNECTION,FUEL,YEAR,VALUE
Greece,ALBANIA,Elec_Transmission,2023,1.483
Greece,BULGARIA,Elec_Transmission,2023,3.28
Greece,ITALY,Elec_Transmission,2023,0.5
Greece,NORTH_MACEDONIA,Elec_Transmission,2023,2.7
Greece,TURKEY,Elec_Transmission,2023,1.93
Greece,ALBANIA,Elec_Transmission,2025,1.483
Greece,BULGARIA,Elec_Transmission,2025,3.28
Greece,ITALY,Elec_Transmission,2025,0.5
Greece,NORTH_MACEDONIA,Elec_Transmission,2025,2.7
Greece,TURKEY,Elec_Transmission,2025,1.93
Greece,ALBANIA,Elec_Transmission,2030,1.483
Greece,BULGARIA,Elec_Transmission,2030,3.28
Greece,ITALY,Elec_Transmission,2030,0.5
Greece,NORTH_MACEDONIA,Elec_Transmission,2030,2.7
Greece,TURKEY,Elec_Transmission,2030,1.93
Greece,ALBANIA,Elec_Transmission,2035,1.483
Greece,BULGARIA,Elec_Transmission,2035,3.28
Greece,ITALY,Elec_Transmission,2035,0.5
Greece,NORTH_MACEDONIA,Elec_Transmission,2035,2.7
Greece,TURKEY,Elec_Transmission,2035,1.93
Greece,ALBANIA,Elec_Transmission,2040,1.483
Greece,BULGARIA,Elec_Transmission,2040,3.28
Greece,ITALY,Elec_Transmission,2040,0.5
Greece,NORTH_MACEDONIA,Elec_Transmission,2040,2.7
Greece,TURKEY,Elec_Transmission,2040,1.93
Greece,ALBANIA,Elec_Transmission,2045,1.483
Greece,BULGARIA,Elec_Transmission,2045,3.28
Greece,ITALY,Elec_Transmission,2045,0.5
Greece,NORTH_MACEDONIA,Elec_Transmission,2045,2.7
Greece,TURKEY,Elec_Transmission,2045,1.93
Greece,ALBANIA,Elec_Transmission,2050,1.483
Greece,BULGARIA,Elec_Transmission,2050,3.28
Greece,ITALY,Elec_Transmission,2050,0.5
Greece,NORTH_MACEDONIA,Elec_Transmission,2050,2.7
Greece,TURKEY,Elec_Transmission,2050,1.93
