REGION,STORAGE,YEAR,VALUE
Greece,BATTERY_STORAGE,2023,0.005039
Greece,BATTERY_STORAGE,2025,0.005039
Greece,BATTERY_STORAGE,2030,0.005039
Greece,BATTERY_STORAGE,2035,0.005039
Greece,BATTERY_STORAGE,2040,0.005039
Greece,BATTERY_STORAGE,2045,0.005039
Greece,BATTERY_STORAGE,2050,0.005039
Crete,BATTERY_STORAGE,2023,0
Crete,BATTERY_STORAGE,2025,0
Crete,BATTERY_STORAGE,2030,0
Crete,BATTERY_STORAGE,2035,0
Crete,BATTERY_STORAGE,2040,0
Crete,BATTERY_STORAGE,2045,0
Crete,BATTERY_STORAGE,2050,0
