REGION,HYDROTECHS,SEASON,YEAR,VALUE
Greece,Agra,1,2023,0.17027812
Greece,Agra,2,2023,0.150170048
Greece,Agra,3,2023,0.079824133
Greece,Agra,4,2023,0.077478864
Greece,Agra,5,2023,0.079030318
Greece,Agra,6,2023,0.162441593
Greece,Agra,7,2023,0.196518196
Greece,Agra,8,2023,0.201003863
Greece,Agra,9,2023,0.17082437
Greece,Agra,10,2023,0.206131296
Greece,Agra,11,2023,0.130781439
Greece,Agra,12,2023,0.239320224
Greece,Asomaton,1,2023,0.17027812
Greece,Asomaton,2,2023,0.150170048
Greece,Asomaton,3,2023,0.079824133
Greece,Asomaton,4,2023,0.077478864
Greece,Asomaton,5,2023,0.079030318
Greece,Asomaton,6,2023,0.162441593
Greece,Asomaton,7,2023,0.196518196
Greece,Asomaton,8,2023,0.201003863
Greece,Asomaton,9,2023,0.17082437
Greece,Asomaton,10,2023,0.206131296
Greece,Asomaton,11,2023,0.130781439
Greece,Asomaton,12,2023,0.239320224
Greece,Edeseou,1,2023,0.17027812
Greece,Edeseou,2,2023,0.150170048
Greece,Edeseou,3,2023,0.079824133
Greece,Edeseou,4,2023,0.077478864
Greece,Edeseou,5,2023,0.079030318
Greece,Edeseou,6,2023,0.162441593
Greece,Edeseou,7,2023,0.196518196
Greece,Edeseou,8,2023,0.201003863
Greece,Edeseou,9,2023,0.17082437
Greece,Edeseou,10,2023,0.206131296
Greece,Edeseou,11,2023,0.130781439
Greece,Edeseou,12,2023,0.239320224
Greece,HydroStor,1,2023,0.17027812
Greece,HydroStor,2,2023,0.150170048
Greece,HydroStor,3,2023,0.079824133
Greece,HydroStor,4,2023,0.077478864
Greece,HydroStor,5,2023,0.079030318
Greece,HydroStor,6,2023,0.162441593
Greece,HydroStor,7,2023,0.196518196
Greece,HydroStor,8,2023,0.201003863
Greece,HydroStor,9,2023,0.17082437
Greece,HydroStor,10,2023,0.206131296
Greece,HydroStor,11,2023,0.130781439
Greece,HydroStor,12,2023,0.239320224
Greece,Ilariona,1,2023,0.17027812
Greece,Ilariona,2,2023,0.150170048
Greece,Ilariona,3,2023,0.079824133
Greece,Ilariona,4,2023,0.077478864
Greece,Ilariona,5,2023,0.079030318
Greece,Ilariona,6,2023,0.162441593
Greece,Ilariona,7,2023,0.196518196
Greece,Ilariona,8,2023,0.201003863
Greece,Ilariona,9,2023,0.17082437
Greece,Ilariona,10,2023,0.206131296
Greece,Ilariona,11,2023,0.130781439
Greece,Ilariona,12,2023,0.239320224
Greece,Kastrakiou,1,2023,0.17027812
Greece,Kastrakiou,2,2023,0.150170048
Greece,Kastrakiou,3,2023,0.079824133
Greece,Kastrakiou,4,2023,0.077478864
Greece,Kastrakiou,5,2023,0.079030318
Greece,Kastrakiou,6,2023,0.162441593
Greece,Kastrakiou,7,2023,0.196518196
Greece,Kastrakiou,8,2023,0.201003863
Greece,Kastrakiou,9,2023,0.17082437
Greece,Kastrakiou,10,2023,0.206131296
Greece,Kastrakiou,11,2023,0.130781439
Greece,Kastrakiou,12,2023,0.239320224
Greece,Kremaston,1,2023,0.17027812
Greece,Kremaston,2,2023,0.150170048
Greece,Kremaston,3,2023,0.079824133
Greece,Kremaston,4,2023,0.077478864
Greece,Kremaston,5,2023,0.079030318
Greece,Kremaston,6,2023,0.162441593
Greece,Kremaston,7,2023,0.196518196
Greece,Kremaston,8,2023,0.201003863
Greece,Kremaston,9,2023,0.17082437
Greece,Kremaston,10,2023,0.206131296
Greece,Kremaston,11,2023,0.130781439
Greece,Kremaston,12,2023,0.239320224
Greece,Ladona,1,2023,0.17027812
Greece,Ladona,2,2023,0.150170048
Greece,Ladona,3,2023,0.079824133
Greece,Ladona,4,2023,0.077478864
Greece,Ladona,5,2023,0.079030318
Greece,Ladona,6,2023,0.162441593
Greece,Ladona,7,2023,0.196518196
Greece,Ladona,8,2023,0.201003863
Greece,Ladona,9,2023,0.17082437
Greece,Ladona,10,2023,0.206131296
Greece,Ladona,11,2023,0.130781439
Greece,Ladona,12,2023,0.239320224
Greece,Pigwn_Aoou,1,2023,0.17027812
Greece,Pigwn_Aoou,2,2023,0.150170048
