REGION,FUEL,YEAR,VALUE
Greece,Elec_Demand,2023,177.7260143
Greece,Elec_Demand,2025,203.9874997
Greece,Elec_Demand,2030,269.6412132
Greece,Elec_Demand,2035,267.0417157
Greece,Elec_Demand,2040,285.2826857
Greece,Elec_Demand,2045,297.9852371
Greece,Elec_Demand,2050,329.1633731
Crete,Elec_Demand,2023,11.300652
Crete,Elec_Demand,2025,11.300652
Crete,Elec_Demand,2030,17.14505064
Crete,Elec_Demand,2035,16.97976242
Crete,Elec_Demand,2040,18.13960869
Crete,Elec_Demand,2045,18.94729637
Crete,Elec_Demand,2050,20.92974821
