REGION,FUEL,TIMESLICE,YEAR,VALUE
Greece,Elec_Demand,m1_d1_t1,2023,9.70E-05
Greece,Elec_Demand,m1_d1_t2,2023,9.47E-05
Greece,Elec_Demand,m1_d1_t3,2023,9.31E-05
Greece,Elec_Demand,m1_d1_t4,2023,9.81E-05
Greece,Elec_Demand,m1_d1_t5,2023,0.000108424
Greece,Elec_Demand,m1_d1_t6,2023,0.000123971
Greece,Elec_Demand,m1_d1_t7,2023,0.000136688
Greece,Elec_Demand,m1_d1_t8,2023,0.000149855
Greece,Elec_Demand,m1_d1_t9,2023,0.000154165
Greece,Elec_Demand,m1_d1_t10,2023,0.000159204
Greece,Elec_Demand,m1_d1_t11,2023,0.000162164
Greece,Elec_Demand,m1_d1_t12,2023,0.00015869
Greece,Elec_Demand,m1_d1_t13,2023,0.000153286
Greece,Elec_Demand,m1_d1_t14,2023,0.000148761
Greece,Elec_Demand,m1_d1_t15,2023,0.000147646
Greece,Elec_Demand,m1_d1_t16,2023,0.000146852
Greece,Elec_Demand,m1_d1_t17,2023,0.000155366
Greece,Elec_Demand,m1_d1_t18,2023,0.000156502
Greece,Elec_Demand,m1_d1_t19,2023,0.000152792
Greece,Elec_Demand,m1_d1_t20,2023,0.00014207
Greece,Elec_Demand,m1_d1_t21,2023,0.000131884
Greece,Elec_Demand,m1_d1_t22,2023,0.000120238
Greece,Elec_Demand,m1_d1_t23,2023,0.00010881
Greece,Elec_Demand,m1_d1_t24,2023,1.00E-04
Greece,Elec_Demand,m1_d2_t1,2023,9.34E-05
Greece,Elec_Demand,m1_d2_t2,2023,9.02E-05
Greece,Elec_Demand,m1_d2_t3,2023,8.86E-05
Greece,Elec_Demand,m1_d2_t4,2023,9.21E-05
Greece,Elec_Demand,m1_d2_t5,2023,0.000101712
Greece,Elec_Demand,m1_d2_t6,2023,0.000119768
Greece,Elec_Demand,m1_d2_t7,2023,0.000129782
Greece,Elec_Demand,m1_d2_t8,2023,0.000137803
Greece,Elec_Demand,m1_d2_t9,2023,0.000139432
Greece,Elec_Demand,m1_d2_t10,2023,0.000138875
Greece,Elec_Demand,m1_d2_t11,2023,0.000140162
Greece,Elec_Demand,m1_d2_t12,2023,0.000140097
Greece,Elec_Demand,m1_d2_t13,2023,0.000137138
Greece,Elec_Demand,m1_d2_t14,2023,0.000138596
Greece,Elec_Demand,m1_d2_t15,2023,0.000136923
Greece,Elec_Demand,m1_d2_t16,2023,0.000140741
Greece,Elec_Demand,m1_d2_t17,2023,0.000149469
Greece,Elec_Demand,m1_d2_t18,2023,0.000150991
Greece,Elec_Demand,m1_d2_t19,2023,0.000148268
Greece,Elec_Demand,m1_d2_t20,2023,0.000138575
Greece,Elec_Demand,m1_d2_t21,2023,0.000125965
Greece,Elec_Demand,m1_d2_t22,2023,0.00011357
Greece,Elec_Demand,m1_d2_t23,2023,9.93E-05
Greece,Elec_Demand,m1_d2_t24,2023,9.08E-05
Greece,Elec_Demand,m1_d3_t1,2023,8.78E-05
Greece,Elec_Demand,m1_d3_t2,2023,8.28E-05
Greece,Elec_Demand,m1_d3_t3,2023,8.12E-05
Greece,Elec_Demand,m1_d3_t4,2023,8.27E-05
Greece,Elec_Demand,m1_d3_t5,2023,8.83E-05
Greece,Elec_Demand,m1_d3_t6,2023,9.59E-05
Greece,Elec_Demand,m1_d3_t7,2023,0.000104306
Greece,Elec_Demand,m1_d3_t8,2023,0.000112455
Greece,Elec_Demand,m1_d3_t9,2023,0.000119103
Greece,Elec_Demand,m1_d3_t10,2023,0.000120797
Greece,Elec_Demand,m1_d3_t11,2023,0.000120754
Greece,Elec_Demand,m1_d3_t12,2023,0.000121333
Greece,Elec_Demand,m1_d3_t13,2023,0.000116358
Greece,Elec_Demand,m1_d3_t14,2023,0.000118631
Greece,Elec_Demand,m1_d3_t15,2023,0.000117666
Greece,Elec_Demand,m1_d3_t16,2023,0.000120454
Greece,Elec_Demand,m1_d3_t17,2023,0.000131584
Greece,Elec_Demand,m1_d3_t18,2023,0.000131284
Greece,Elec_Demand,m1_d3_t19,2023,0.000127852
Greece,Elec_Demand,m1_d3_t20,2023,0.000119553
Greece,Elec_Demand,m1_d3_t21,2023,0.00011074
Greece,Elec_Demand,m1_d3_t22,2023,0.000104842
Greece,Elec_Demand,m1_d3_t23,2023,9.54E-05
Greece,Elec_Demand,m1_d3_t24,2023,9.01E-05
Greece,Elec_Demand,m1_d4_t1,2023,0.001294393
Greece,Elec_Demand,m1_d4_t2,2023,0.00127638
Greece,Elec_Demand,m1_d4_t3,2023,0.001225235
Greece,Elec_Demand,m1_d4_t4,2023,0.001271233
Greece,Elec_Demand,m1_d4_t5,2023,0.001431102
Greece,Elec_Demand,m1_d4_t6,2023,0.001642438
Greece,Elec_Demand,m1_d4_t7,2023,0.001784937
Greece,Elec_Demand,m1_d4_t8,2023,0.001918108
Greece,Elec_Demand,m1_d4_t9,2023,0.001896556
Greece,Elec_Demand,m1_d4_t10,2023,0.001894305
Greece,Elec_Demand,m1_d4_t11,2023,0.001836083
Greece,Elec_Demand,m1_d4_t12,2023,0.001785259
Greece,Elec_Demand,m1_d4_t13,2023,0.0017161
Greece,Elec_Demand,m1_d4_t14,2023,0.001741512
Greece,Elec_Demand,m1_d4_t15,2023,0.001759204
Greece,Elec_Demand,m1_d4_t16,2023,0.001856669
Greece,Elec_Demand,m1_d4_t17,2023,0.002026189
