REGION,TECHNOLOGY,YEAR,VALUE
Greece,Biomass,2023,1.1
Greece,Biomass,2025,1.1
Greece,Biomass,2030,1.1
Greece,Biomass,2035,1.1
Greece,Biomass,2040,1.1
Greece,Biomass,2045,1.1
Greece,Biomass,2050,1.1
Greece,Biomass_CCS,2023,0.5
Greece,Biomass_CCS,2025,0.5
Greece,Biomass_CCS,2030,0.5
Greece,Biomass_CCS,2035,0.5
Greece,Biomass_CCS,2040,0.5
Greece,Biomass_CCS,2045,0.5
Greece,Biomass_CCS,2050,0.5
Greece,ElectricityImports,2023,5.03
Greece,ElectricityImports,2025,5.03
Greece,ElectricityImports,2030,5.03
Greece,ElectricityImports,2035,5.03
Greece,ElectricityImports,2040,5.03
Greece,ElectricityImports,2045,5.03
Greece,ElectricityImports,2050,5.03
Greece,Geothermal_HI,2023,0.2
Greece,Geothermal_HI,2025,0.2
Greece,Geothermal_HI,2030,0.2
Greece,Geothermal_HI,2035,0.2
Greece,Geothermal_HI,2040,0.2
Greece,Geothermal_HI,2045,0.2
Greece,Geothermal_HI,2050,0.2
Greece,Geothermal_ME,2023,0.5
Greece,Geothermal_ME,2025,0.5
Greece,Geothermal_ME,2030,0.5
Greece,Geothermal_ME,2035,0.5
Greece,Geothermal_ME,2040,0.5
Greece,Geothermal_ME,2045,0.5
Greece,Geothermal_ME,2050,0.5
Greece,HydroStor,2023,0.4
Greece,HydroStor,2025,0.4
Greece,HydroStor,2030,0.4
Greece,HydroStor,2035,0.4
Greece,HydroStor,2040,0.4
Greece,HydroStor,2045,0.4
Greece,HydroStor,2050,0.4
Greece,OffshoreWind,2023,0.03
Greece,OffshoreWind,2025,0.03
Greece,OffshoreWind,2030,0.03
Greece,OffshoreWind,2035,0.03
Greece,OffshoreWind,2040,0.03
Greece,OffshoreWind,2045,0.03
Greece,OffshoreWind,2050,0.03
Greece,PV,2023,30.2
Greece,PV,2025,30.2
Greece,PV,2030,30.2
Greece,PV,2035,30.2
Greece,PV,2040,30.2
Greece,PV,2045,30.2
Greece,PV,2050,30.2
Greece,RooftopPV,2023,12.49
Greece,RooftopPV,2025,12.49
Greece,RooftopPV,2030,12.49
Greece,RooftopPV,2035,12.49
Greece,RooftopPV,2040,12.49
Greece,RooftopPV,2045,12.49
Greece,RooftopPV,2050,12.49
Greece,RoR,2023,1.4
Greece,RoR,2025,1.4
Greece,RoR,2030,1.4
Greece,RoR,2035,1.4
Greece,RoR,2040,1.4
Greece,RoR,2045,1.4
Greece,RoR,2050,1.4
Greece,Wind,2023,168.4
Greece,Wind,2025,168.4
Greece,Wind,2030,168.4
Greece,Wind,2035,168.4
Greece,Wind,2040,168.4
Greece,Wind,2045,168.4
Greece,Wind,2050,168.4
Crete,OffshoreWind,2023,0
Crete,OffshoreWind,2025,0
Crete,OffshoreWind,2030,0
Crete,OffshoreWind,2035,0
Crete,OffshoreWind,2040,0
Crete,OffshoreWind,2045,0
Crete,OffshoreWind,2050,0
Crete,PV,2023,1.70483871
Crete,PV,2025,1.70483871
Crete,PV,2030,1.70483871
Crete,PV,2035,1.70483871
Crete,PV,2040,1.70483871
Crete,PV,2045,1.70483871
Crete,PV,2050,1.70483871
Crete,RooftopPV,2023,0.7
Crete,RooftopPV,2025,0.7
Crete,RooftopPV,2030,0.7
Crete,RooftopPV,2035,0.7
Crete,RooftopPV,2040,0.7
Crete,RooftopPV,2045,0.7
Crete,RooftopPV,2050,0.7
Crete,RoR,2023,0
Crete,RoR,2025,0
Crete,RoR,2030,0
Crete,RoR,2035,0
Crete,RoR,2040,0
Crete,RoR,2045,0
Crete,RoR,2050,0
Crete,Wind,2023,23.2
Crete,Wind,2025,23.2
Crete,Wind,2030,23.2
Crete,Wind,2035,23.2
Crete,Wind,2040,23.2
Crete,Wind,2045,23.2
Crete,Wind,2050,23.2
