REGION,TECHNOLOGY,YEAR,VALUE
Greece,BiomassProduction,2023,46.7
Greece,ElectricityImports,2023,0
Greece,BiomassProduction,2025,46.7
Greece,ElectricityImports,2025,0
Greece,BiomassProduction,2030,46.7
Greece,ElectricityImports,2030,0
Greece,BiomassProduction,2035,46.7
Greece,ElectricityImports,2035,0
Greece,BiomassProduction,2040,46.7
Greece,ElectricityImports,2040,0
Greece,BiomassProduction,2045,46.7
Greece,ElectricityImports,2045,0
Greece,BiomassProduction,2050,46.7
Greece,ElectricityImports,2050,0
