REGION,REGION,FUEL,YEAR,VALUE
Greece,Crete,Elec_Transmission,2023,0
Greece,Crete,Elec_Transmission,2025,0.18
Greece,Crete,Elec_Transmission,2030,1.18
Greece,Crete,Elec_Transmission,2035,1.18
Greece,Crete,Elec_Transmission,2040,1.18
Greece,Crete,Elec_Transmission,2045,1.18
Greece,Crete,Elec_Transmission,2050,1.18
Crete,Greece,Elec_Transmission,2023,0
Crete,Greece,Elec_Transmission,2025,0.18
Crete,Greece,Elec_Transmission,2030,1.18
Crete,Greece,Elec_Transmission,2035,1.18
Crete,Greece,Elec_Transmission,2040,1.18
Crete,Greece,Elec_Transmission,2045,1.18
Crete,Greece,Elec_Transmission,2050,1.18
