REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
Greece,Ag_Dimitriou_I,1,2023,0.33
Greece,Ag_Dimitriou_I,1,2025,0.33
Greece,Ag_Dimitriou_I,1,2030,0.33
Greece,Ag_Dimitriou_I,1,2035,0.33
Greece,Ag_Dimitriou_I,1,2040,0.33
Greece,Ag_Dimitriou_I,1,2045,0.33
Greece,Ag_Dimitriou_I,1,2050,0.33
Greece,Ag_Dimitriou_II,1,2023,0.33
Greece,Ag_Dimitriou_II,1,2025,0.33
Greece,Ag_Dimitriou_II,1,2030,0.33
Greece,Ag_Dimitriou_II,1,2035,0.33
Greece,Ag_Dimitriou_II,1,2040,0.33
Greece,Ag_Dimitriou_II,1,2045,0.33
Greece,Ag_Dimitriou_II,1,2050,0.33
Greece,Ag_Dimitriou_III,1,2023,0.33
Greece,Ag_Dimitriou_III,1,2025,0.33
Greece,Ag_Dimitriou_III,1,2030,0.33
Greece,Ag_Dimitriou_III,1,2035,0.33
Greece,Ag_Dimitriou_III,1,2040,0.33
Greece,Ag_Dimitriou_III,1,2045,0.33
Greece,Ag_Dimitriou_III,1,2050,0.33
Greece,Ag_Dimitriou_IV,1,2023,0.33
Greece,Ag_Dimitriou_IV,1,2025,0.33
Greece,Ag_Dimitriou_IV,1,2030,0.33
Greece,Ag_Dimitriou_IV,1,2035,0.33
Greece,Ag_Dimitriou_IV,1,2040,0.33
Greece,Ag_Dimitriou_IV,1,2045,0.33
Greece,Ag_Dimitriou_IV,1,2050,0.33
Greece,Ag_Dimitriou_V,1,2023,0.33
Greece,Ag_Dimitriou_V,1,2025,0.33
Greece,Ag_Dimitriou_V,1,2030,0.33
Greece,Ag_Dimitriou_V,1,2035,0.33
Greece,Ag_Dimitriou_V,1,2040,0.33
Greece,Ag_Dimitriou_V,1,2045,0.33
Greece,Ag_Dimitriou_V,1,2050,0.33
Greece,Agra,1,2023,0.09
Greece,Agra,1,2025,0.09
Greece,Agra,1,2030,0.09
Greece,Agra,1,2035,0.09
Greece,Agra,1,2040,0.09
Greece,Agra,1,2045,0.09
Greece,Agra,1,2050,0.09
Greece,AIS_Aliveriou,1,2023,0.69
Greece,AIS_Aliveriou,1,2025,0.69
Greece,AIS_Aliveriou,1,2030,0.69
Greece,AIS_Aliveriou,1,2035,0.69
Greece,AIS_Aliveriou,1,2040,0.69
Greece,AIS_Aliveriou,1,2045,0.69
Greece,AIS_Aliveriou,1,2050,0.69
Greece,AIS_Komotinis,1,2023,0.69
Greece,AIS_Komotinis,1,2025,0.69
Greece,AIS_Komotinis,1,2030,0.69
Greece,AIS_Komotinis,1,2035,0.69
Greece,AIS_Komotinis,1,2040,0.69
Greece,AIS_Komotinis,1,2045,0.69
Greece,AIS_Komotinis,1,2050,0.69
Greece,AIS_Lavriou_IV,1,2023,0.69
Greece,AIS_Lavriou_IV,1,2025,0.69
Greece,AIS_Lavriou_IV,1,2030,0.69
Greece,AIS_Lavriou_IV,1,2035,0.69
Greece,AIS_Lavriou_IV,1,2040,0.69
Greece,AIS_Lavriou_IV,1,2045,0.69
Greece,AIS_Lavriou_IV,1,2050,0.69
Greece,AIS_Lavriou_V,1,2023,0.69
Greece,AIS_Lavriou_V,1,2025,0.69
Greece,AIS_Lavriou_V,1,2030,0.69
Greece,AIS_Lavriou_V,1,2035,0.69
Greece,AIS_Lavriou_V,1,2040,0.69
Greece,AIS_Lavriou_V,1,2045,0.69
Greece,AIS_Lavriou_V,1,2050,0.69
Greece,AIS_Megalopoli_V,1,2023,0.69
Greece,AIS_Megalopoli_V,1,2025,0.69
Greece,AIS_Megalopoli_V,1,2030,0.69
Greece,AIS_Megalopoli_V,1,2035,0.69
Greece,AIS_Megalopoli_V,1,2040,0.69
Greece,AIS_Megalopoli_V,1,2045,0.69
Greece,AIS_Megalopoli_V,1,2050,0.69
Greece,Alouminion,1,2023,0.69
Greece,Alouminion,1,2025,0.69
Greece,Alouminion,1,2030,0.69
Greece,Alouminion,1,2035,0.69
Greece,Alouminion,1,2040,0.69
Greece,Alouminion,1,2045,0.69
Greece,Alouminion,1,2050,0.69
Greece,Asomaton,1,2023,0.09
Greece,Asomaton,1,2025,0.09
Greece,Asomaton,1,2030,0.09
Greece,Asomaton,1,2035,0.09
Greece,Asomaton,1,2040,0.09
Greece,Asomaton,1,2045,0.09
Greece,Asomaton,1,2050,0.09
Crete,Atherinolakos,1,2023,1.66
Crete,Atherinolakos,1,2025,1.66
Crete,Atherinolakos,1,2030,1.66
Crete,Atherinolakos,1,2035,1.66
Crete,Atherinolakos,1,2040,1.66
Crete,Atherinolakos,1,2045,1.66
Crete,Atherinolakos,1,2050,1.66
Crete,Atherinolakos_Diesel,1,2023,1.37
Crete,Atherinolakos_Diesel,1,2025,1.37
Crete,Atherinolakos_Diesel,1,2030,1.37
Crete,Atherinolakos_Diesel,1,2035,1.37
Crete,Atherinolakos_Diesel,1,2040,1.37
Crete,Atherinolakos_Diesel,1,2045,1.37
Crete,Atherinolakos_Diesel,1,2050,1.37
Greece,BackStop,1,2023,9999
Greece,BackStop,1,2025,9999
Greece,BackStop,1,2030,9999
Greece,BackStop,1,2035,9999
Greece,BackStop,1,2040,9999
Greece,BackStop,1,2045,9999
Greece,BackStop,1,2050,9999
Greece,Biomass,1,2023,1.05
Greece,Biomass,1,2025,1.05
Greece,Biomass,1,2030,1.05
Greece,Biomass,1,2035,1.05
Greece,Biomass,1,2040,1.05
Greece,Biomass,1,2045,1.05
Greece,Biomass,1,2050,1.05
Greece,Biomass_CCS,1,2023,8.33334
Greece,Biomass_CCS,1,2025,8.33334
Greece,Biomass_CCS,1,2030,8.33334
Greece,Biomass_CCS,1,2035,8.33334
Greece,Biomass_CCS,1,2040,8.33334
Greece,Biomass_CCS,1,2045,8.33334
Greece,Biomass_CCS,1,2050,8.33334
Greece,Biomass_Ex,1,2023,1.05
Greece,Biomass_Ex,1,2025,1.05
Greece,Biomass_Ex,1,2030,1.05
Greece,Biomass_Ex,1,2035,1.05
Greece,Biomass_Ex,1,2040,1.05
Greece,Biomass_Ex,1,2045,1.05
Greece,Biomass_Ex,1,2050,1.05
Greece,BiomassImports,1,2023,9.92605234
Greece,BiomassImports,1,2025,9.92605234
Greece,BiomassImports,1,2030,9.92605234
Greece,BiomassImports,1,2035,9.92605234
Greece,BiomassImports,1,2040,9.92605234
Greece,BiomassImports,1,2045,9.92605234
Greece,BiomassImports,1,2050,9.92605234
Greece,BiomassProduction,1,2023,4.96302617
Greece,BiomassProduction,1,2025,4.96302617
Greece,BiomassProduction,1,2030,4.96302617
Greece,BiomassProduction,1,2035,4.96302617
Greece,BiomassProduction,1,2040,4.96302617
Greece,BiomassProduction,1,2045,4.96302617
Greece,BiomassProduction,1,2050,4.96302617
Greece,CCGT,1,2023,0.69
Greece,CCGT,1,2025,0.69
Greece,CCGT,1,2030,0.69
Greece,CCGT,1,2035,0.69
Greece,CCGT,1,2040,0.69
Greece,CCGT,1,2045,0.69
Greece,CCGT,1,2050,0.69
Greece,Chios,1,2023,1.66
Greece,Chios,1,2025,1.66
Greece,Chios,1,2030,1.66
Greece,Chios,1,2035,1.66
