TECH,AGRR_TECH
CoalExtraction,CoalExtraction
OilImports,OilImports
NGImports,NGImports
BiomassProduction,BiomassProduction
BiomassImports,BiomassImports
ElectricityImports,ElectricityImports
BackStop,BackStop
Elec_Network,Elec_Network
Ag_Dimitriou_II,Coal_Ex
Ag_Dimitriou_III,Coal_Ex
Ag_Dimitriou_IV,Coal_Ex
Ag_Dimitriou_V,Coal_Ex
Ag_Dimitriou_I,Coal_Ex
Megalopolis_III,Coal_Ex
Megalopolis_IV,Coal_Ex
Melitis_I,Coal_Ex
Ptolemaidas_V,Coal_Ex
Iron_I,OCGT_Ex
Iron_II,OCGT_Ex
Iron_III,OCGT_Ex
OCGT,OCGT
ELPEDISON,CCGT_Ex
KORINTHOS_POWER,CCGT_Ex
PROTERGIA_CC,CCGT_Ex
AIS_Aliveriou,CCGT_Ex
AIS_Komotinis,CCGT_Ex
AIS_Lavriou_IV,CCGT_Ex
AIS_Lavriou_V,CCGT_Ex
Alouminion,CCGT_Ex
Energ_Thesalonikis,CCGT_Ex
IronII_CCGT,CCGT_Ex
THIS_Ag.Nikolaos,CCGT_Ex
AIS_Megalopoli_V,CCGT_Ex
CCGT,CCGT
Atherinolakos,Oil_Ex
Atherinolakos_Diesel,Oil_Ex
Linoperamata,Oil_Ex
Xilokamara,Oil_Ex
Rodos,Oil_Ex
Lesvos,Oil_Ex
Kos_Kalymnos,Oil_Ex
Lemnos,Oil_Ex
Chios,Oil_Ex
Samos,Oil_Ex
Karpathos,Oil_Ex
Thira,Oil_Ex
Other_Cyclades,Oil_Ex
Other_Aegean,Oil_Ex
Agra,HydroStor_Ex
Asomaton,HydroStor_Ex
Edeseou,HydroStor_Ex
Ilariona,HydroStor_Ex
Kastrakiou,HydroStor_Ex
Kremaston,HydroStor_Ex
Ladona,HydroStor_Ex
Plastira,HydroStor_Ex
Pigwn_Aoou,HydroStor_Ex
Platanovrisis,HydroStor_Ex
Polifitou,HydroStor_Ex
Pournarou_I,HydroStor_Ex
Pournarou_II,HydroStor_Ex
Stratou_I,HydroStor_Ex
HydroStor,HydroStor
RoR_Ex,RoR_Ex
RoR,RoR
Wind_Ex,Wind_Ex
Wind,Wind
PV_Ex,PV_Ex
PV,PV
RooftopPV_Ex,RF_PV_Ex
RooftopPV,RF_PV
Biomass_Ex,Biomass_Ex
Biomass,Biomass
Geothermal_HI,Geo
Geothermal_ME,Geo
OffshoreWind,Offshore
Batteries,Storage
Biomass_CCS,Biomass_CCS
Gas_CCS,Gas_CCS
Batteries_New,Storage_New
