REGION,TECHNOLOGY,YEAR,VALUE
EL53,Ag_Dimitriou_I,2023,0.92
EL53,Ag_Dimitriou_I,2025,0.92
EL53,Ag_Dimitriou_I,2030,0.92
EL53,Ag_Dimitriou_I,2035,0.92
EL53,Ag_Dimitriou_I,2040,0.92
EL53,Ag_Dimitriou_I,2045,0.92
EL53,Ag_Dimitriou_I,2050,0.92
EL53,Ag_Dimitriou_II,2023,0.92
EL53,Ag_Dimitriou_II,2025,0.92
EL53,Ag_Dimitriou_II,2030,0.92
EL53,Ag_Dimitriou_II,2035,0.92
EL53,Ag_Dimitriou_II,2040,0.92
EL53,Ag_Dimitriou_II,2045,0.92
EL53,Ag_Dimitriou_II,2050,0.92
EL53,Ag_Dimitriou_III,2023,0.92
EL53,Ag_Dimitriou_III,2025,0.92
EL53,Ag_Dimitriou_III,2030,0.92
EL53,Ag_Dimitriou_III,2035,0.92
EL53,Ag_Dimitriou_III,2040,0.92
EL53,Ag_Dimitriou_III,2045,0.92
EL53,Ag_Dimitriou_III,2050,0.92
EL53,Ag_Dimitriou_IV,2023,0.92
EL53,Ag_Dimitriou_IV,2025,0.92
EL53,Ag_Dimitriou_IV,2030,0.92
EL53,Ag_Dimitriou_IV,2035,0.92
EL53,Ag_Dimitriou_IV,2040,0.92
EL53,Ag_Dimitriou_IV,2045,0.92
EL53,Ag_Dimitriou_IV,2050,0.92
EL53,Ag_Dimitriou_V,2023,0.92
EL53,Ag_Dimitriou_V,2025,0.92
EL53,Ag_Dimitriou_V,2030,0.92
EL53,Ag_Dimitriou_V,2035,0.92
EL53,Ag_Dimitriou_V,2040,0.92
EL53,Ag_Dimitriou_V,2045,0.92
EL53,Ag_Dimitriou_V,2050,0.92
EL52,Agra,2023,0.98
EL52,Agra,2025,0.98
EL52,Agra,2030,0.98
EL52,Agra,2035,0.98
EL52,Agra,2040,0.98
EL52,Agra,2045,0.98
EL52,Agra,2050,0.98
EL64,AIS_Aliveriou,2023,0.92
EL64,AIS_Aliveriou,2025,0.92
EL64,AIS_Aliveriou,2030,0.92
EL64,AIS_Aliveriou,2035,0.92
EL64,AIS_Aliveriou,2040,0.92
EL64,AIS_Aliveriou,2045,0.92
EL64,AIS_Aliveriou,2050,0.92
EL51,AIS_Komotinis,2023,0.92
EL51,AIS_Komotinis,2025,0.92
EL51,AIS_Komotinis,2030,0.92
EL51,AIS_Komotinis,2035,0.92
EL51,AIS_Komotinis,2040,0.92
EL51,AIS_Komotinis,2045,0.92
EL51,AIS_Komotinis,2050,0.92
EL30,AIS_Lavriou_IV,2023,0.92
EL30,AIS_Lavriou_IV,2025,0.92
EL30,AIS_Lavriou_IV,2030,0.92
EL30,AIS_Lavriou_IV,2035,0.92
EL30,AIS_Lavriou_IV,2040,0.92
EL30,AIS_Lavriou_IV,2045,0.92
EL30,AIS_Lavriou_IV,2050,0.92
EL30,AIS_Lavriou_V,2023,0.92
EL30,AIS_Lavriou_V,2025,0.92
EL30,AIS_Lavriou_V,2030,0.92
EL30,AIS_Lavriou_V,2035,0.92
EL30,AIS_Lavriou_V,2040,0.92
EL30,AIS_Lavriou_V,2045,0.92
EL30,AIS_Lavriou_V,2050,0.92
EL65,AIS_Megalopoli_V,2023,0.92
EL65,AIS_Megalopoli_V,2025,0.92
EL65,AIS_Megalopoli_V,2030,0.92
EL65,AIS_Megalopoli_V,2035,0.92
EL65,AIS_Megalopoli_V,2040,0.92
EL65,AIS_Megalopoli_V,2045,0.92
EL65,AIS_Megalopoli_V,2050,0.92
EL64,Alouminion,2023,0.92
EL64,Alouminion,2025,0.92
EL64,Alouminion,2030,0.92
EL64,Alouminion,2035,0.92
EL64,Alouminion,2040,0.92
EL64,Alouminion,2045,0.92
EL64,Alouminion,2050,0.92
EL52,Asomaton,2023,0.98
EL52,Asomaton,2025,0.98
EL52,Asomaton,2030,0.98
EL52,Asomaton,2035,0.98
EL52,Asomaton,2040,0.98
EL52,Asomaton,2045,0.98
EL52,Asomaton,2050,0.98
Crete,Atherinolakos,2023,0.92
Crete,Atherinolakos,2025,0.92
Crete,Atherinolakos,2030,0.92
Crete,Atherinolakos,2035,0.92
Crete,Atherinolakos,2040,0.92
Crete,Atherinolakos,2045,0.92
Crete,Atherinolakos,2050,0.92
Crete,Atherinolakos_Diesel,2023,0.92
Crete,Atherinolakos_Diesel,2025,0.92
Crete,Atherinolakos_Diesel,2030,0.92
Crete,Atherinolakos_Diesel,2035,0.92
Crete,Atherinolakos_Diesel,2040,0.92
Crete,Atherinolakos_Diesel,2045,0.92
Crete,Atherinolakos_Diesel,2050,0.92
EL51,Biomass,2023,0.93
EL51,Biomass,2025,0.93
EL51,Biomass,2030,0.93
EL51,Biomass,2035,0.93
EL51,Biomass,2040,0.93
EL51,Biomass,2045,0.93
EL51,Biomass,2050,0.93
EL51,Biomass_CCS,2023,0.85
EL51,Biomass_CCS,2025,0.85
EL51,Biomass_CCS,2030,0.85
EL51,Biomass_CCS,2035,0.85
EL51,Biomass_CCS,2040,0.85
EL51,Biomass_CCS,2045,0.85
EL51,Biomass_CCS,2050,0.85
EL51,Biomass_Ex,2023,0.93
EL51,Biomass_Ex,2025,0.93
EL51,Biomass_Ex,2030,0.93
EL51,Biomass_Ex,2035,0.93
EL51,Biomass_Ex,2040,0.93
EL51,Biomass_Ex,2045,0.93
EL51,Biomass_Ex,2050,0.93
EL51,CCGT,2023,0.92
EL51,CCGT,2025,0.92
EL51,CCGT,2030,0.92
EL51,CCGT,2035,0.92
EL51,CCGT,2040,0.92
EL51,CCGT,2045,0.92
EL51,CCGT,2050,0.92
EL52,Biomass,2023,0.93
EL52,Biomass,2025,0.93
EL52,Biomass,2030,0.93
EL52,Biomass,2035,0.93
EL52,Biomass,2040,0.93
EL52,Biomass,2045,0.93
EL52,Biomass,2050,0.93
EL52,Biomass_CCS,2023,0.85
EL52,Biomass_CCS,2025,0.85
EL52,Biomass_CCS,2030,0.85
EL52,Biomass_CCS,2035,0.85
EL52,Biomass_CCS,2040,0.85
EL52,Biomass_CCS,2045,0.85
EL52,Biomass_CCS,2050,0.85
EL52,Biomass_Ex,2023,0.93
EL52,Biomass_Ex,2025,0.93
EL52,Biomass_Ex,2030,0.93
EL52,Biomass_Ex,2035,0.93
EL52,Biomass_Ex,2040,0.93
EL52,Biomass_Ex,2045,0.93
EL52,Biomass_Ex,2050,0.93
EL52,CCGT,2023,0.92
EL52,CCGT,2025,0.92
EL52,CCGT,2030,0.92
EL52,CCGT,2035,0.92
EL52,CCGT,2040,0.92
EL52,CCGT,2045,0.92
EL52,CCGT,2050,0.92
EL53,Biomass,2023,0.93
EL53,Biomass,2025,0.93
EL53,Biomass,2030,0.93
EL53,Biomass,2035,0.93
EL53,Biomass,2040,0.93
EL53,Biomass,2045,0.93
EL53,Biomass,2050,0.93
EL53,Biomass_CCS,2023,0.85
EL53,Biomass_CCS,2025,0.85
EL53,Biomass_CCS,2030,0.85
EL53,Biomass_CCS,2035,0.85
EL53,Biomass_CCS,2040,0.85
EL53,Biomass_CCS,2045,0.85
EL53,Biomass_CCS,2050,0.85
EL53,Biomass_Ex,2023,0.93
EL53,Biomass_Ex,2025,0.93
EL53,Biomass_Ex,2030,0.93
EL53,Biomass_Ex,2035,0.93
EL53,Biomass_Ex,2040,0.93
EL53,Biomass_Ex,2045,0.93
EL53,Biomass_Ex,2050,0.93
EL53,CCGT,2023,0.92
EL53,CCGT,2025,0.92
EL53,CCGT,2030,0.92
EL53,CCGT,2035,0.92
EL53,CCGT,2040,0.92
EL53,CCGT,2045,0.92
EL53,CCGT,2050,0.92
EL54,Biomass,2023,0.93
EL54,Biomass,2025,0.93
EL54,Biomass,2030,0.93
EL54,Biomass,2035,0.93
EL54,Biomass,2040,0.93
EL54,Biomass,2045,0.93
EL54,Biomass,2050,0.93
EL54,Biomass_CCS,2023,0.85
EL54,Biomass_CCS,2025,0.85
EL54,Biomass_CCS,2030,0.85
EL54,Biomass_CCS,2035,0.85
EL54,Biomass_CCS,2040,0.85
EL54,Biomass_CCS,2045,0.85
EL54,Biomass_CCS,2050,0.85
EL54,Biomass_Ex,2023,0.93
EL54,Biomass_Ex,2025,0.93
EL54,Biomass_Ex,2030,0.93
EL54,Biomass_Ex,2035,0.93
EL54,Biomass_Ex,2040,0.93
EL54,Biomass_Ex,2045,0.93
EL54,Biomass_Ex,2050,0.93
EL54,CCGT,2023,0.92
EL54,CCGT,2025,0.92
EL54,CCGT,2030,0.92
EL54,CCGT,2035,0.92
EL54,CCGT,2040,0.92
EL54,CCGT,2045,0.92
EL54,CCGT,2050,0.92
EL61,Biomass,2023,0.93
EL61,Biomass,2025,0.93
EL61,Biomass,2030,0.93
EL61,Biomass,2035,0.93
EL61,Biomass,2040,0.93
EL61,Biomass,2045,0.93
EL61,Biomass,2050,0.93
EL61,Biomass_CCS,2023,0.85
EL61,Biomass_CCS,2025,0.85
EL61,Biomass_CCS,2030,0.85
EL61,Biomass_CCS,2035,0.85
EL61,Biomass_CCS,2040,0.85
EL61,Biomass_CCS,2045,0.85
EL61,Biomass_CCS,2050,0.85
EL61,Biomass_Ex,2023,0.93
EL61,Biomass_Ex,2025,0.93
EL61,Biomass_Ex,2030,0.93
EL61,Biomass_Ex,2035,0.93
EL61,Biomass_Ex,2040,0.93
EL61,Biomass_Ex,2045,0.93
EL61,Biomass_Ex,2050,0.93
EL61,CCGT,2023,0.92
EL61,CCGT,2025,0.92
EL61,CCGT,2030,0.92
EL61,CCGT,2035,0.92
EL61,CCGT,2040,0.92
EL61,CCGT,2045,0.92
EL61,CCGT,2050,0.92
EL62,Biomass,2023,0.93
EL62,Biomass,2025,0.93
EL62,Biomass,2030,0.93
EL62,Biomass,2035,0.93
EL62,Biomass,2040,0.93
EL62,Biomass,2045,0.93
EL62,Biomass,2050,0.93
EL62,Biomass_CCS,2023,0.85
EL62,Biomass_CCS,2025,0.85
EL62,Biomass_CCS,2030,0.85
EL62,Biomass_CCS,2035,0.85
EL62,Biomass_CCS,2040,0.85
EL62,Biomass_CCS,2045,0.85
EL62,Biomass_CCS,2050,0.85
EL62,Biomass_Ex,2023,0.93
EL62,Biomass_Ex,2025,0.93
EL62,Biomass_Ex,2030,0.93
EL62,Biomass_Ex,2035,0.93
EL62,Biomass_Ex,2040,0.93
EL62,Biomass_Ex,2045,0.93
EL62,Biomass_Ex,2050,0.93
EL62,CCGT,2023,0.92
EL62,CCGT,2025,0.92
EL62,CCGT,2030,0.92
EL62,CCGT,2035,0.92
EL62,CCGT,2040,0.92
EL62,CCGT,2045,0.92
EL62,CCGT,2050,0.92
EL63,Biomass,2023,0.93
EL63,Biomass,2025,0.93
EL63,Biomass,2030,0.93
EL63,Biomass,2035,0.93
EL63,Biomass,2040,0.93
EL63,Biomass,2045,0.93
EL63,Biomass,2050,0.93
EL63,Biomass_CCS,2023,0.85
EL63,Biomass_CCS,2025,0.85
EL63,Biomass_CCS,2030,0.85
EL63,Biomass_CCS,2035,0.85
EL63,Biomass_CCS,2040,0.85
EL63,Biomass_CCS,2045,0.85
EL63,Biomass_CCS,2050,0.85
EL63,Biomass_Ex,2023,0.93
EL63,Biomass_Ex,2025,0.93
EL63,Biomass_Ex,2030,0.93
EL63,Biomass_Ex,2035,0.93
EL63,Biomass_Ex,2040,0.93
EL63,Biomass_Ex,2045,0.93
EL63,Biomass_Ex,2050,0.93
EL63,CCGT,2023,0.92
EL63,CCGT,2025,0.92
EL63,CCGT,2030,0.92
EL63,CCGT,2035,0.92
EL63,CCGT,2040,0.92
EL63,CCGT,2045,0.92
EL63,CCGT,2050,0.92
EL64,Biomass,2023,0.93
EL64,Biomass,2025,0.93
EL64,Biomass,2030,0.93
EL64,Biomass,2035,0.93
EL64,Biomass,2040,0.93
EL64,Biomass,2045,0.93
EL64,Biomass,2050,0.93
EL64,Biomass_CCS,2023,0.85
EL64,Biomass_CCS,2025,0.85
EL64,Biomass_CCS,2030,0.85
EL64,Biomass_CCS,2035,0.85
EL64,Biomass_CCS,2040,0.85
EL64,Biomass_CCS,2045,0.85
EL64,Biomass_CCS,2050,0.85
EL64,Biomass_Ex,2023,0.93
EL64,Biomass_Ex,2025,0.93
EL64,Biomass_Ex,2030,0.93
EL64,Biomass_Ex,2035,0.93
EL64,Biomass_Ex,2040,0.93
EL64,Biomass_Ex,2045,0.93
EL64,Biomass_Ex,2050,0.93
EL64,CCGT,2023,0.92
EL64,CCGT,2025,0.92
EL64,CCGT,2030,0.92
EL64,CCGT,2035,0.92
EL64,CCGT,2040,0.92
EL64,CCGT,2045,0.92
EL64,CCGT,2050,0.92
EL30,Biomass,2023,0.93
EL30,Biomass,2025,0.93
EL30,Biomass,2030,0.93
EL30,Biomass,2035,0.93
EL30,Biomass,2040,0.93
EL30,Biomass,2045,0.93
EL30,Biomass,2050,0.93
EL30,Biomass_CCS,2023,0.85
EL30,Biomass_CCS,2025,0.85
EL30,Biomass_CCS,2030,0.85
EL30,Biomass_CCS,2035,0.85
EL30,Biomass_CCS,2040,0.85
EL30,Biomass_CCS,2045,0.85
EL30,Biomass_CCS,2050,0.85
EL30,Biomass_Ex,2023,0.93
EL30,Biomass_Ex,2025,0.93
EL30,Biomass_Ex,2030,0.93
EL30,Biomass_Ex,2035,0.93
EL30,Biomass_Ex,2040,0.93
EL30,Biomass_Ex,2045,0.93
EL30,Biomass_Ex,2050,0.93
EL30,CCGT,2023,0.92
EL30,CCGT,2025,0.92
EL30,CCGT,2030,0.92
EL30,CCGT,2035,0.92
EL30,CCGT,2040,0.92
EL30,CCGT,2045,0.92
EL30,CCGT,2050,0.92
EL65,Biomass,2023,0.93
EL65,Biomass,2025,0.93
EL65,Biomass,2030,0.93
EL65,Biomass,2035,0.93
EL65,Biomass,2040,0.93
EL65,Biomass,2045,0.93
EL65,Biomass,2050,0.93
EL65,Biomass_CCS,2023,0.85
EL65,Biomass_CCS,2025,0.85
EL65,Biomass_CCS,2030,0.85
EL65,Biomass_CCS,2035,0.85
EL65,Biomass_CCS,2040,0.85
EL65,Biomass_CCS,2045,0.85
EL65,Biomass_CCS,2050,0.85
EL65,Biomass_Ex,2023,0.93
EL65,Biomass_Ex,2025,0.93
EL65,Biomass_Ex,2030,0.93
EL65,Biomass_Ex,2035,0.93
EL65,Biomass_Ex,2040,0.93
EL65,Biomass_Ex,2045,0.93
EL65,Biomass_Ex,2050,0.93
EL65,CCGT,2023,0.92
EL65,CCGT,2025,0.92
EL65,CCGT,2030,0.92
EL65,CCGT,2035,0.92
EL65,CCGT,2040,0.92
EL65,CCGT,2045,0.92
EL65,CCGT,2050,0.92
CHIOS,Chios,2023,0.92
CHIOS,Chios,2025,0.92
CHIOS,Chios,2030,0.92
CHIOS,Chios,2035,0.92
CHIOS,Chios,2040,0.92
CHIOS,Chios,2045,0.92
CHIOS,Chios,2050,0.92
EL52,Edeseou,2023,0.98
EL52,Edeseou,2025,0.98
EL52,Edeseou,2030,0.98
EL52,Edeseou,2035,0.98
EL52,Edeseou,2040,0.98
EL52,Edeseou,2045,0.98
EL52,Edeseou,2050,0.98
EL64,ELPEDISON,2023,0.92
EL64,ELPEDISON,2025,0.92
EL64,ELPEDISON,2030,0.92
EL64,ELPEDISON,2035,0.92
EL64,ELPEDISON,2040,0.92
EL64,ELPEDISON,2045,0.92
EL64,ELPEDISON,2050,0.92
EL52,Energ_Thesalonikis,2023,0.92
EL52,Energ_Thesalonikis,2025,0.92
EL52,Energ_Thesalonikis,2030,0.92
EL52,Energ_Thesalonikis,2035,0.92
EL52,Energ_Thesalonikis,2040,0.92
EL52,Energ_Thesalonikis,2045,0.92
EL52,Energ_Thesalonikis,2050,0.92
EL51,Gas_CCS,2023,0.85
EL51,Gas_CCS,2025,0.85
EL51,Gas_CCS,2030,0.85
EL51,Gas_CCS,2035,0.85
EL51,Gas_CCS,2040,0.85
EL51,Gas_CCS,2045,0.85
EL51,Gas_CCS,2050,0.85
EL51,Geothermal_HI,2023,0.9
EL51,Geothermal_HI,2025,0.9
EL51,Geothermal_HI,2030,0.9
EL51,Geothermal_HI,2035,0.9
EL51,Geothermal_HI,2040,0.9
EL51,Geothermal_HI,2045,0.9
EL51,Geothermal_HI,2050,0.9
EL51,Geothermal_ME,2023,0.9
EL51,Geothermal_ME,2025,0.9
EL51,Geothermal_ME,2030,0.9
EL51,Geothermal_ME,2035,0.9
EL51,Geothermal_ME,2040,0.9
EL51,Geothermal_ME,2045,0.9
EL51,Geothermal_ME,2050,0.9
EL51,HydroStor,2023,0.98
EL51,HydroStor,2025,0.98
EL51,HydroStor,2030,0.98
EL51,HydroStor,2035,0.98
EL51,HydroStor,2040,0.98
EL51,HydroStor,2045,0.98
EL51,HydroStor,2050,0.98
EL52,Gas_CCS,2023,0.85
EL52,Gas_CCS,2025,0.85
EL52,Gas_CCS,2030,0.85
EL52,Gas_CCS,2035,0.85
EL52,Gas_CCS,2040,0.85
EL52,Gas_CCS,2045,0.85
EL52,Gas_CCS,2050,0.85
EL52,Geothermal_HI,2023,0.9
EL52,Geothermal_HI,2025,0.9
EL52,Geothermal_HI,2030,0.9
EL52,Geothermal_HI,2035,0.9
