REGION,TECHNOLOGY,VALUE
Crete,OilImports,1
THIRA,OilImports,1
SAMOS,OilImports,1
CHIOS,OilImports,1
LESVOS,OilImports,1
LEMNOS,OilImports,1
RODOS,OilImports,1
KOS,OilImports,1
KARPATHOS,OilImports,1
SKYROS,OilImports,1
SERIFOS,OilImports,1
EL51,CoalExtraction,1
EL51,NGImports,1
EL51,BiomassProduction,1
EL51,BiomassImports,1
EL51,BackStop,1
EL51,Elec_Network,31.536
EL52,CoalExtraction,1
EL52,NGImports,1
EL52,BiomassProduction,1
EL52,BiomassImports,1
EL52,BackStop,1
EL52,Elec_Network,31.536
EL53,CoalExtraction,1
EL53,NGImports,1
EL53,BiomassProduction,1
EL53,BiomassImports,1
EL53,BackStop,1
EL53,Elec_Network,31.536
EL54,CoalExtraction,1
EL54,NGImports,1
EL54,BiomassProduction,1
EL54,BiomassImports,1
EL54,BackStop,1
EL54,Elec_Network,31.536
EL61,CoalExtraction,1
EL61,NGImports,1
EL61,BiomassProduction,1
EL61,BiomassImports,1
EL61,BackStop,1
EL61,Elec_Network,31.536
EL62,CoalExtraction,1
EL62,NGImports,1
EL62,BiomassProduction,1
EL62,BiomassImports,1
EL62,BackStop,1
EL62,Elec_Network,31.536
EL63,CoalExtraction,1
EL63,NGImports,1
EL63,BiomassProduction,1
EL63,BiomassImports,1
EL63,BackStop,1
EL63,Elec_Network,31.536
EL64,CoalExtraction,1
EL64,NGImports,1
EL64,BiomassProduction,1
EL64,BiomassImports,1
EL64,BackStop,1
EL64,Elec_Network,31.536
EL30,CoalExtraction,1
EL30,NGImports,1
EL30,BiomassProduction,1
EL30,BiomassImports,1
EL30,BackStop,1
EL30,Elec_Network,31.536
EL65,CoalExtraction,1
EL65,NGImports,1
EL65,BiomassProduction,1
EL65,BiomassImports,1
EL65,BackStop,1
EL65,Elec_Network,31.536
EL53,Ag_Dimitriou_II,31.536
EL53,Ag_Dimitriou_III,31.536
EL53,Ag_Dimitriou_IV,31.536
EL53,Ag_Dimitriou_V,31.536
EL53,Ag_Dimitriou_I,31.536
EL65,Megalopolis_III,31.536
EL65,Megalopolis_IV,31.536
EL53,Melitis_I,31.536
EL53,Ptolemaidas_V,31.536
EL64,Iron_I,31.536
EL64,Iron_II,31.536
EL64,Iron_III,31.536
EL64,OCGT,31.536
EL64,ELPEDISON,31.536
EL65,KORINTHOS_POWER,31.536
EL64,PROTERGIA_CC,31.536
EL64,AIS_Aliveriou,31.536
EL51,AIS_Komotinis,31.536
EL30,AIS_Lavriou_IV,31.536
EL30,AIS_Lavriou_V,31.536
EL64,Alouminion,31.536
EL52,Energ_Thesalonikis,31.536
EL64,IronII_CCGT,31.536
EL63,THIS_Ag.Nikolaos,31.536
EL65,AIS_Megalopoli_V,31.536
EL51,CCGT,31.536
EL52,CCGT,31.536
EL53,CCGT,31.536
EL54,CCGT,31.536
EL61,CCGT,31.536
EL62,CCGT,31.536
EL63,CCGT,31.536
EL64,CCGT,31.536
EL65,CCGT,31.536
EL30,CCGT,31.536
Crete,Atherinolakos,31.536
Crete,Atherinolakos_Diesel,31.536
Crete,Linoperamata,31.536
Crete,Xilokamara,31.536
EL52,Agra,31.536
EL52,Asomaton,31.536
EL52,Edeseou,31.536
EL53,Ilariona,31.536
EL63,Kastrakiou,31.536
EL63,Kremaston,31.536
EL65,Ladona,31.536
EL61,Plastira,31.536
EL54,Pigwn_Aoou,31.536
EL51,Platanovrisis,31.536
EL53,Polifitou,31.536
EL54,Pournarou_I,31.536
EL54,Pournarou_II,31.536
EL63,Stratou_I,31.536
EL51,HydroStor,31.536
EL51,RoR_Ex,31.536
EL51,RoR,31.536
EL51,Wind_Ex,31.536
EL51,Wind,31.536
EL51,PV_Ex,31.536
EL51,PV,31.536
EL51,RooftopPV_Ex,31.536
EL51,RooftopPV,31.536
EL51,Biomass_Ex,31.536
EL51,Biomass,31.536
EL51,Geothermal_HI,31.536
EL51,Geothermal_ME,31.536
EL51,OffshoreWind,31.536
EL51,Thisavros,31.536
EL51,Biomass_CCS,31.536
EL51,Gas_CCS,31.536
EL51,Batteries_New,31.536
EL52,HydroStor,31.536
EL52,RoR_Ex,31.536
EL52,RoR,31.536
EL52,Wind_Ex,31.536
EL52,Wind,31.536
EL52,PV_Ex,31.536
EL52,PV,31.536
EL52,RooftopPV_Ex,31.536
EL52,RooftopPV,31.536
EL52,Biomass_Ex,31.536
EL52,Biomass,31.536
EL52,Geothermal_HI,31.536
EL52,Geothermal_ME,31.536
EL52,OffshoreWind,31.536
EL52,Sfikia,31.536
EL52,Biomass_CCS,31.536
EL52,Gas_CCS,31.536
EL52,Batteries_New,31.536
EL53,HydroStor,31.536
EL53,RoR_Ex,31.536
EL53,RoR,31.536
EL53,Wind_Ex,31.536
EL53,Wind,31.536
EL53,PV_Ex,31.536
EL53,PV,31.536
EL53,RooftopPV_Ex,31.536
EL53,RooftopPV,31.536
EL53,Biomass_Ex,31.536
EL53,Biomass,31.536
EL53,Geothermal_HI,31.536
EL53,Geothermal_ME,31.536
EL53,OffshoreWind,31.536
EL53,Biomass_CCS,31.536
EL53,Gas_CCS,31.536
EL53,Batteries_New,31.536
EL54,HydroStor,31.536
EL54,RoR_Ex,31.536
EL54,RoR,31.536
EL54,Wind_Ex,31.536
EL54,Wind,31.536
EL54,PV_Ex,31.536
EL54,PV,31.536
EL54,RooftopPV_Ex,31.536
EL54,RooftopPV,31.536
EL54,Biomass_Ex,31.536
EL54,Biomass,31.536
EL54,Geothermal_HI,31.536
EL54,Geothermal_ME,31.536
EL54,OffshoreWind,31.536
EL54,Biomass_CCS,31.536
EL54,Gas_CCS,31.536
EL54,Batteries_New,31.536
EL61,HydroStor,31.536
EL61,RoR_Ex,31.536
EL61,RoR,31.536
EL61,Wind_Ex,31.536
EL61,Wind,31.536
EL61,PV_Ex,31.536
EL61,PV,31.536
EL61,RooftopPV_Ex,31.536
EL61,RooftopPV,31.536
EL61,Biomass_Ex,31.536
EL61,Biomass,31.536
EL61,Geothermal_HI,31.536
EL61,Geothermal_ME,31.536
EL61,OffshoreWind,31.536
EL61,Biomass_CCS,31.536
EL61,Gas_CCS,31.536
EL61,Batteries_New,31.536
EL62,HydroStor,31.536
