REGION,TECHNOLOGY,YEAR,VALUE
EL51,BackStop,2023,99999
EL51,BackStop,2025,99999
EL51,BackStop,2030,99999
EL51,BackStop,2035,99999
EL51,BackStop,2040,99999
EL51,BackStop,2045,99999
EL51,BackStop,2050,99999
EL51,Batteries_New,2023,359.2827058
EL51,Batteries_New,2025,311.3593197
EL51,Batteries_New,2030,317.3839866
EL51,Batteries_New,2035,306.440749
EL51,Batteries_New,2040,295.0258889
EL51,Batteries_New,2045,283.0305775
EL51,Batteries_New,2050,270.3097124
EL51,Biomass,2023,2387.5
EL51,Biomass,2025,2362.5
EL51,Biomass,2030,2300
EL51,Biomass,2035,2275
EL51,Biomass,2040,2250
EL51,Biomass,2045,2225
EL51,Biomass,2050,2200
EL51,Biomass_CCS,2023,5675
EL51,Biomass_CCS,2025,5450
EL51,Biomass_CCS,2030,5150
EL51,Biomass_CCS,2035,4913
EL51,Biomass_CCS,2040,4675
EL51,Biomass_CCS,2045,4438
EL51,Biomass_CCS,2050,4200
EL51,CCGT,2023,1000
EL51,CCGT,2025,1000
EL51,CCGT,2030,1000
EL51,CCGT,2035,1000
EL51,CCGT,2040,1000
EL51,CCGT,2045,1000
EL51,CCGT,2050,1000
EL51,Elec_Network,2023,994.51
EL51,Elec_Network,2025,994.51
EL51,Elec_Network,2030,994.51
EL51,Elec_Network,2035,994.51
EL51,Elec_Network,2040,994.51
EL51,Elec_Network,2045,994.51
EL51,Elec_Network,2050,994.51
EL51,Gas_CCS,2023,3019
EL51,Gas_CCS,2025,2856
EL51,Gas_CCS,2030,2450
EL51,Gas_CCS,2035,2363
EL51,Gas_CCS,2040,2275
EL51,Gas_CCS,2045,2188
EL51,Gas_CCS,2050,2100
EL51,Geothermal_HI,2023,2825
EL51,Geothermal_HI,2025,2775
EL51,Geothermal_HI,2030,2650
EL51,Geothermal_HI,2035,2600
EL51,Geothermal_HI,2040,2550
EL51,Geothermal_HI,2045,2500
EL51,Geothermal_HI,2050,2450
EL51,Geothermal_ME,2023,2675
EL51,Geothermal_ME,2025,2751
EL51,Geothermal_ME,2030,2940
EL51,Geothermal_ME,2035,2953
EL51,Geothermal_ME,2040,2968
EL51,Geothermal_ME,2045,2982
EL51,Geothermal_ME,2050,2996
EL51,HydroStor,2023,2650
EL51,HydroStor,2025,2650
EL51,HydroStor,2030,2650
EL51,HydroStor,2035,2650
