DAILYTIMEBRACKET,YEAR,VALUE
1,2023,0.000114155
2,2023,0.000114155
3,2023,0.000114155
4,2023,0.000114155
5,2023,0.000114155
6,2023,0.000114155
7,2023,0.000114155
8,2023,0.000114155
9,2023,0.000114155
10,2023,0.000114155
11,2023,0.000114155
12,2023,0.000114155
13,2023,0.000114155
14,2023,0.000114155
15,2023,0.000114155
16,2023,0.000114155
17,2023,0.000114155
18,2023,0.000114155
19,2023,0.000114155
20,2023,0.000114155
21,2023,0.000114155
22,2023,0.000114155
23,2023,0.000114155
24,2023,0.000114155
1,2025,0.000114155
2,2025,0.000114155
3,2025,0.000114155
4,2025,0.000114155
5,2025,0.000114155
6,2025,0.000114155
7,2025,0.000114155
8,2025,0.000114155
9,2025,0.000114155
10,2025,0.000114155
11,2025,0.000114155
12,2025,0.000114155
13,2025,0.000114155
14,2025,0.000114155
15,2025,0.000114155
16,2025,0.000114155
17,2025,0.000114155
18,2025,0.000114155
19,2025,0.000114155
20,2025,0.000114155
21,2025,0.000114155
22,2025,0.000114155
23,2025,0.000114155
24,2025,0.000114155
1,2030,0.000114155
2,2030,0.000114155
3,2030,0.000114155
4,2030,0.000114155
5,2030,0.000114155
6,2030,0.000114155
7,2030,0.000114155
8,2030,0.000114155
9,2030,0.000114155
10,2030,0.000114155
11,2030,0.000114155
12,2030,0.000114155
13,2030,0.000114155
14,2030,0.000114155
15,2030,0.000114155
16,2030,0.000114155
17,2030,0.000114155
18,2030,0.000114155
19,2030,0.000114155
20,2030,0.000114155
21,2030,0.000114155
22,2030,0.000114155
23,2030,0.000114155
24,2030,0.000114155
1,2035,0.000114155
2,2035,0.000114155
3,2035,0.000114155
4,2035,0.000114155
5,2035,0.000114155
6,2035,0.000114155
7,2035,0.000114155
8,2035,0.000114155
9,2035,0.000114155
10,2035,0.000114155
11,2035,0.000114155
12,2035,0.000114155
13,2035,0.000114155
14,2035,0.000114155
15,2035,0.000114155
16,2035,0.000114155
17,2035,0.000114155
18,2035,0.000114155
19,2035,0.000114155
20,2035,0.000114155
21,2035,0.000114155
22,2035,0.000114155
23,2035,0.000114155
24,2035,0.000114155
1,2040,0.000114155
2,2040,0.000114155
3,2040,0.000114155
4,2040,0.000114155
5,2040,0.000114155
6,2040,0.000114155
7,2040,0.000114155
8,2040,0.000114155
9,2040,0.000114155
10,2040,0.000114155
11,2040,0.000114155
12,2040,0.000114155
13,2040,0.000114155
14,2040,0.000114155
15,2040,0.000114155
16,2040,0.000114155
17,2040,0.000114155
18,2040,0.000114155
19,2040,0.000114155
20,2040,0.000114155
21,2040,0.000114155
22,2040,0.000114155
23,2040,0.000114155
24,2040,0.000114155
1,2045,0.000114155
2,2045,0.000114155
3,2045,0.000114155
4,2045,0.000114155
5,2045,0.000114155
6,2045,0.000114155
7,2045,0.000114155
8,2045,0.000114155
9,2045,0.000114155
10,2045,0.000114155
11,2045,0.000114155
12,2045,0.000114155
13,2045,0.000114155
14,2045,0.000114155
15,2045,0.000114155
16,2045,0.000114155
17,2045,0.000114155
18,2045,0.000114155
19,2045,0.000114155
20,2045,0.000114155
21,2045,0.000114155
22,2045,0.000114155
23,2045,0.000114155
24,2045,0.000114155
1,2050,0.000114155
2,2050,0.000114155
3,2050,0.000114155
4,2050,0.000114155
5,2050,0.000114155
6,2050,0.000114155
7,2050,0.000114155
8,2050,0.000114155
9,2050,0.000114155
10,2050,0.000114155
11,2050,0.000114155
12,2050,0.000114155
13,2050,0.000114155
14,2050,0.000114155
15,2050,0.000114155
16,2050,0.000114155
17,2050,0.000114155
18,2050,0.000114155
19,2050,0.000114155
20,2050,0.000114155
21,2050,0.000114155
22,2050,0.000114155
23,2050,0.000114155
24,2050,0.000114155
