REGION,STORAGE,YEAR,VALUE
EL51,Thisavros_S,2023,0.8
EL51,Thisavros_S,2025,0.8
EL51,Thisavros_S,2030,0.8
EL51,Thisavros_S,2035,0.8
EL51,Thisavros_S,2040,0.8
EL51,Thisavros_S,2045,0.8
EL51,Thisavros_S,2050,0.8
EL51,BATTERY_STORAGE_NEW,2023,0.85
EL51,BATTERY_STORAGE_NEW,2025,0.85
EL51,BATTERY_STORAGE_NEW,2030,0.85
EL51,BATTERY_STORAGE_NEW,2035,0.85
EL51,BATTERY_STORAGE_NEW,2040,0.85
EL51,BATTERY_STORAGE_NEW,2045,0.85
EL51,BATTERY_STORAGE_NEW,2050,0.85
EL51,HPS_STORAGE_NEW,2023,0.8
EL51,HPS_STORAGE_NEW,2025,0.8
EL51,HPS_STORAGE_NEW,2030,0.8
EL51,HPS_STORAGE_NEW,2035,0.8
EL51,HPS_STORAGE_NEW,2040,0.8
EL51,HPS_STORAGE_NEW,2045,0.8
EL51,HPS_STORAGE_NEW,2050,0.8
Crete,BATTERY_STORAGE_NEW,2023,0.85
Crete,BATTERY_STORAGE_NEW,2025,0.85
Crete,BATTERY_STORAGE_NEW,2030,0.85
Crete,BATTERY_STORAGE_NEW,2035,0.85
Crete,BATTERY_STORAGE_NEW,2040,0.85
Crete,BATTERY_STORAGE_NEW,2045,0.85
Crete,BATTERY_STORAGE_NEW,2050,0.85
EL52,Sfikia_S,2023,0.8
EL52,Sfikia_S,2025,0.8
EL52,Sfikia_S,2030,0.8
EL52,Sfikia_S,2035,0.8
EL52,Sfikia_S,2040,0.8
EL52,Sfikia_S,2045,0.8
EL52,Sfikia_S,2050,0.8
EL52,BATTERY_STORAGE_NEW,2023,0.85
EL52,BATTERY_STORAGE_NEW,2025,0.85
EL52,BATTERY_STORAGE_NEW,2030,0.85
EL52,BATTERY_STORAGE_NEW,2035,0.85
EL52,BATTERY_STORAGE_NEW,2040,0.85
EL52,BATTERY_STORAGE_NEW,2045,0.85
EL52,BATTERY_STORAGE_NEW,2050,0.85
EL52,HPS_STORAGE_NEW,2023,0.8
EL52,HPS_STORAGE_NEW,2025,0.8
EL52,HPS_STORAGE_NEW,2030,0.8
EL52,HPS_STORAGE_NEW,2035,0.8
EL52,HPS_STORAGE_NEW,2040,0.8
EL52,HPS_STORAGE_NEW,2045,0.8
EL52,HPS_STORAGE_NEW,2050,0.8
EL53,BATTERY_STORAGE_NEW,2023,0.85
EL53,BATTERY_STORAGE_NEW,2025,0.85
EL53,BATTERY_STORAGE_NEW,2030,0.85
EL53,BATTERY_STORAGE_NEW,2035,0.85
EL53,BATTERY_STORAGE_NEW,2040,0.85
EL53,BATTERY_STORAGE_NEW,2045,0.85
EL53,BATTERY_STORAGE_NEW,2050,0.85
EL53,HPS_STORAGE_NEW,2023,0.8
EL53,HPS_STORAGE_NEW,2025,0.8
EL53,HPS_STORAGE_NEW,2030,0.8
EL53,HPS_STORAGE_NEW,2035,0.8
EL53,HPS_STORAGE_NEW,2040,0.8
EL53,HPS_STORAGE_NEW,2045,0.8
EL53,HPS_STORAGE_NEW,2050,0.8
EL54,BATTERY_STORAGE_NEW,2023,0.85
EL54,BATTERY_STORAGE_NEW,2025,0.85
EL54,BATTERY_STORAGE_NEW,2030,0.85
EL54,BATTERY_STORAGE_NEW,2035,0.85
EL54,BATTERY_STORAGE_NEW,2040,0.85
EL54,BATTERY_STORAGE_NEW,2045,0.85
EL54,BATTERY_STORAGE_NEW,2050,0.85
EL54,HPS_STORAGE_NEW,2023,0.8
EL54,HPS_STORAGE_NEW,2025,0.8
EL54,HPS_STORAGE_NEW,2030,0.8
EL54,HPS_STORAGE_NEW,2035,0.8
EL54,HPS_STORAGE_NEW,2040,0.8
EL54,HPS_STORAGE_NEW,2045,0.8
EL54,HPS_STORAGE_NEW,2050,0.8
EL61,BATTERY_STORAGE_NEW,2023,0.85
EL61,BATTERY_STORAGE_NEW,2025,0.85
EL61,BATTERY_STORAGE_NEW,2030,0.85
EL61,BATTERY_STORAGE_NEW,2035,0.85
EL61,BATTERY_STORAGE_NEW,2040,0.85
EL61,BATTERY_STORAGE_NEW,2045,0.85
EL61,BATTERY_STORAGE_NEW,2050,0.85
EL61,HPS_STORAGE_NEW,2023,0.8
EL61,HPS_STORAGE_NEW,2025,0.8
EL61,HPS_STORAGE_NEW,2030,0.8
EL61,HPS_STORAGE_NEW,2035,0.8
EL61,HPS_STORAGE_NEW,2040,0.8
EL61,HPS_STORAGE_NEW,2045,0.8
EL61,HPS_STORAGE_NEW,2050,0.8
EL62,BATTERY_STORAGE_NEW,2023,0.85
EL62,BATTERY_STORAGE_NEW,2025,0.85
EL62,BATTERY_STORAGE_NEW,2030,0.85
EL62,BATTERY_STORAGE_NEW,2035,0.85
EL62,BATTERY_STORAGE_NEW,2040,0.85
EL62,BATTERY_STORAGE_NEW,2045,0.85
EL62,BATTERY_STORAGE_NEW,2050,0.85
EL62,HPS_STORAGE_NEW,2023,0.8
EL62,HPS_STORAGE_NEW,2025,0.8
EL62,HPS_STORAGE_NEW,2030,0.8
EL62,HPS_STORAGE_NEW,2035,0.8
EL62,HPS_STORAGE_NEW,2040,0.8
EL62,HPS_STORAGE_NEW,2045,0.8
EL62,HPS_STORAGE_NEW,2050,0.8
EL63,BATTERY_STORAGE_NEW,2023,0.85
EL63,BATTERY_STORAGE_NEW,2025,0.85
EL63,BATTERY_STORAGE_NEW,2030,0.85
EL63,BATTERY_STORAGE_NEW,2035,0.85
EL63,BATTERY_STORAGE_NEW,2040,0.85
EL63,BATTERY_STORAGE_NEW,2045,0.85
EL63,BATTERY_STORAGE_NEW,2050,0.85
EL63,HPS_STORAGE_NEW,2023,0.8
EL63,HPS_STORAGE_NEW,2025,0.8
EL63,HPS_STORAGE_NEW,2030,0.8
EL63,HPS_STORAGE_NEW,2035,0.8
EL63,HPS_STORAGE_NEW,2040,0.8
EL63,HPS_STORAGE_NEW,2045,0.8
EL63,HPS_STORAGE_NEW,2050,0.8
EL64,BATTERY_STORAGE_NEW,2023,0.85
EL64,BATTERY_STORAGE_NEW,2025,0.85
EL64,BATTERY_STORAGE_NEW,2030,0.85
