REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
EL53,Ag_Dimitriou_I,CO2,1,2023,0.271058562
EL53,Ag_Dimitriou_I,CO2,1,2025,0.271058562
EL53,Ag_Dimitriou_I,CO2,1,2030,0.271058562
EL53,Ag_Dimitriou_I,CO2,1,2035,0.271058562
EL53,Ag_Dimitriou_I,CO2,1,2040,0.271058562
EL53,Ag_Dimitriou_I,CO2,1,2045,0.271058562
EL53,Ag_Dimitriou_I,CO2,1,2050,0.271058562
EL53,Ag_Dimitriou_II,CO2,1,2023,0.271058562
EL53,Ag_Dimitriou_II,CO2,1,2025,0.271058562
EL53,Ag_Dimitriou_II,CO2,1,2030,0.271058562
EL53,Ag_Dimitriou_II,CO2,1,2035,0.271058562
EL53,Ag_Dimitriou_II,CO2,1,2040,0.271058562
EL53,Ag_Dimitriou_II,CO2,1,2045,0.271058562
EL53,Ag_Dimitriou_II,CO2,1,2050,0.271058562
EL53,Ag_Dimitriou_III,CO2,1,2023,0.26594425
EL53,Ag_Dimitriou_III,CO2,1,2025,0.26594425
EL53,Ag_Dimitriou_III,CO2,1,2030,0.26594425
EL53,Ag_Dimitriou_III,CO2,1,2035,0.26594425
EL53,Ag_Dimitriou_III,CO2,1,2040,0.26594425
EL53,Ag_Dimitriou_III,CO2,1,2045,0.26594425
EL53,Ag_Dimitriou_III,CO2,1,2050,0.26594425
EL53,Ag_Dimitriou_IV,CO2,1,2023,0.26594425
EL53,Ag_Dimitriou_IV,CO2,1,2025,0.26594425
EL53,Ag_Dimitriou_IV,CO2,1,2030,0.26594425
EL53,Ag_Dimitriou_IV,CO2,1,2035,0.26594425
EL53,Ag_Dimitriou_IV,CO2,1,2040,0.26594425
EL53,Ag_Dimitriou_IV,CO2,1,2045,0.26594425
EL53,Ag_Dimitriou_IV,CO2,1,2050,0.26594425
EL53,Ag_Dimitriou_V,CO2,1,2023,0.245487
EL53,Ag_Dimitriou_V,CO2,1,2025,0.245487
EL53,Ag_Dimitriou_V,CO2,1,2030,0.245487
EL53,Ag_Dimitriou_V,CO2,1,2035,0.245487
EL53,Ag_Dimitriou_V,CO2,1,2040,0.245487
EL53,Ag_Dimitriou_V,CO2,1,2045,0.245487
EL53,Ag_Dimitriou_V,CO2,1,2050,0.245487
EL64,AIS_Aliveriou,CO2,1,2023,0.095153753
EL64,AIS_Aliveriou,CO2,1,2025,0.095153753
EL64,AIS_Aliveriou,CO2,1,2030,0.095153753
EL64,AIS_Aliveriou,CO2,1,2035,0.095153753
EL64,AIS_Aliveriou,CO2,1,2040,0.095153753
EL64,AIS_Aliveriou,CO2,1,2045,0.095153753
EL64,AIS_Aliveriou,CO2,1,2050,0.095153753
EL51,AIS_Komotinis,CO2,1,2023,0.104960259
EL51,AIS_Komotinis,CO2,1,2025,0.104960259
EL51,AIS_Komotinis,CO2,1,2030,0.104960259
EL51,AIS_Komotinis,CO2,1,2035,0.104960259
EL51,AIS_Komotinis,CO2,1,2040,0.104960259
EL51,AIS_Komotinis,CO2,1,2045,0.104960259
EL51,AIS_Komotinis,CO2,1,2050,0.104960259
EL30,AIS_Lavriou_IV,CO2,1,2023,0.108790926
EL30,AIS_Lavriou_IV,CO2,1,2025,0.108790926
EL30,AIS_Lavriou_IV,CO2,1,2030,0.108790926
EL30,AIS_Lavriou_IV,CO2,1,2035,0.108790926
EL30,AIS_Lavriou_IV,CO2,1,2040,0.108790926
EL30,AIS_Lavriou_IV,CO2,1,2045,0.108790926
EL30,AIS_Lavriou_IV,CO2,1,2050,0.108790926
EL30,AIS_Lavriou_V,CO2,1,2023,0.095153753
EL30,AIS_Lavriou_V,CO2,1,2025,0.095153753
EL30,AIS_Lavriou_V,CO2,1,2030,0.095153753
EL30,AIS_Lavriou_V,CO2,1,2035,0.095153753
EL30,AIS_Lavriou_V,CO2,1,2040,0.095153753
EL30,AIS_Lavriou_V,CO2,1,2045,0.095153753
EL30,AIS_Lavriou_V,CO2,1,2050,0.095153753
EL65,AIS_Megalopoli_V,CO2,1,2023,0.0897
EL65,AIS_Megalopoli_V,CO2,1,2025,0.0897
EL65,AIS_Megalopoli_V,CO2,1,2030,0.0897
EL65,AIS_Megalopoli_V,CO2,1,2035,0.0897
EL65,AIS_Megalopoli_V,CO2,1,2040,0.0897
EL65,AIS_Megalopoli_V,CO2,1,2045,0.0897
EL65,AIS_Megalopoli_V,CO2,1,2050,0.0897
EL64,Alouminion,CO2,1,2023,0.095153753
EL64,Alouminion,CO2,1,2025,0.095153753
EL64,Alouminion,CO2,1,2030,0.095153753
EL64,Alouminion,CO2,1,2035,0.095153753
EL64,Alouminion,CO2,1,2040,0.095153753
EL64,Alouminion,CO2,1,2045,0.095153753
EL64,Alouminion,CO2,1,2050,0.095153753
Crete,Atherinolakos,CO2,1,2023,0.15717536
Crete,Atherinolakos,CO2,1,2025,0.15717536
Crete,Atherinolakos,CO2,1,2030,0.15717536
Crete,Atherinolakos,CO2,1,2035,0.15717536
