REGION,TECHNOLOGY,VALUE
EL51,CoalExtraction,40
EL51,NGImports,40
EL51,BiomassProduction,40
EL51,BiomassImports,40
EL51,BackStop,1
EL51,Elec_Network,40
EL52,CoalExtraction,40
EL52,NGImports,40
EL52,BiomassProduction,40
EL52,BiomassImports,40
EL52,BackStop,1
EL52,Elec_Network,40
EL53,CoalExtraction,40
EL53,NGImports,40
EL53,BiomassProduction,40
EL53,BiomassImports,40
EL53,BackStop,1
EL53,Elec_Network,40
EL54,CoalExtraction,40
EL54,NGImports,40
EL54,BiomassProduction,40
EL54,BiomassImports,40
EL54,BackStop,1
EL54,Elec_Network,40
EL61,CoalExtraction,40
EL61,NGImports,40
EL61,BiomassProduction,40
EL61,BiomassImports,40
EL61,BackStop,1
EL61,Elec_Network,40
EL62,CoalExtraction,40
EL62,NGImports,40
EL62,BiomassProduction,40
EL62,BiomassImports,40
EL62,BackStop,1
EL62,Elec_Network,40
EL63,CoalExtraction,40
EL63,NGImports,40
EL63,BiomassProduction,40
EL63,BiomassImports,40
EL63,BackStop,1
EL63,Elec_Network,40
EL64,CoalExtraction,40
EL64,NGImports,40
EL64,BiomassProduction,40
EL64,BiomassImports,40
EL64,BackStop,1
EL64,Elec_Network,40
EL30,CoalExtraction,40
EL30,NGImports,40
EL30,BiomassProduction,40
EL30,BiomassImports,40
EL30,BackStop,1
EL30,Elec_Network,40
EL65,CoalExtraction,40
EL65,NGImports,40
EL65,BiomassProduction,40
EL65,BiomassImports,40
EL65,BackStop,1
EL65,Elec_Network,40
EL53,Ag_Dimitriou_II,40
EL53,Ag_Dimitriou_III,40
EL53,Ag_Dimitriou_IV,40
EL53,Ag_Dimitriou_V,40
EL53,Ag_Dimitriou_I,40
EL65,Megalopolis_III,40
EL65,Megalopolis_IV,40
EL53,Melitis_I,40
EL65,Ptolemaidas_V,40
EL64,Iron_I,30
EL64,Iron_II,30
EL64,Iron_III,30
EL51,OCGT,30
EL51,CCGT,30
EL52,OCGT,30
EL52,CCGT,30
EL53,OCGT,30
EL53,CCGT,30
EL54,OCGT,30
EL54,CCGT,30
EL61,OCGT,30
EL61,CCGT,30
EL62,OCGT,30
EL62,CCGT,30
EL63,OCGT,30
EL63,CCGT,30
EL64,OCGT,30
EL64,CCGT,30
EL30,OCGT,30
EL30,CCGT,30
EL65,OCGT,30
EL65,CCGT,30
EL64,ELPEDISON,30
EL65,KORINTHOS_POWER,30
EL64,PROTERGIA_CC,30
EL64,AIS_Aliveriou,30
EL51,AIS_Komotinis,30
EL30,AIS_Lavriou_IV,30
EL30,AIS_Lavriou_V,30
EL64,Alouminion,30
EL52,Energ_Thesalonikis,30
EL64,IronII_CCGT,30
EL64,THIS_Ag.Nikolaos,30
EL65,AIS_Megalopoli_V,30
Crete,Atherinolakos,30
Crete,Atherinolakos_Diesel,30
Crete,Linoperamata,30
Crete,Xilokamara,30
RODOS,Rodos,30
LESVOS,Lesvos,30
KOS,Kos_Kalymnos,30
LEMNOS,Lemnos,30
CHIOS,Chios,30
SAMOS,Samos,30
KARPATHOS,Karpathos,30
THIRA,Thira,30
SKYROS,Skyros,30
SERIFOS,Serifos,30
EL52,Agra,60
EL52,Asomaton,60
EL52,Edeseou,60
EL53,Ilariona,60
EL63,Kastrakiou,60
EL63,Kremaston,60
EL65,Ladona,60
EL61,Plastira,60
EL54,Pigwn_Aoou,60
EL51,Platanovrisis,60
EL53,Polifitou,60
EL54,Pournarou_I,60
EL54,Pournarou_II,60
EL63,Stratou_I,60
EL51,Thisavros,60
EL52,Sfikia,60
EL51,HydroStor,60
EL51,RoR_Ex,60
EL51,RoR,60
EL51,Wind_Ex,30
EL51,Wind,30
EL51,PV_Ex,30
EL51,PV,30
EL51,RooftopPV_Ex,30
EL51,RooftopPV,30
EL51,Biomass_Ex,40
EL51,Biomass,40
EL51,Geothermal_HI,60
EL51,Geothermal_ME,60
EL51,OffshoreWind,30
EL51,Batteries_New,15
EL51,Biomass_CCS,35
EL51,Gas_CCS,30
EL51,HPS_New,60
EL52,HydroStor,60
EL52,RoR_Ex,60
EL52,RoR,60
EL52,Wind_Ex,30
EL52,Wind,30
EL52,PV_Ex,30
EL52,PV,30
EL52,RooftopPV_Ex,30
EL52,RooftopPV,30
EL52,Biomass_Ex,40
EL52,Biomass,40
EL52,Geothermal_HI,60
EL52,Geothermal_ME,60
EL52,OffshoreWind,30
EL52,Batteries_New,15
EL52,Biomass_CCS,35
EL52,Gas_CCS,30
EL52,HPS_New,60
EL53,HydroStor,60
EL53,RoR_Ex,60
EL53,RoR,60
EL53,Wind_Ex,30
EL53,Wind,30
EL53,PV_Ex,30
EL53,PV,30
EL53,RooftopPV_Ex,30
EL53,RooftopPV,30
EL53,Biomass_Ex,40
EL53,Biomass,40
EL53,Geothermal_HI,60
EL53,Geothermal_ME,60
EL53,OffshoreWind,30
EL53,Batteries_New,15
EL53,Biomass_CCS,35
EL53,Gas_CCS,30
EL53,HPS_New,60
EL54,HydroStor,60
EL54,RoR_Ex,60
EL54,RoR,60
EL54,Wind_Ex,30
EL54,Wind,30
EL54,PV_Ex,30
EL54,PV,30
EL54,RooftopPV_Ex,30
EL54,RooftopPV,30
EL54,Biomass_Ex,40
EL54,Biomass,40
EL54,Geothermal_HI,60
EL54,Geothermal_ME,60
EL54,OffshoreWind,30
EL54,Batteries_New,15
EL54,Biomass_CCS,35
EL54,Gas_CCS,30
EL54,HPS_New,60
EL61,HydroStor,60
EL61,RoR_Ex,60
EL61,RoR,60
EL61,Wind_Ex,30
EL61,Wind,30
EL61,PV_Ex,30
EL61,PV,30
EL61,RooftopPV_Ex,30
EL61,RooftopPV,30
EL61,Biomass_Ex,40
EL61,Biomass,40
EL61,Geothermal_HI,60
EL61,Geothermal_ME,60
