REGION,STORAGE,VALUE
EL51,Thisavros_S,60
EL52,Sfikia_S,60
EL51,HPS_STORAGE_NEW,60
EL51,BATTERY_STORAGE_NEW,15
EL52,HPS_STORAGE_NEW,60
EL52,BATTERY_STORAGE_NEW,15
EL53,HPS_STORAGE_NEW,60
EL53,BATTERY_STORAGE_NEW,15
EL54,HPS_STORAGE_NEW,60
EL54,BATTERY_STORAGE_NEW,15
EL61,HPS_STORAGE_NEW,60
EL61,BATTERY_STORAGE_NEW,15
EL62,HPS_STORAGE_NEW,60
EL62,BATTERY_STORAGE_NEW,15
EL63,HPS_STORAGE_NEW,60
EL63,BATTERY_STORAGE_NEW,15
EL64,HPS_STORAGE_NEW,60
EL64,BATTERY_STORAGE_NEW,15
EL65,HPS_STORAGE_NEW,60
EL65,BATTERY_STORAGE_NEW,15
EL30,HPS_STORAGE_NEW,60
EL30,BATTERY_STORAGE_NEW,15
Crete,BATTERY_STORAGE_NEW,15
THIRA,BATTERY_STORAGE_NEW,15
SAMOS,BATTERY_STORAGE_NEW,15
CHIOS,BATTERY_STORAGE_NEW,15
LESVOS,BATTERY_STORAGE_NEW,15
LEMNOS,BATTERY_STORAGE_NEW,15
RODOS,BATTERY_STORAGE_NEW,15
KOS,BATTERY_STORAGE_NEW,15
KARPATHOS,BATTERY_STORAGE_NEW,15
SKYROS,BATTERY_STORAGE_NEW,15
SERIFOS,BATTERY_STORAGE_NEW,15
