REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
EL53,Ag_Dimitriou_I,Elec_Transmission,1,2023,1
EL53,Ag_Dimitriou_I,Elec_Transmission,1,2025,1
EL53,Ag_Dimitriou_I,Elec_Transmission,1,2030,1
EL53,Ag_Dimitriou_I,Elec_Transmission,1,2035,1
EL53,Ag_Dimitriou_I,Elec_Transmission,1,2040,1
EL53,Ag_Dimitriou_I,Elec_Transmission,1,2045,1
EL53,Ag_Dimitriou_I,Elec_Transmission,1,2050,1
EL53,Ag_Dimitriou_II,Elec_Transmission,1,2023,1
EL53,Ag_Dimitriou_II,Elec_Transmission,1,2025,1
EL53,Ag_Dimitriou_II,Elec_Transmission,1,2030,1
EL53,Ag_Dimitriou_II,Elec_Transmission,1,2035,1
EL53,Ag_Dimitriou_II,Elec_Transmission,1,2040,1
EL53,Ag_Dimitriou_II,Elec_Transmission,1,2045,1
EL53,Ag_Dimitriou_II,Elec_Transmission,1,2050,1
EL53,Ag_Dimitriou_III,Elec_Transmission,1,2023,1
EL53,Ag_Dimitriou_III,Elec_Transmission,1,2025,1
EL53,Ag_Dimitriou_III,Elec_Transmission,1,2030,1
EL53,Ag_Dimitriou_III,Elec_Transmission,1,2035,1
EL53,Ag_Dimitriou_III,Elec_Transmission,1,2040,1
EL53,Ag_Dimitriou_III,Elec_Transmission,1,2045,1
EL53,Ag_Dimitriou_III,Elec_Transmission,1,2050,1
EL53,Ag_Dimitriou_IV,Elec_Transmission,1,2023,1
EL53,Ag_Dimitriou_IV,Elec_Transmission,1,2025,1
EL53,Ag_Dimitriou_IV,Elec_Transmission,1,2030,1
EL53,Ag_Dimitriou_IV,Elec_Transmission,1,2035,1
EL53,Ag_Dimitriou_IV,Elec_Transmission,1,2040,1
EL53,Ag_Dimitriou_IV,Elec_Transmission,1,2045,1
EL53,Ag_Dimitriou_IV,Elec_Transmission,1,2050,1
EL53,Ag_Dimitriou_V,Elec_Transmission,1,2023,1
EL53,Ag_Dimitriou_V,Elec_Transmission,1,2025,1
EL53,Ag_Dimitriou_V,Elec_Transmission,1,2030,1
EL53,Ag_Dimitriou_V,Elec_Transmission,1,2035,1
EL53,Ag_Dimitriou_V,Elec_Transmission,1,2040,1
EL53,Ag_Dimitriou_V,Elec_Transmission,1,2045,1
EL53,Ag_Dimitriou_V,Elec_Transmission,1,2050,1
EL52,Agra,Elec_Transmission,1,2023,1
EL52,Agra,Elec_Transmission,1,2025,1
EL52,Agra,Elec_Transmission,1,2030,1
EL52,Agra,Elec_Transmission,1,2035,1
EL52,Agra,Elec_Transmission,1,2040,1
EL52,Agra,Elec_Transmission,1,2045,1
EL52,Agra,Elec_Transmission,1,2050,1
EL64,AIS_Aliveriou,Elec_Transmission,1,2023,1
EL64,AIS_Aliveriou,Elec_Transmission,1,2025,1
EL64,AIS_Aliveriou,Elec_Transmission,1,2030,1
EL64,AIS_Aliveriou,Elec_Transmission,1,2035,1
EL64,AIS_Aliveriou,Elec_Transmission,1,2040,1
EL64,AIS_Aliveriou,Elec_Transmission,1,2045,1
EL64,AIS_Aliveriou,Elec_Transmission,1,2050,1
EL51,AIS_Komotinis,Elec_Transmission,1,2023,1
EL51,AIS_Komotinis,Elec_Transmission,1,2025,1
EL51,AIS_Komotinis,Elec_Transmission,1,2030,1
EL51,AIS_Komotinis,Elec_Transmission,1,2035,1
EL51,AIS_Komotinis,Elec_Transmission,1,2040,1
EL51,AIS_Komotinis,Elec_Transmission,1,2045,1
EL51,AIS_Komotinis,Elec_Transmission,1,2050,1
EL30,AIS_Lavriou_IV,Elec_Transmission,1,2023,1
EL30,AIS_Lavriou_IV,Elec_Transmission,1,2025,1
EL30,AIS_Lavriou_IV,Elec_Transmission,1,2030,1
EL30,AIS_Lavriou_IV,Elec_Transmission,1,2035,1
EL30,AIS_Lavriou_IV,Elec_Transmission,1,2040,1
EL30,AIS_Lavriou_IV,Elec_Transmission,1,2045,1
EL30,AIS_Lavriou_IV,Elec_Transmission,1,2050,1
EL30,AIS_Lavriou_V,Elec_Transmission,1,2023,1
EL30,AIS_Lavriou_V,Elec_Transmission,1,2025,1
EL30,AIS_Lavriou_V,Elec_Transmission,1,2030,1
EL30,AIS_Lavriou_V,Elec_Transmission,1,2035,1
EL30,AIS_Lavriou_V,Elec_Transmission,1,2040,1
EL30,AIS_Lavriou_V,Elec_Transmission,1,2045,1
EL30,AIS_Lavriou_V,Elec_Transmission,1,2050,1
EL65,AIS_Megalopoli_V,Elec_Transmission,1,2023,1
EL65,AIS_Megalopoli_V,Elec_Transmission,1,2025,1
EL65,AIS_Megalopoli_V,Elec_Transmission,1,2030,1
EL65,AIS_Megalopoli_V,Elec_Transmission,1,2035,1
EL65,AIS_Megalopoli_V,Elec_Transmission,1,2040,1
EL65,AIS_Megalopoli_V,Elec_Transmission,1,2045,1
EL65,AIS_Megalopoli_V,Elec_Transmission,1,2050,1
EL64,Alouminion,Elec_Transmission,1,2023,1
EL64,Alouminion,Elec_Transmission,1,2025,1
EL64,Alouminion,Elec_Transmission,1,2030,1
EL64,Alouminion,Elec_Transmission,1,2035,1
EL64,Alouminion,Elec_Transmission,1,2040,1
EL64,Alouminion,Elec_Transmission,1,2045,1
EL64,Alouminion,Elec_Transmission,1,2050,1
EL52,Asomaton,Elec_Transmission,1,2023,1
EL52,Asomaton,Elec_Transmission,1,2025,1
EL52,Asomaton,Elec_Transmission,1,2030,1
EL52,Asomaton,Elec_Transmission,1,2035,1
EL52,Asomaton,Elec_Transmission,1,2040,1
EL52,Asomaton,Elec_Transmission,1,2045,1
EL52,Asomaton,Elec_Transmission,1,2050,1
Crete,Atherinolakos,Elec_Transmission,1,2023,1
Crete,Atherinolakos,Elec_Transmission,1,2025,1
Crete,Atherinolakos,Elec_Transmission,1,2030,1
Crete,Atherinolakos,Elec_Transmission,1,2035,1
Crete,Atherinolakos,Elec_Transmission,1,2040,1
Crete,Atherinolakos,Elec_Transmission,1,2045,1
Crete,Atherinolakos,Elec_Transmission,1,2050,1
Crete,Atherinolakos_Diesel,Elec_Transmission,1,2023,1
Crete,Atherinolakos_Diesel,Elec_Transmission,1,2025,1
Crete,Atherinolakos_Diesel,Elec_Transmission,1,2030,1
Crete,Atherinolakos_Diesel,Elec_Transmission,1,2035,1
Crete,Atherinolakos_Diesel,Elec_Transmission,1,2040,1
Crete,Atherinolakos_Diesel,Elec_Transmission,1,2045,1
Crete,Atherinolakos_Diesel,Elec_Transmission,1,2050,1
EL51,BackStop,Elec_Demand,1,2023,1
EL51,BackStop,Elec_Demand,1,2025,1
EL51,BackStop,Elec_Demand,1,2030,1
EL51,BackStop,Elec_Demand,1,2035,1
EL51,BackStop,Elec_Demand,1,2040,1
EL51,BackStop,Elec_Demand,1,2045,1
EL51,BackStop,Elec_Demand,1,2050,1
EL52,BackStop,Elec_Demand,1,2023,1
EL52,BackStop,Elec_Demand,1,2025,1
EL52,BackStop,Elec_Demand,1,2030,1
EL52,BackStop,Elec_Demand,1,2035,1
EL52,BackStop,Elec_Demand,1,2040,1
EL52,BackStop,Elec_Demand,1,2045,1
EL52,BackStop,Elec_Demand,1,2050,1
EL53,BackStop,Elec_Demand,1,2023,1
EL53,BackStop,Elec_Demand,1,2025,1
EL53,BackStop,Elec_Demand,1,2030,1
EL53,BackStop,Elec_Demand,1,2035,1
EL53,BackStop,Elec_Demand,1,2040,1
EL53,BackStop,Elec_Demand,1,2045,1
EL53,BackStop,Elec_Demand,1,2050,1
EL54,BackStop,Elec_Demand,1,2023,1
EL54,BackStop,Elec_Demand,1,2025,1
EL54,BackStop,Elec_Demand,1,2030,1
EL54,BackStop,Elec_Demand,1,2035,1
EL54,BackStop,Elec_Demand,1,2040,1
EL54,BackStop,Elec_Demand,1,2045,1
EL54,BackStop,Elec_Demand,1,2050,1
EL61,BackStop,Elec_Demand,1,2023,1
EL61,BackStop,Elec_Demand,1,2025,1
EL61,BackStop,Elec_Demand,1,2030,1
EL61,BackStop,Elec_Demand,1,2035,1
EL61,BackStop,Elec_Demand,1,2040,1
EL61,BackStop,Elec_Demand,1,2045,1
EL61,BackStop,Elec_Demand,1,2050,1
EL62,BackStop,Elec_Demand,1,2023,1
EL62,BackStop,Elec_Demand,1,2025,1
EL62,BackStop,Elec_Demand,1,2030,1
EL62,BackStop,Elec_Demand,1,2035,1
EL62,BackStop,Elec_Demand,1,2040,1
EL62,BackStop,Elec_Demand,1,2045,1
EL62,BackStop,Elec_Demand,1,2050,1
EL63,BackStop,Elec_Demand,1,2023,1
EL63,BackStop,Elec_Demand,1,2025,1
EL63,BackStop,Elec_Demand,1,2030,1
EL63,BackStop,Elec_Demand,1,2035,1
EL63,BackStop,Elec_Demand,1,2040,1
EL63,BackStop,Elec_Demand,1,2045,1
EL63,BackStop,Elec_Demand,1,2050,1
EL64,BackStop,Elec_Demand,1,2023,1
EL64,BackStop,Elec_Demand,1,2025,1
EL64,BackStop,Elec_Demand,1,2030,1
EL64,BackStop,Elec_Demand,1,2035,1
EL64,BackStop,Elec_Demand,1,2040,1
EL64,BackStop,Elec_Demand,1,2045,1
EL64,BackStop,Elec_Demand,1,2050,1
EL30,BackStop,Elec_Demand,1,2023,1
EL30,BackStop,Elec_Demand,1,2025,1
EL30,BackStop,Elec_Demand,1,2030,1
EL30,BackStop,Elec_Demand,1,2035,1
EL30,BackStop,Elec_Demand,1,2040,1
EL30,BackStop,Elec_Demand,1,2045,1
EL30,BackStop,Elec_Demand,1,2050,1
EL65,BackStop,Elec_Demand,1,2023,1
EL65,BackStop,Elec_Demand,1,2025,1
EL65,BackStop,Elec_Demand,1,2030,1
EL65,BackStop,Elec_Demand,1,2035,1
EL65,BackStop,Elec_Demand,1,2040,1
EL65,BackStop,Elec_Demand,1,2045,1
EL65,BackStop,Elec_Demand,1,2050,1
EL52,Sfikia,Elec_Transmission,2,2023,1
EL52,Sfikia,Elec_Storage,1,2023,1
EL52,Sfikia,Elec_Transmission,2,2025,1
EL52,Sfikia,Elec_Storage,1,2025,1
EL52,Sfikia,Elec_Transmission,2,2030,1
EL52,Sfikia,Elec_Storage,1,2030,1
EL52,Sfikia,Elec_Transmission,2,2035,1
EL52,Sfikia,Elec_Storage,1,2035,1
EL52,Sfikia,Elec_Transmission,2,2040,1
EL52,Sfikia,Elec_Storage,1,2040,1
