REGION,FUEL,YEAR,VALUE
EL51,Elec_Transmission,2023,1
EL51,Elec_Transmission,2025,1
EL51,Elec_Transmission,2030,1
EL51,Elec_Transmission,2035,1
EL51,Elec_Transmission,2040,1
EL51,Elec_Transmission,2045,1
EL51,Elec_Transmission,2050,1
Crete,Elec_Transmission,2023,1
Crete,Elec_Transmission,2025,1
Crete,Elec_Transmission,2030,1
Crete,Elec_Transmission,2035,1
Crete,Elec_Transmission,2040,1
Crete,Elec_Transmission,2045,1
Crete,Elec_Transmission,2050,1
EL52,Elec_Transmission,2023,1
EL52,Elec_Transmission,2025,1
EL52,Elec_Transmission,2030,1
EL52,Elec_Transmission,2035,1
EL52,Elec_Transmission,2040,1
EL52,Elec_Transmission,2045,1
EL52,Elec_Transmission,2050,1
EL53,Elec_Transmission,2023,1
EL53,Elec_Transmission,2025,1
EL53,Elec_Transmission,2030,1
EL53,Elec_Transmission,2035,1
EL53,Elec_Transmission,2040,1
EL53,Elec_Transmission,2045,1
EL53,Elec_Transmission,2050,1
EL54,Elec_Transmission,2023,1
EL54,Elec_Transmission,2025,1
EL54,Elec_Transmission,2030,1
EL54,Elec_Transmission,2035,1
EL54,Elec_Transmission,2040,1
EL54,Elec_Transmission,2045,1
EL54,Elec_Transmission,2050,1
EL61,Elec_Transmission,2023,1
EL61,Elec_Transmission,2025,1
EL61,Elec_Transmission,2030,1
EL61,Elec_Transmission,2035,1
EL61,Elec_Transmission,2040,1
EL61,Elec_Transmission,2045,1
EL61,Elec_Transmission,2050,1
EL62,Elec_Transmission,2023,1
EL62,Elec_Transmission,2025,1
EL62,Elec_Transmission,2030,1
EL62,Elec_Transmission,2035,1
EL62,Elec_Transmission,2040,1
EL62,Elec_Transmission,2045,1
EL62,Elec_Transmission,2050,1
EL63,Elec_Transmission,2023,1
EL63,Elec_Transmission,2025,1
EL63,Elec_Transmission,2030,1
EL63,Elec_Transmission,2035,1
EL63,Elec_Transmission,2040,1
EL63,Elec_Transmission,2045,1
EL63,Elec_Transmission,2050,1
EL64,Elec_Transmission,2023,1
EL64,Elec_Transmission,2025,1
EL64,Elec_Transmission,2030,1
EL64,Elec_Transmission,2035,1
EL64,Elec_Transmission,2040,1
EL64,Elec_Transmission,2045,1
EL64,Elec_Transmission,2050,1
EL65,Elec_Transmission,2023,1
EL65,Elec_Transmission,2025,1
EL65,Elec_Transmission,2030,1
EL65,Elec_Transmission,2035,1
EL65,Elec_Transmission,2040,1
EL65,Elec_Transmission,2045,1
EL65,Elec_Transmission,2050,1
EL30,Elec_Transmission,2023,1
EL30,Elec_Transmission,2025,1
EL30,Elec_Transmission,2030,1
EL30,Elec_Transmission,2035,1
EL30,Elec_Transmission,2040,1
EL30,Elec_Transmission,2045,1
EL30,Elec_Transmission,2050,1
THIRA,Elec_Transmission,2023,1
THIRA,Elec_Transmission,2025,1
THIRA,Elec_Transmission,2030,1
THIRA,Elec_Transmission,2035,1
THIRA,Elec_Transmission,2040,1
THIRA,Elec_Transmission,2045,1
THIRA,Elec_Transmission,2050,1
SAMOS,Elec_Transmission,2023,1
SAMOS,Elec_Transmission,2025,1
SAMOS,Elec_Transmission,2030,1
SAMOS,Elec_Transmission,2035,1
SAMOS,Elec_Transmission,2040,1
SAMOS,Elec_Transmission,2045,1
SAMOS,Elec_Transmission,2050,1
CHIOS,Elec_Transmission,2023,1
CHIOS,Elec_Transmission,2025,1
CHIOS,Elec_Transmission,2030,1
CHIOS,Elec_Transmission,2035,1
CHIOS,Elec_Transmission,2040,1
CHIOS,Elec_Transmission,2045,1
CHIOS,Elec_Transmission,2050,1
LESVOS,Elec_Transmission,2023,1
LESVOS,Elec_Transmission,2025,1
LESVOS,Elec_Transmission,2030,1
LESVOS,Elec_Transmission,2035,1
LESVOS,Elec_Transmission,2040,1
LESVOS,Elec_Transmission,2045,1
LESVOS,Elec_Transmission,2050,1
LEMNOS,Elec_Transmission,2023,1
