REGION,TECHNOLOGY,YEAR,VALUE
EL53,Ag_Dimitriou_I,2023,0.9
EL53,Ag_Dimitriou_I,2025,0.9
EL53,Ag_Dimitriou_I,2030,0.9
EL53,Ag_Dimitriou_I,2035,0.9
EL53,Ag_Dimitriou_I,2040,0.9
EL53,Ag_Dimitriou_I,2045,0.9
EL53,Ag_Dimitriou_I,2050,0.9
EL53,Ag_Dimitriou_II,2023,0.9
EL53,Ag_Dimitriou_II,2025,0.9
EL53,Ag_Dimitriou_II,2030,0.9
EL53,Ag_Dimitriou_II,2035,0.9
EL53,Ag_Dimitriou_II,2040,0.9
EL53,Ag_Dimitriou_II,2045,0.9
EL53,Ag_Dimitriou_II,2050,0.9
EL53,Ag_Dimitriou_III,2023,0.9
EL53,Ag_Dimitriou_III,2025,0.9
EL53,Ag_Dimitriou_III,2030,0.9
EL53,Ag_Dimitriou_III,2035,0.9
EL53,Ag_Dimitriou_III,2040,0.9
EL53,Ag_Dimitriou_III,2045,0.9
EL53,Ag_Dimitriou_III,2050,0.9
EL53,Ag_Dimitriou_IV,2023,0.9
EL53,Ag_Dimitriou_IV,2025,0.9
EL53,Ag_Dimitriou_IV,2030,0.9
EL53,Ag_Dimitriou_IV,2035,0.9
EL53,Ag_Dimitriou_IV,2040,0.9
EL53,Ag_Dimitriou_IV,2045,0.9
EL53,Ag_Dimitriou_IV,2050,0.9
EL53,Ag_Dimitriou_V,2023,0.9
EL53,Ag_Dimitriou_V,2025,0.9
EL53,Ag_Dimitriou_V,2030,0.9
EL53,Ag_Dimitriou_V,2035,0.9
EL53,Ag_Dimitriou_V,2040,0.9
EL53,Ag_Dimitriou_V,2045,0.9
EL53,Ag_Dimitriou_V,2050,0.9
EL52,Agra,2023,0.8
EL52,Agra,2025,0.8
EL52,Agra,2030,0.8
EL52,Agra,2035,0.8
EL52,Agra,2040,0.8
EL52,Agra,2045,0.8
EL52,Agra,2050,0.8
EL64,AIS_Aliveriou,2023,0.9
EL64,AIS_Aliveriou,2025,0.9
EL64,AIS_Aliveriou,2030,0.9
EL64,AIS_Aliveriou,2035,0.9
EL64,AIS_Aliveriou,2040,0.9
EL64,AIS_Aliveriou,2045,0.9
EL64,AIS_Aliveriou,2050,0.9
EL51,AIS_Komotinis,2023,0.9
EL51,AIS_Komotinis,2025,0.9
EL51,AIS_Komotinis,2030,0.9
EL51,AIS_Komotinis,2035,0.9
EL51,AIS_Komotinis,2040,0.9
EL51,AIS_Komotinis,2045,0.9
EL51,AIS_Komotinis,2050,0.9
EL30,AIS_Lavriou_IV,2023,0.9
EL30,AIS_Lavriou_IV,2025,0.9
EL30,AIS_Lavriou_IV,2030,0.9
EL30,AIS_Lavriou_IV,2035,0.9
EL30,AIS_Lavriou_IV,2040,0.9
EL30,AIS_Lavriou_IV,2045,0.9
EL30,AIS_Lavriou_IV,2050,0.9
EL64,AIS_Lavriou_V,2023,0.9
EL64,AIS_Lavriou_V,2025,0.9
EL64,AIS_Lavriou_V,2030,0.9
EL64,AIS_Lavriou_V,2035,0.9
EL64,AIS_Lavriou_V,2040,0.9
EL64,AIS_Lavriou_V,2045,0.9
EL64,AIS_Lavriou_V,2050,0.9
EL65,AIS_Megalopoli_V,2023,0.9
EL65,AIS_Megalopoli_V,2025,0.9
EL65,AIS_Megalopoli_V,2030,0.9
EL65,AIS_Megalopoli_V,2035,0.9
EL65,AIS_Megalopoli_V,2040,0.9
EL65,AIS_Megalopoli_V,2045,0.9
EL65,AIS_Megalopoli_V,2050,0.9
EL64,Alouminion,2023,0.9
EL64,Alouminion,2025,0.9
EL64,Alouminion,2030,0.9
EL64,Alouminion,2035,0.9
EL64,Alouminion,2040,0.9
EL64,Alouminion,2045,0.9
EL64,Alouminion,2050,0.9
EL52,Asomaton,2023,0.8
EL52,Asomaton,2025,0.8
EL52,Asomaton,2030,0.8
EL52,Asomaton,2035,0.8
EL52,Asomaton,2040,0.8
EL52,Asomaton,2045,0.8
EL52,Asomaton,2050,0.8
Crete,Atherinolakos,2023,0.9
Crete,Atherinolakos,2025,0.9
Crete,Atherinolakos,2030,0.9
Crete,Atherinolakos,2035,0.9
Crete,Atherinolakos,2040,0.9
Crete,Atherinolakos,2045,0.9
Crete,Atherinolakos,2050,0.9
Crete,Atherinolakos_Diesel,2023,0.9
Crete,Atherinolakos_Diesel,2025,0.9
Crete,Atherinolakos_Diesel,2030,0.9
Crete,Atherinolakos_Diesel,2035,0.9
Crete,Atherinolakos_Diesel,2040,0.9
Crete,Atherinolakos_Diesel,2045,0.9
Crete,Atherinolakos_Diesel,2050,0.9
EL61,Batteries_New,2023,0.3
EL61,Batteries_New,2025,0.3
EL61,Batteries_New,2030,0.3
EL61,Batteries_New,2035,0.3
EL61,Batteries_New,2040,0.3
EL61,Batteries_New,2045,0.3
EL61,Batteries_New,2050,0.3
EL62,Batteries_New,2023,0.3
EL62,Batteries_New,2025,0.3
EL62,Batteries_New,2030,0.3
EL62,Batteries_New,2035,0.3
EL62,Batteries_New,2040,0.3
