REGION,TECHNOLOGY,YEAR,VALUE
EL53,Ag_Dimitriou_I,2023,0.274
EL53,Ag_Dimitriou_I,2025,0
EL53,Ag_Dimitriou_I,2030,0
EL53,Ag_Dimitriou_I,2035,0
EL53,Ag_Dimitriou_I,2040,0
EL53,Ag_Dimitriou_I,2045,0
EL53,Ag_Dimitriou_I,2050,0
EL53,Ag_Dimitriou_II,2023,0.274
EL53,Ag_Dimitriou_II,2025,0
EL53,Ag_Dimitriou_II,2030,0
EL53,Ag_Dimitriou_II,2035,0
EL53,Ag_Dimitriou_II,2040,0
EL53,Ag_Dimitriou_II,2045,0
EL53,Ag_Dimitriou_II,2050,0
EL53,Ag_Dimitriou_III,2023,0.283
EL53,Ag_Dimitriou_III,2025,0
EL53,Ag_Dimitriou_III,2030,0
EL53,Ag_Dimitriou_III,2035,0
EL53,Ag_Dimitriou_III,2040,0
EL53,Ag_Dimitriou_III,2045,0
EL53,Ag_Dimitriou_III,2050,0
EL53,Ag_Dimitriou_IV,2023,0.283
EL53,Ag_Dimitriou_IV,2025,0
EL53,Ag_Dimitriou_IV,2030,0
EL53,Ag_Dimitriou_IV,2035,0
EL53,Ag_Dimitriou_IV,2040,0
EL53,Ag_Dimitriou_IV,2045,0
EL53,Ag_Dimitriou_IV,2050,0
EL53,Ag_Dimitriou_V,2023,0.342
EL53,Ag_Dimitriou_V,2025,0
EL53,Ag_Dimitriou_V,2030,0
EL53,Ag_Dimitriou_V,2035,0
EL53,Ag_Dimitriou_V,2040,0
EL53,Ag_Dimitriou_V,2045,0
EL53,Ag_Dimitriou_V,2050,0
EL52,Agra,2023,0.05
EL52,Agra,2025,0.05
EL52,Agra,2030,0.05
EL52,Agra,2035,0.05
EL52,Agra,2040,0.05
EL52,Agra,2045,0.05
EL52,Agra,2050,0.05
EL64,AIS_Aliveriou,2023,0.417
EL64,AIS_Aliveriou,2025,0.417
EL64,AIS_Aliveriou,2030,0.417
EL64,AIS_Aliveriou,2035,0.417
EL64,AIS_Aliveriou,2040,0.417
EL64,AIS_Aliveriou,2045,0
EL64,AIS_Aliveriou,2050,0
EL51,AIS_Komotinis,2023,0.4763
EL51,AIS_Komotinis,2025,0.4763
EL51,AIS_Komotinis,2030,0.4763
EL51,AIS_Komotinis,2035,0
EL51,AIS_Komotinis,2040,0
EL51,AIS_Komotinis,2045,0
EL51,AIS_Komotinis,2050,0
EL30,AIS_Lavriou_IV,2023,0.5502
EL30,AIS_Lavriou_IV,2025,0.5502
EL30,AIS_Lavriou_IV,2030,0.5502
EL30,AIS_Lavriou_IV,2035,0
EL30,AIS_Lavriou_IV,2040,0
EL30,AIS_Lavriou_IV,2045,0
EL30,AIS_Lavriou_IV,2050,0
EL30,AIS_Lavriou_V,2023,0.37766
EL30,AIS_Lavriou_V,2025,0.37766
EL30,AIS_Lavriou_V,2030,0.37766
EL30,AIS_Lavriou_V,2035,0.37766
EL30,AIS_Lavriou_V,2040,0
EL30,AIS_Lavriou_V,2045,0
EL30,AIS_Lavriou_V,2050,0
EL65,AIS_Megalopoli_V,2023,0.811
EL65,AIS_Megalopoli_V,2025,0.811
EL65,AIS_Megalopoli_V,2030,0.811
EL65,AIS_Megalopoli_V,2035,0.811
EL65,AIS_Megalopoli_V,2040,0.811
EL65,AIS_Megalopoli_V,2045,0.811
EL65,AIS_Megalopoli_V,2050,0
EL64,Alouminion,2023,0.334
EL64,Alouminion,2025,0.334
EL64,Alouminion,2030,0.334
EL64,Alouminion,2035,0.334
EL64,Alouminion,2040,0
EL64,Alouminion,2045,0
EL64,Alouminion,2050,0
EL52,Asomaton,2023,0.108
EL52,Asomaton,2025,0.108
EL52,Asomaton,2030,0.108
EL52,Asomaton,2035,0.108
