REGION,HYDROTECHS,SEASON,YEAR,VALUE
EL52,Agra,1,2023,0.17027812
EL52,Agra,2,2023,0.150170048
EL52,Agra,3,2023,0.079824133
EL52,Agra,4,2023,0.077478864
EL52,Agra,5,2023,0.079030318
EL52,Agra,6,2023,0.162441593
EL52,Agra,7,2023,0.196518196
EL52,Agra,8,2023,0.201003863
EL52,Agra,9,2023,0.17082437
EL52,Agra,10,2023,0.206131296
EL52,Agra,11,2023,0.130781439
EL52,Agra,12,2023,0.239320224
EL52,Asomaton,1,2023,0.17027812
EL52,Asomaton,2,2023,0.150170048
EL52,Asomaton,3,2023,0.079824133
EL52,Asomaton,4,2023,0.077478864
EL52,Asomaton,5,2023,0.079030318
EL52,Asomaton,6,2023,0.162441593
EL52,Asomaton,7,2023,0.196518196
EL52,Asomaton,8,2023,0.201003863
EL52,Asomaton,9,2023,0.17082437
EL52,Asomaton,10,2023,0.206131296
EL52,Asomaton,11,2023,0.130781439
EL52,Asomaton,12,2023,0.239320224
EL52,Edeseou,1,2023,0.17027812
EL52,Edeseou,2,2023,0.150170048
EL52,Edeseou,3,2023,0.079824133
EL52,Edeseou,4,2023,0.077478864
EL52,Edeseou,5,2023,0.079030318
EL52,Edeseou,6,2023,0.162441593
EL52,Edeseou,7,2023,0.196518196
EL52,Edeseou,8,2023,0.201003863
EL52,Edeseou,9,2023,0.17082437
EL52,Edeseou,10,2023,0.206131296
EL52,Edeseou,11,2023,0.130781439
EL52,Edeseou,12,2023,0.239320224
EL51,HydroStor,1,2023,0.17027812
EL51,HydroStor,2,2023,0.150170048
EL51,HydroStor,3,2023,0.079824133
EL51,HydroStor,4,2023,0.077478864
EL51,HydroStor,5,2023,0.079030318
EL51,HydroStor,6,2023,0.162441593
EL51,HydroStor,7,2023,0.196518196
EL51,HydroStor,8,2023,0.201003863
EL51,HydroStor,9,2023,0.17082437
EL51,HydroStor,10,2023,0.206131296
EL51,HydroStor,11,2023,0.130781439
EL51,HydroStor,12,2023,0.239320224
EL52,HydroStor,1,2023,0.17027812
EL52,HydroStor,2,2023,0.150170048
EL52,HydroStor,3,2023,0.079824133
EL52,HydroStor,4,2023,0.077478864
EL52,HydroStor,5,2023,0.079030318
EL52,HydroStor,6,2023,0.162441593
EL52,HydroStor,7,2023,0.196518196
EL52,HydroStor,8,2023,0.201003863
EL52,HydroStor,9,2023,0.17082437
EL52,HydroStor,10,2023,0.206131296
EL52,HydroStor,11,2023,0.130781439
EL52,HydroStor,12,2023,0.239320224
EL53,HydroStor,1,2023,0.17027812
EL53,HydroStor,2,2023,0.150170048
EL53,HydroStor,3,2023,0.079824133
EL53,HydroStor,4,2023,0.077478864
EL53,HydroStor,5,2023,0.079030318
EL53,HydroStor,6,2023,0.162441593
EL53,HydroStor,7,2023,0.196518196
EL53,HydroStor,8,2023,0.201003863
EL53,HydroStor,9,2023,0.17082437
EL53,HydroStor,10,2023,0.206131296
EL53,HydroStor,11,2023,0.130781439
EL53,HydroStor,12,2023,0.239320224
EL54,HydroStor,1,2023,0.17027812
EL54,HydroStor,2,2023,0.150170048
EL54,HydroStor,3,2023,0.079824133
EL54,HydroStor,4,2023,0.077478864
EL54,HydroStor,5,2023,0.079030318
EL54,HydroStor,6,2023,0.162441593
EL54,HydroStor,7,2023,0.196518196
EL54,HydroStor,8,2023,0.201003863
EL54,HydroStor,9,2023,0.17082437
EL54,HydroStor,10,2023,0.206131296
EL54,HydroStor,11,2023,0.130781439
EL54,HydroStor,12,2023,0.239320224
EL61,HydroStor,1,2023,0.17027812
EL61,HydroStor,2,2023,0.150170048
EL61,HydroStor,3,2023,0.079824133
EL61,HydroStor,4,2023,0.077478864
EL61,HydroStor,5,2023,0.079030318
EL61,HydroStor,6,2023,0.162441593
EL61,HydroStor,7,2023,0.196518196
EL61,HydroStor,8,2023,0.201003863
EL61,HydroStor,9,2023,0.17082437
EL61,HydroStor,10,2023,0.206131296
EL61,HydroStor,11,2023,0.130781439
EL61,HydroStor,12,2023,0.239320224
EL65,HydroStor,1,2023,0.17027812
EL65,HydroStor,2,2023,0.150170048
EL65,HydroStor,3,2023,0.079824133
EL65,HydroStor,4,2023,0.077478864
EL65,HydroStor,5,2023,0.079030318
