REGION,FUEL,YEAR,VALUE
EL51,Elec_Demand,2023,9.053247269
EL51,Elec_Demand,2025,9.195660905
EL51,Elec_Demand,2030,10.10204325
EL51,Elec_Demand,2035,12.04664537
EL51,Elec_Demand,2040,14.56803627
EL51,Elec_Demand,2045,17.25422396
EL51,Elec_Demand,2050,21.57189987
EL52,Elec_Demand,2023,30.38899344
EL52,Elec_Demand,2025,30.86703264
EL52,Elec_Demand,2030,33.90948209
EL52,Elec_Demand,2035,40.43691909
EL52,Elec_Demand,2040,48.9004603
EL52,Elec_Demand,2045,57.91717413
EL52,Elec_Demand,2050,72.41029699
EL53,Elec_Demand,2023,3.603370833
EL53,Elec_Demand,2025,3.660054266
EL53,Elec_Demand,2030,4.020812303
EL53,Elec_Demand,2035,4.794802273
EL53,Elec_Demand,2040,5.79836554
EL53,Elec_Demand,2045,6.867521178
EL53,Elec_Demand,2050,8.586041281
EL54,Elec_Demand,2023,4.685329392
EL54,Elec_Demand,2025,4.759032758
EL54,Elec_Demand,2030,5.228113047
EL54,Elec_Demand,2035,6.234503487
EL54,Elec_Demand,2040,7.539399566
EL54,Elec_Demand,2045,8.92958297
EL54,Elec_Demand,2050,11.16411089
EL61,Elec_Demand,2023,14.36929473
EL61,Elec_Demand,2025,14.59533334
EL61,Elec_Demand,2030,16.03394146
EL61,Elec_Demand,2035,19.12040981
EL61,Elec_Demand,2040,23.12235605
EL61,Elec_Demand,2045,27.3858674
EL61,Elec_Demand,2050,34.23887338
EL62,Elec_Demand,2023,3.620493153
EL62,Elec_Demand,2025,3.677445932
EL62,Elec_Demand,2030,4.039918201
EL62,Elec_Demand,2035,4.817585979
EL62,Elec_Demand,2040,5.825917928
EL62,Elec_Demand,2045,6.900153926
EL62,Elec_Demand,2050,8.626840009
EL63,Elec_Demand,2023,9.418747065
EL63,Elec_Demand,2025,9.566910258
EL63,Elec_Demand,2030,10.50988529
EL63,Elec_Demand,2035,12.53299534
EL63,Elec_Demand,2040,15.15618041
EL63,Elec_Demand,2045,17.95081549
EL63,Elec_Demand,2050,22.44280561
EL64,Elec_Demand,2023,27.98180137
EL64,Elec_Demand,2025,28.42197383
EL64,Elec_Demand,2030,31.22342286
EL64,Elec_Demand,2035,37.23380442
EL64,Elec_Demand,2040,45.02692628
EL64,Elec_Demand,2045,53.3294025
EL64,Elec_Demand,2050,66.67448698
EL30,Elec_Demand,2023,60.98693044
EL30,Elec_Demand,2025,61.94629564
EL30,Elec_Demand,2030,68.05211332
EL30,Elec_Demand,2035,81.1518676
EL30,Elec_Demand,2040,98.13714218
EL30,Elec_Demand,2045,116.2325655
EL30,Elec_Demand,2050,145.3184605
EL65,Elec_Demand,2023,10.06333465
EL65,Elec_Demand,2025,10.22163764
EL65,Elec_Demand,2030,11.22914673
EL65,Elec_Demand,2035,13.39071168
EL65,Elec_Demand,2040,16.19341878
EL65,Elec_Demand,2045,19.17930933
EL65,Elec_Demand,2050,23.97871625
Crete,Elec_Demand,2023,11.07385097
Crete,Elec_Demand,2025,11.24805005
Crete,Elec_Demand,2030,12.35672882
Crete,Elec_Demand,2035,14.73534873
Crete,Elec_Demand,2040,17.81949148
Crete,Elec_Demand,2045,21.10521219
Crete,Elec_Demand,2050,26.38655469
THIRA,Elec_Demand,2023,0.935474743
THIRA,Elec_Demand,2025,1.057347553
THIRA,Elec_Demand,2030,1.161566397
THIRA,Elec_Demand,2035,1.385163192
THIRA,Elec_Demand,2040,1.67508107
THIRA,Elec_Demand,2045,1.983947828
THIRA,Elec_Demand,2050,2.480408507
SAMOS,Elec_Demand,2023,0.44208082
SAMOS,Elec_Demand,2025,0.499674713
SAMOS,Elec_Demand,2030,0.548925805
SAMOS,Elec_Demand,2035,0.654591784
SAMOS,Elec_Demand,2040,0.791599366
SAMOS,Elec_Demand,2045,0.937561693
SAMOS,Elec_Demand,2050,1.172175985
CHIOS,Elec_Demand,2023,0.651564164
CHIOS,Elec_Demand,2025,0.736449359
CHIOS,Elec_Demand,2030,0.809038453
CHIOS,Elec_Demand,2035,0.964775056
CHIOS,Elec_Demand,2040,1.16670472
CHIOS,Elec_Demand,2045,1.381832399
CHIOS,Elec_Demand,2050,1.72762045
LESVOS,Elec_Demand,2023,0.925581384
LESVOS,Elec_Demand,2025,1.046165297
LESVOS,Elec_Demand,2030,1.149281947
LESVOS,Elec_Demand,2035,1.370514035
LESVOS,Elec_Demand,2040,1.65736581
LESVOS,Elec_Demand,2045,1.962966067
LESVOS,Elec_Demand,2050,2.454176295
