REGION,STORAGE,VALUE
EL51,Thisavros_S,0.013824
EL52,Sfikia_S,0.01134
EL51,BATTERY_STORAGE_NEW,99999
EL52,BATTERY_STORAGE_NEW,99999
EL53,BATTERY_STORAGE_NEW,99999
EL54,BATTERY_STORAGE_NEW,99999
EL61,BATTERY_STORAGE_NEW,99999
EL62,BATTERY_STORAGE_NEW,99999
EL63,BATTERY_STORAGE_NEW,99999
EL64,BATTERY_STORAGE_NEW,99999
EL65,BATTERY_STORAGE_NEW,99999
EL30,BATTERY_STORAGE_NEW,99999
Crete,BATTERY_STORAGE_NEW,99999
THIRA,BATTERY_STORAGE_NEW,99999
SAMOS,BATTERY_STORAGE_NEW,99999
CHIOS,BATTERY_STORAGE_NEW,99999
LEMNOS,BATTERY_STORAGE_NEW,99999
LESVOS,BATTERY_STORAGE_NEW,99999
RODOS,BATTERY_STORAGE_NEW,99999
KOS,BATTERY_STORAGE_NEW,99999
KARPATHOS,BATTERY_STORAGE_NEW,99999
SKYROS,BATTERY_STORAGE_NEW,99999
SERIFOS,BATTERY_STORAGE_NEW,99999
EL51,HPS_STORAGE_NEW,99999
EL52,HPS_STORAGE_NEW,99999
EL53,HPS_STORAGE_NEW,99999
EL54,HPS_STORAGE_NEW,99999
EL61,HPS_STORAGE_NEW,99999
EL62,HPS_STORAGE_NEW,99999
EL63,HPS_STORAGE_NEW,99999
EL64,HPS_STORAGE_NEW,99999
EL65,HPS_STORAGE_NEW,99999
EL30,HPS_STORAGE_NEW,99999
