REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
EL51,Thisavros,Thisavros_S,2,1
EL52,Sfikia,Sfikia_S,2,1
EL51,Batteries_New,BATTERY_STORAGE_NEW,2,1
EL52,Batteries_New,BATTERY_STORAGE_NEW,2,1
EL53,Batteries_New,BATTERY_STORAGE_NEW,2,1
EL54,Batteries_New,BATTERY_STORAGE_NEW,2,1
EL61,Batteries_New,BATTERY_STORAGE_NEW,2,1
EL62,Batteries_New,BATTERY_STORAGE_NEW,2,1
EL63,Batteries_New,BATTERY_STORAGE_NEW,2,1
EL64,Batteries_New,BATTERY_STORAGE_NEW,2,1
EL65,Batteries_New,BATTERY_STORAGE_NEW,2,1
EL30,Batteries_New,BATTERY_STORAGE_NEW,2,1
Crete,Batteries_New,BATTERY_STORAGE_NEW,2,1
THIRA,Batteries_New,BATTERY_STORAGE_NEW,2,1
SAMOS,Batteries_New,BATTERY_STORAGE_NEW,2,1
CHIOS,Batteries_New,BATTERY_STORAGE_NEW,2,1
LEMNOS,Batteries_New,BATTERY_STORAGE_NEW,2,1
LESVOS,Batteries_New,BATTERY_STORAGE_NEW,2,1
RODOS,Batteries_New,BATTERY_STORAGE_NEW,2,1
KOS,Batteries_New,BATTERY_STORAGE_NEW,2,1
KARPATHOS,Batteries_New,BATTERY_STORAGE_NEW,2,1
SKYROS,Batteries_New,BATTERY_STORAGE_NEW,2,1
SERIFOS,Batteries_New,BATTERY_STORAGE_NEW,2,1
EL51,HPS_New,HPS_STORAGE_NEW,2,1
EL52,HPS_New,HPS_STORAGE_NEW,2,1
EL53,HPS_New,HPS_STORAGE_NEW,2,1
EL54,HPS_New,HPS_STORAGE_NEW,2,1
EL61,HPS_New,HPS_STORAGE_NEW,2,1
EL62,HPS_New,HPS_STORAGE_NEW,2,1
EL63,HPS_New,HPS_STORAGE_NEW,2,1
EL64,HPS_New,HPS_STORAGE_NEW,2,1
EL65,HPS_New,HPS_STORAGE_NEW,2,1
EL30,HPS_New,HPS_STORAGE_NEW,2,1
