REGION,TECHNOLOGY,YEAR,VALUE
EL30,Biomass,2023,9999
EL30,Biomass,2025,9999
EL30,Biomass,2030,9999
EL30,Biomass,2035,9999
EL30,Biomass,2040,9999
EL30,Biomass,2045,9999
EL30,Biomass,2050,9999
EL51,Biomass,2023,9999
EL51,Biomass,2025,9999
EL51,Biomass,2030,9999
EL51,Biomass,2035,9999
EL51,Biomass,2040,9999
EL51,Biomass,2045,9999
EL51,Biomass,2050,9999
EL52,Biomass,2023,9999
EL52,Biomass,2025,9999
EL52,Biomass,2030,9999
EL52,Biomass,2035,9999
EL52,Biomass,2040,9999
EL52,Biomass,2045,9999
EL52,Biomass,2050,9999
EL53,Biomass,2023,9999
EL53,Biomass,2025,9999
EL53,Biomass,2030,9999
EL53,Biomass,2035,9999
EL53,Biomass,2040,9999
EL53,Biomass,2045,9999
EL53,Biomass,2050,9999
EL54,Biomass,2023,9999
EL54,Biomass,2025,9999
EL54,Biomass,2030,9999
EL54,Biomass,2035,9999
EL54,Biomass,2040,9999
EL54,Biomass,2045,9999
EL54,Biomass,2050,9999
EL61,Biomass,2023,9999
EL61,Biomass,2025,9999
EL61,Biomass,2030,9999
EL61,Biomass,2035,9999
EL61,Biomass,2040,9999
EL61,Biomass,2045,9999
EL61,Biomass,2050,9999
EL62,Biomass,2023,9999
EL62,Biomass,2025,9999
EL62,Biomass,2030,9999
EL62,Biomass,2035,9999
EL62,Biomass,2040,9999
EL62,Biomass,2045,9999
EL62,Biomass,2050,9999
EL63,Biomass,2023,9999
EL63,Biomass,2025,9999
EL63,Biomass,2030,9999
EL63,Biomass,2035,9999
EL63,Biomass,2040,9999
EL63,Biomass,2045,9999
EL63,Biomass,2050,9999
EL64,Biomass,2023,9999
EL64,Biomass,2025,9999
EL64,Biomass,2030,9999
EL64,Biomass,2035,9999
EL64,Biomass,2040,9999
EL64,Biomass,2045,9999
EL64,Biomass,2050,9999
EL65,Biomass,2023,9999
EL65,Biomass,2025,9999
EL65,Biomass,2030,9999
EL65,Biomass,2035,9999
EL65,Biomass,2040,9999
EL65,Biomass,2045,9999
EL65,Biomass,2050,9999
EL30,Biomass_CCS,2023,0
EL30,Biomass_CCS,2025,0
EL30,Biomass_CCS,2030,0
EL30,Biomass_CCS,2035,0
EL30,Biomass_CCS,2040,0
EL30,Biomass_CCS,2045,0
EL30,Biomass_CCS,2050,0
EL51,Biomass_CCS,2023,0
EL51,Biomass_CCS,2025,0
EL51,Biomass_CCS,2030,0
EL51,Biomass_CCS,2035,0
EL51,Biomass_CCS,2040,0
EL51,Biomass_CCS,2045,0
EL51,Biomass_CCS,2050,0
EL52,Biomass_CCS,2023,0
