REGION,TECHNOLOGY,YEAR,VALUE
EL51,BiomassProduction,2023,6.14477
EL51,BiomassProduction,2025,6.18655
EL51,BiomassProduction,2030,6.291
EL51,BiomassProduction,2035,6.8507
EL51,BiomassProduction,2040,7.4104
EL51,BiomassProduction,2045,7.94465
EL51,BiomassProduction,2050,8.4789
EL52,BiomassProduction,2023,12.62867
EL52,BiomassProduction,2025,12.83445
EL52,BiomassProduction,2030,13.3489
EL52,BiomassProduction,2035,14.1418
EL52,BiomassProduction,2040,14.9347
EL52,BiomassProduction,2045,15.6563
EL52,BiomassProduction,2050,16.3779
EL53,BiomassProduction,2023,2.03011
EL53,BiomassProduction,2025,2.11685
EL53,BiomassProduction,2030,2.3337
EL53,BiomassProduction,2035,2.41905
EL53,BiomassProduction,2040,2.5044
EL53,BiomassProduction,2045,2.55735
EL53,BiomassProduction,2050,2.6103
EL54,BiomassProduction,2023,4.32991
EL54,BiomassProduction,2025,4.36545
EL54,BiomassProduction,2030,4.4543
EL54,BiomassProduction,2035,4.5743
EL54,BiomassProduction,2040,4.6943
EL54,BiomassProduction,2045,4.8077
EL54,BiomassProduction,2050,4.9211
EL61,BiomassProduction,2023,1.34567
EL61,BiomassProduction,2025,1.44645
EL61,BiomassProduction,2030,1.6984
EL61,BiomassProduction,2035,1.8858
EL61,BiomassProduction,2040,2.0732
EL61,BiomassProduction,2045,2.42
EL61,BiomassProduction,2050,2.7668
EL62,BiomassProduction,2023,0.40989
EL62,BiomassProduction,2025,0.41095
EL62,BiomassProduction,2030,0.4136
EL62,BiomassProduction,2035,0.41345
EL62,BiomassProduction,2040,0.4133
EL62,BiomassProduction,2045,0.41275
EL62,BiomassProduction,2050,0.4122
EL63,BiomassProduction,2023,4.79813
EL63,BiomassProduction,2025,4.76435
EL63,BiomassProduction,2030,4.6799
EL63,BiomassProduction,2035,4.54675
EL63,BiomassProduction,2040,4.4136
EL63,BiomassProduction,2045,4.278
EL63,BiomassProduction,2050,4.1424
EL64,BiomassProduction,2023,2.5978
