REGION,REGION,FUEL,YEAR,VALUE
EL51,EL52,Elec_Transmission,2023,1
EL51,EL52,Elec_Transmission,2025,1
EL51,EL52,Elec_Transmission,2030,1
EL51,EL52,Elec_Transmission,2035,1
EL51,EL52,Elec_Transmission,2040,1
EL51,EL52,Elec_Transmission,2045,1
EL51,EL52,Elec_Transmission,2050,1
EL52,EL51,Elec_Transmission,2023,1
EL52,EL51,Elec_Transmission,2025,1
EL52,EL51,Elec_Transmission,2030,1
EL52,EL51,Elec_Transmission,2035,1
EL52,EL51,Elec_Transmission,2040,1
EL52,EL51,Elec_Transmission,2045,1
EL52,EL51,Elec_Transmission,2050,1
EL52,EL53,Elec_Transmission,2023,1
EL52,EL53,Elec_Transmission,2025,1
EL52,EL53,Elec_Transmission,2030,1
EL52,EL53,Elec_Transmission,2035,1
EL52,EL53,Elec_Transmission,2040,1
EL52,EL53,Elec_Transmission,2045,1
EL52,EL53,Elec_Transmission,2050,1
EL53,EL52,Elec_Transmission,2023,1
EL53,EL52,Elec_Transmission,2025,1
EL53,EL52,Elec_Transmission,2030,1
EL53,EL52,Elec_Transmission,2035,1
EL53,EL52,Elec_Transmission,2040,1
EL53,EL52,Elec_Transmission,2045,1
EL53,EL52,Elec_Transmission,2050,1
EL53,EL61,Elec_Transmission,2023,1
EL53,EL61,Elec_Transmission,2025,1
EL53,EL61,Elec_Transmission,2030,1
EL53,EL61,Elec_Transmission,2035,1
EL53,EL61,Elec_Transmission,2040,1
EL53,EL61,Elec_Transmission,2045,1
EL53,EL61,Elec_Transmission,2050,1
EL61,EL53,Elec_Transmission,2023,1
EL61,EL53,Elec_Transmission,2025,1
EL61,EL53,Elec_Transmission,2030,1
EL61,EL53,Elec_Transmission,2035,1
EL61,EL53,Elec_Transmission,2040,1
EL61,EL53,Elec_Transmission,2045,1
EL61,EL53,Elec_Transmission,2050,1
EL61,EL54,Elec_Transmission,2023,1
EL61,EL54,Elec_Transmission,2025,1
EL61,EL54,Elec_Transmission,2030,1
EL61,EL54,Elec_Transmission,2035,1
EL61,EL54,Elec_Transmission,2040,1
EL61,EL54,Elec_Transmission,2045,1
EL61,EL54,Elec_Transmission,2050,1
EL54,EL61,Elec_Transmission,2023,1
EL54,EL61,Elec_Transmission,2025,1
EL54,EL61,Elec_Transmission,2030,1
EL54,EL61,Elec_Transmission,2035,1
EL54,EL61,Elec_Transmission,2040,1
EL54,EL61,Elec_Transmission,2045,1
EL54,EL61,Elec_Transmission,2050,1
EL61,EL64,Elec_Transmission,2023,1
EL61,EL64,Elec_Transmission,2025,1
EL61,EL64,Elec_Transmission,2030,1
EL61,EL64,Elec_Transmission,2035,1
EL61,EL64,Elec_Transmission,2040,1
EL61,EL64,Elec_Transmission,2045,1
EL61,EL64,Elec_Transmission,2050,1
EL64,EL61,Elec_Transmission,2023,1
EL64,EL61,Elec_Transmission,2025,1
EL64,EL61,Elec_Transmission,2030,1
EL64,EL61,Elec_Transmission,2035,1
EL64,EL61,Elec_Transmission,2040,1
EL64,EL61,Elec_Transmission,2045,1
EL64,EL61,Elec_Transmission,2050,1
EL54,EL62,Elec_Transmission,2023,1
EL54,EL62,Elec_Transmission,2025,1
EL54,EL62,Elec_Transmission,2030,1
EL54,EL62,Elec_Transmission,2035,1
EL54,EL62,Elec_Transmission,2040,1
EL54,EL62,Elec_Transmission,2045,1
EL54,EL62,Elec_Transmission,2050,1
EL62,EL54,Elec_Transmission,2023,1
EL62,EL54,Elec_Transmission,2025,1
EL62,EL54,Elec_Transmission,2030,1
EL62,EL54,Elec_Transmission,2035,1
EL62,EL54,Elec_Transmission,2040,1
EL62,EL54,Elec_Transmission,2045,1
EL62,EL54,Elec_Transmission,2050,1
EL54,EL63,Elec_Transmission,2023,1
EL54,EL63,Elec_Transmission,2025,1
EL54,EL63,Elec_Transmission,2030,1
EL54,EL63,Elec_Transmission,2035,1
EL54,EL63,Elec_Transmission,2040,1
EL54,EL63,Elec_Transmission,2045,1
EL54,EL63,Elec_Transmission,2050,1
