REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
EL53,Ag_Dimitriou_I,1,2023,0.33
EL53,Ag_Dimitriou_I,1,2025,0.33
EL53,Ag_Dimitriou_I,1,2030,0.33
EL53,Ag_Dimitriou_I,1,2035,0.33
EL53,Ag_Dimitriou_I,1,2040,0.33
EL53,Ag_Dimitriou_I,1,2045,0.33
EL53,Ag_Dimitriou_I,1,2050,0.33
EL53,Ag_Dimitriou_II,1,2023,0.33
EL53,Ag_Dimitriou_II,1,2025,0.33
EL53,Ag_Dimitriou_II,1,2030,0.33
EL53,Ag_Dimitriou_II,1,2035,0.33
EL53,Ag_Dimitriou_II,1,2040,0.33
EL53,Ag_Dimitriou_II,1,2045,0.33
EL53,Ag_Dimitriou_II,1,2050,0.33
EL53,Ag_Dimitriou_III,1,2023,0.33
EL53,Ag_Dimitriou_III,1,2025,0.33
EL53,Ag_Dimitriou_III,1,2030,0.33
EL53,Ag_Dimitriou_III,1,2035,0.33
EL53,Ag_Dimitriou_III,1,2040,0.33
EL53,Ag_Dimitriou_III,1,2045,0.33
EL53,Ag_Dimitriou_III,1,2050,0.33
EL53,Ag_Dimitriou_IV,1,2023,0.33
EL53,Ag_Dimitriou_IV,1,2025,0.33
EL53,Ag_Dimitriou_IV,1,2030,0.33
EL53,Ag_Dimitriou_IV,1,2035,0.33
EL53,Ag_Dimitriou_IV,1,2040,0.33
EL53,Ag_Dimitriou_IV,1,2045,0.33
EL53,Ag_Dimitriou_IV,1,2050,0.33
EL53,Ag_Dimitriou_V,1,2023,0.33
EL53,Ag_Dimitriou_V,1,2025,0.33
EL53,Ag_Dimitriou_V,1,2030,0.33
EL53,Ag_Dimitriou_V,1,2035,0.33
EL53,Ag_Dimitriou_V,1,2040,0.33
EL53,Ag_Dimitriou_V,1,2045,0.33
EL53,Ag_Dimitriou_V,1,2050,0.33
EL52,Agra,1,2023,0.09
EL52,Agra,1,2025,0.09
EL52,Agra,1,2030,0.09
EL52,Agra,1,2035,0.09
EL52,Agra,1,2040,0.09
EL52,Agra,1,2045,0.09
EL52,Agra,1,2050,0.09
EL64,AIS_Aliveriou,1,2023,0.69
EL64,AIS_Aliveriou,1,2025,0.69
EL64,AIS_Aliveriou,1,2030,0.69
EL64,AIS_Aliveriou,1,2035,0.69
EL64,AIS_Aliveriou,1,2040,0.69
EL64,AIS_Aliveriou,1,2045,0.69
EL64,AIS_Aliveriou,1,2050,0.69
EL51,AIS_Komotinis,1,2023,0.69
EL51,AIS_Komotinis,1,2025,0.69
EL51,AIS_Komotinis,1,2030,0.69
EL51,AIS_Komotinis,1,2035,0.69
EL51,AIS_Komotinis,1,2040,0.69
EL51,AIS_Komotinis,1,2045,0.69
EL51,AIS_Komotinis,1,2050,0.69
EL30,AIS_Lavriou_IV,1,2023,0.69
EL30,AIS_Lavriou_IV,1,2025,0.69
EL30,AIS_Lavriou_IV,1,2030,0.69
EL30,AIS_Lavriou_IV,1,2035,0.69
EL30,AIS_Lavriou_IV,1,2040,0.69
EL30,AIS_Lavriou_IV,1,2045,0.69
EL30,AIS_Lavriou_IV,1,2050,0.69
EL30,AIS_Lavriou_V,1,2023,0.69
EL30,AIS_Lavriou_V,1,2025,0.69
EL30,AIS_Lavriou_V,1,2030,0.69
EL30,AIS_Lavriou_V,1,2035,0.69
EL30,AIS_Lavriou_V,1,2040,0.69
EL30,AIS_Lavriou_V,1,2045,0.69
EL30,AIS_Lavriou_V,1,2050,0.69
EL65,AIS_Megalopoli_V,1,2023,0.69
EL65,AIS_Megalopoli_V,1,2025,0.69
EL65,AIS_Megalopoli_V,1,2030,0.69
EL65,AIS_Megalopoli_V,1,2035,0.69
EL65,AIS_Megalopoli_V,1,2040,0.69
EL65,AIS_Megalopoli_V,1,2045,0.69
EL65,AIS_Megalopoli_V,1,2050,0.69
EL64,Alouminion,1,2023,0.69
EL64,Alouminion,1,2025,0.69
EL64,Alouminion,1,2030,0.69
EL64,Alouminion,1,2035,0.69
EL64,Alouminion,1,2040,0.69
EL64,Alouminion,1,2045,0.69
EL64,Alouminion,1,2050,0.69
EL52,Asomaton,1,2023,0.09
EL52,Asomaton,1,2025,0.09
EL52,Asomaton,1,2030,0.09
EL52,Asomaton,1,2035,0.09
EL52,Asomaton,1,2040,0.09
EL52,Asomaton,1,2045,0.09
EL52,Asomaton,1,2050,0.09
Crete,Atherinolakos,1,2023,1.66
Crete,Atherinolakos,1,2025,1.66
Crete,Atherinolakos,1,2030,1.66
Crete,Atherinolakos,1,2035,1.66
Crete,Atherinolakos,1,2040,1.66
Crete,Atherinolakos,1,2045,1.66
Crete,Atherinolakos,1,2050,1.66
Crete,Atherinolakos_Diesel,1,2023,1.37
Crete,Atherinolakos_Diesel,1,2025,1.37
Crete,Atherinolakos_Diesel,1,2030,1.37
