VARIABLE,REGION,TECHNOLOGY,YEAR,VALUE
DiscountedFOM,CHIOS,Batteries_New,2023,0.0
DiscountedFOM,CHIOS,Batteries_New,2025,0.0
DiscountedFOM,CHIOS,Batteries_New,2030,0.0
DiscountedFOM,CHIOS,Batteries_New,2035,0.0
DiscountedFOM,CHIOS,Batteries_New,2040,0.0
DiscountedFOM,CHIOS,Batteries_New,2045,0.0
DiscountedFOM,CHIOS,Batteries_New,2050,0.0
DiscountedFOM,CHIOS,Chios,2023,2.6585
DiscountedFOM,CHIOS,Chios,2025,2.030736245851723
DiscountedFOM,CHIOS,Chios,2030,1.3820849665340857
DiscountedFOM,CHIOS,Chios,2035,0.9406238050960575
DiscountedFOM,CHIOS,Chios,2040,0.6401727564783289
DiscountedFOM,CHIOS,Chios,2045,0.4356908212579294
DiscountedFOM,CHIOS,Chios,2050,0.35943388908424057
DiscountedFOM,CHIOS,Elec_Network,2023,0.0
DiscountedFOM,CHIOS,Elec_Network,2025,0.0
DiscountedFOM,CHIOS,Elec_Network,2030,0.0
DiscountedFOM,CHIOS,Elec_Network,2035,0.0
DiscountedFOM,CHIOS,Elec_Network,2040,0.0
DiscountedFOM,CHIOS,Elec_Network,2045,0.0
DiscountedFOM,CHIOS,Elec_Network,2050,0.0
DiscountedFOM,CHIOS,OffshoreWind,2023,0.0
DiscountedFOM,CHIOS,OffshoreWind,2025,0.0
DiscountedFOM,CHIOS,OffshoreWind,2030,0.0
DiscountedFOM,CHIOS,OffshoreWind,2035,0.0
DiscountedFOM,CHIOS,OffshoreWind,2040,0.0
DiscountedFOM,CHIOS,OffshoreWind,2045,0.0
DiscountedFOM,CHIOS,OffshoreWind,2050,0.0
DiscountedFOM,CHIOS,OilImports,2023,0.0
DiscountedFOM,CHIOS,OilImports,2025,0.0
DiscountedFOM,CHIOS,OilImports,2030,0.0
DiscountedFOM,CHIOS,OilImports,2035,0.0
DiscountedFOM,CHIOS,OilImports,2040,0.0
DiscountedFOM,CHIOS,OilImports,2045,0.0
DiscountedFOM,CHIOS,OilImports,2050,0.0
DiscountedFOM,CHIOS,PV,2023,0.0
DiscountedFOM,CHIOS,PV,2025,0.0
DiscountedFOM,CHIOS,PV,2030,0.5539045067046992
DiscountedFOM,CHIOS,PV,2035,0.5563716623448614
DiscountedFOM,CHIOS,PV,2040,0.39804537218674957
DiscountedFOM,CHIOS,PV,2045,0.26048427760852383
DiscountedFOM,CHIOS,PV,2050,0.21437373638110474
DiscountedFOM,CHIOS,PV_Ex,2023,0.06701851851851853
DiscountedFOM,CHIOS,PV_Ex,2025,0.05119312947107033
DiscountedFOM,CHIOS,PV_Ex,2030,0.03484118372158386
DiscountedFOM,CHIOS,PV_Ex,2035,0.022865455484044655
DiscountedFOM,CHIOS,PV_Ex,2040,0.014985480172928375
DiscountedFOM,CHIOS,PV_Ex,2045,0.009806601928055256
DiscountedFOM,CHIOS,PV_Ex,2050,0.007766590209874089
DiscountedFOM,CHIOS,RooftopPV,2023,0.0
DiscountedFOM,CHIOS,RooftopPV,2025,0.0
DiscountedFOM,CHIOS,RooftopPV,2030,4.6870084182029163e-07
DiscountedFOM,CHIOS,RooftopPV,2035,7.65904832003683e-06
