VARIABLE,REGION,TECHNOLOGY,YEAR,VALUE
DiscountedvAnnCapex,CHIOS,Batteries_New,2023,1.9143005063077164e-06
DiscountedvAnnCapex,CHIOS,Batteries_New,2025,1.4710088783736832e-06
DiscountedvAnnCapex,CHIOS,Batteries_New,2030,0.4568133138748159
DiscountedvAnnCapex,CHIOS,Batteries_New,2035,0.316120751612453
DiscountedvAnnCapex,CHIOS,Batteries_New,2040,0.21514601525216362
DiscountedvAnnCapex,CHIOS,Batteries_New,2045,0.008056555818065744
DiscountedvAnnCapex,CHIOS,Batteries_New,2050,0.0076904738387340715
DiscountedvAnnCapex,CHIOS,Chios,2023,-0.0
DiscountedvAnnCapex,CHIOS,Chios,2025,-0.0
DiscountedvAnnCapex,CHIOS,Chios,2030,-0.0
DiscountedvAnnCapex,CHIOS,Chios,2035,-0.0
DiscountedvAnnCapex,CHIOS,Chios,2040,-0.0
DiscountedvAnnCapex,CHIOS,Chios,2045,-0.0
DiscountedvAnnCapex,CHIOS,Chios,2050,-0.0
DiscountedvAnnCapex,CHIOS,Elec_Network,2023,5.559962141008704e-10
DiscountedvAnnCapex,CHIOS,Elec_Network,2025,6.017267782869932e-10
DiscountedvAnnCapex,CHIOS,Elec_Network,2030,6.347519072124132e-10
DiscountedvAnnCapex,CHIOS,Elec_Network,2035,7.943428368977675e-10
DiscountedvAnnCapex,CHIOS,Elec_Network,2040,9.33232466111008e-10
DiscountedvAnnCapex,CHIOS,Elec_Network,2045,1.1887463158116318e-09
DiscountedvAnnCapex,CHIOS,Elec_Network,2050,5.278872381832161e-09
DiscountedvAnnCapex,CHIOS,OffshoreWind,2023,0.0
DiscountedvAnnCapex,CHIOS,OffshoreWind,2025,0.0
DiscountedvAnnCapex,CHIOS,OffshoreWind,2030,0.0
DiscountedvAnnCapex,CHIOS,OffshoreWind,2035,0.0
DiscountedvAnnCapex,CHIOS,OffshoreWind,2040,0.0
DiscountedvAnnCapex,CHIOS,OffshoreWind,2045,0.0
DiscountedvAnnCapex,CHIOS,OffshoreWind,2050,0.0
DiscountedvAnnCapex,CHIOS,OilImports,2023,-0.0
DiscountedvAnnCapex,CHIOS,OilImports,2025,-0.0
DiscountedvAnnCapex,CHIOS,OilImports,2030,-0.0
DiscountedvAnnCapex,CHIOS,OilImports,2035,-0.0
DiscountedvAnnCapex,CHIOS,OilImports,2040,-0.0
DiscountedvAnnCapex,CHIOS,OilImports,2045,-0.0
DiscountedvAnnCapex,CHIOS,OilImports,2050,-0.0
DiscountedvAnnCapex,CHIOS,PV,2023,0.0
DiscountedvAnnCapex,CHIOS,PV,2025,0.0
DiscountedvAnnCapex,CHIOS,PV,2030,1.6166343720872784
DiscountedvAnnCapex,CHIOS,PV,2035,1.6395633911590553
DiscountedvAnnCapex,CHIOS,PV,2040,1.2048977154308125
DiscountedvAnnCapex,CHIOS,PV,2045,0.8200347323159217
DiscountedvAnnCapex,CHIOS,PV,2050,0.6956389955176618
DiscountedvAnnCapex,CHIOS,PV_Ex,2023,-0.0
DiscountedvAnnCapex,CHIOS,PV_Ex,2025,-0.0
DiscountedvAnnCapex,CHIOS,PV_Ex,2030,-0.0
DiscountedvAnnCapex,CHIOS,PV_Ex,2035,-0.0
DiscountedvAnnCapex,CHIOS,PV_Ex,2040,-0.0
DiscountedvAnnCapex,CHIOS,PV_Ex,2045,-0.0
DiscountedvAnnCapex,CHIOS,PV_Ex,2050,-0.0
DiscountedvAnnCapex,CHIOS,RooftopPV,2023,0.0
DiscountedvAnnCapex,CHIOS,RooftopPV,2025,0.0
DiscountedvAnnCapex,CHIOS,RooftopPV,2030,1.8503774580155726e-06
DiscountedvAnnCapex,CHIOS,RooftopPV,2035,2.8172387015754995e-05
DiscountedvAnnCapex,CHIOS,RooftopPV,2040,0.4916296901260576
DiscountedvAnnCapex,CHIOS,RooftopPV,2045,0.4529981652251965
DiscountedvAnnCapex,CHIOS,RooftopPV,2050,0.3737120160889069
DiscountedvAnnCapex,CHIOS,RooftopPV_Ex,2023,-0.0
DiscountedvAnnCapex,CHIOS,RooftopPV_Ex,2025,-0.0
DiscountedvAnnCapex,CHIOS,RooftopPV_Ex,2030,-0.0
DiscountedvAnnCapex,CHIOS,RooftopPV_Ex,2035,-0.0
DiscountedvAnnCapex,CHIOS,RooftopPV_Ex,2040,-0.0
DiscountedvAnnCapex,CHIOS,RooftopPV_Ex,2045,-0.0
DiscountedvAnnCapex,CHIOS,RooftopPV_Ex,2050,-0.0
DiscountedvAnnCapex,CHIOS,Wind,2023,0.0
DiscountedvAnnCapex,CHIOS,Wind,2025,0.0
DiscountedvAnnCapex,CHIOS,Wind,2030,2.037295995583901
DiscountedvAnnCapex,CHIOS,Wind,2035,1.3865494326204548
DiscountedvAnnCapex,CHIOS,Wind,2040,0.9436622627954852
DiscountedvAnnCapex,CHIOS,Wind,2045,0.6422406882343504
DiscountedvAnnCapex,CHIOS,Wind,2050,0.5298324110907099
DiscountedvAnnCapex,CHIOS,Wind_Ex,2023,-0.0
DiscountedvAnnCapex,CHIOS,Wind_Ex,2025,-0.0
DiscountedvAnnCapex,CHIOS,Wind_Ex,2030,-0.0
DiscountedvAnnCapex,CHIOS,Wind_Ex,2035,-0.0
DiscountedvAnnCapex,CHIOS,Wind_Ex,2040,-0.0
DiscountedvAnnCapex,CHIOS,Wind_Ex,2045,-0.0
DiscountedvAnnCapex,CHIOS,Wind_Ex,2050,-0.0
DiscountedvAnnCapex,Crete,Atherinolakos,2023,-0.0
DiscountedvAnnCapex,Crete,Atherinolakos,2025,-0.0
DiscountedvAnnCapex,Crete,Atherinolakos,2030,-0.0
DiscountedvAnnCapex,Crete,Atherinolakos,2035,-0.0
DiscountedvAnnCapex,Crete,Atherinolakos,2040,-0.0
DiscountedvAnnCapex,Crete,Atherinolakos,2045,-0.0
DiscountedvAnnCapex,Crete,Atherinolakos,2050,-0.0
DiscountedvAnnCapex,Crete,Atherinolakos_Diesel,2023,-0.0
DiscountedvAnnCapex,Crete,Atherinolakos_Diesel,2025,-0.0
DiscountedvAnnCapex,Crete,Atherinolakos_Diesel,2030,-0.0
DiscountedvAnnCapex,Crete,Atherinolakos_Diesel,2035,-0.0
