VARIABLE,REGION,STORAGE,YEAR,VALUE
DiscountedvAnnCapexStor,CHIOS,BATTERY_STORAGE_NEW,2023,1.4038685491522406e-06
DiscountedvAnnCapexStor,CHIOS,BATTERY_STORAGE_NEW,2025,1.080575295453722e-06
DiscountedvAnnCapexStor,CHIOS,BATTERY_STORAGE_NEW,2030,1.8907606162142527
DiscountedvAnnCapexStor,CHIOS,BATTERY_STORAGE_NEW,2035,1.286819906980809
DiscountedvAnnCapexStor,CHIOS,BATTERY_STORAGE_NEW,2040,0.8757876756995904
DiscountedvAnnCapexStor,CHIOS,BATTERY_STORAGE_NEW,2045,0.007623440473003243
DiscountedvAnnCapexStor,CHIOS,BATTERY_STORAGE_NEW,2050,0.006290590243773986
DiscountedvAnnCapexStor,CHIOS,HPS_STORAGE_NEW,2023,-0.0
DiscountedvAnnCapexStor,CHIOS,HPS_STORAGE_NEW,2025,-0.0
DiscountedvAnnCapexStor,CHIOS,HPS_STORAGE_NEW,2030,-0.0
DiscountedvAnnCapexStor,CHIOS,HPS_STORAGE_NEW,2035,-0.0
DiscountedvAnnCapexStor,CHIOS,HPS_STORAGE_NEW,2040,-0.0
DiscountedvAnnCapexStor,CHIOS,HPS_STORAGE_NEW,2045,-0.0
DiscountedvAnnCapexStor,CHIOS,HPS_STORAGE_NEW,2050,-0.0
DiscountedvAnnCapexStor,CHIOS,Sfikia_S,2023,-0.0
DiscountedvAnnCapexStor,CHIOS,Sfikia_S,2025,-0.0
DiscountedvAnnCapexStor,CHIOS,Sfikia_S,2030,-0.0
DiscountedvAnnCapexStor,CHIOS,Sfikia_S,2035,-0.0
DiscountedvAnnCapexStor,CHIOS,Sfikia_S,2040,-0.0
DiscountedvAnnCapexStor,CHIOS,Sfikia_S,2045,-0.0
DiscountedvAnnCapexStor,CHIOS,Sfikia_S,2050,-0.0
DiscountedvAnnCapexStor,CHIOS,Thisavros_S,2023,-0.0
DiscountedvAnnCapexStor,CHIOS,Thisavros_S,2025,-0.0
DiscountedvAnnCapexStor,CHIOS,Thisavros_S,2030,-0.0
DiscountedvAnnCapexStor,CHIOS,Thisavros_S,2035,-0.0
DiscountedvAnnCapexStor,CHIOS,Thisavros_S,2040,-0.0
DiscountedvAnnCapexStor,CHIOS,Thisavros_S,2045,-0.0
