VARIABLE,REGION,INTERCONNECTION,FUEL,YEAR,VALUE
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Demand,2023,0.0
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Demand,2025,0.0
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Demand,2030,0.0
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Demand,2035,0.0
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Demand,2040,0.0
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Demand,2045,0.0
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Demand,2050,0.0
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Storage,2023,0.0
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Storage,2025,0.0
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Storage,2030,0.0
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Storage,2035,0.0
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Storage,2040,0.0
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Storage,2045,0.0
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Storage,2050,0.0
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Transmission,2023,-121.71379656919848
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Transmission,2025,-244.13061421289288
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Transmission,2030,-182.49753589902534
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Transmission,2035,-153.5753485184253
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Transmission,2040,-136.70794787474256
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Transmission,2045,-115.30193198889387
InterDiscountedTradeCost,EL51,BULGARIA,Elec_Transmission,2050,-128.33513500676568
InterDiscountedTradeCost,EL51,BULGARIA,GRBiomass,2023,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRBiomass,2025,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRBiomass,2030,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRBiomass,2035,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRBiomass,2040,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRBiomass,2045,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRBiomass,2050,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRGas,2023,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRGas,2025,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRGas,2030,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRGas,2035,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRGas,2040,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRGas,2045,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRGas,2050,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRLignite,2023,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRLignite,2025,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRLignite,2030,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRLignite,2035,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRLignite,2040,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRLignite,2045,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GRLignite,2050,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GROil,2023,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GROil,2025,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GROil,2030,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GROil,2035,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GROil,2040,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GROil,2045,0.0
InterDiscountedTradeCost,EL51,BULGARIA,GROil,2050,0.0
InterDiscountedTradeCost,EL51,TURKEY,Elec_Demand,2023,0.0
InterDiscountedTradeCost,EL51,TURKEY,Elec_Demand,2025,0.0
InterDiscountedTradeCost,EL51,TURKEY,Elec_Demand,2030,0.0
InterDiscountedTradeCost,EL51,TURKEY,Elec_Demand,2035,0.0
InterDiscountedTradeCost,EL51,TURKEY,Elec_Demand,2040,0.0
InterDiscountedTradeCost,EL51,TURKEY,Elec_Demand,2045,0.0
InterDiscountedTradeCost,EL51,TURKEY,Elec_Demand,2050,0.0
InterDiscountedTradeCost,EL51,TURKEY,Elec_Storage,2023,0.0
InterDiscountedTradeCost,EL51,TURKEY,Elec_Storage,2025,0.0
InterDiscountedTradeCost,EL51,TURKEY,Elec_Storage,2030,0.0
InterDiscountedTradeCost,EL51,TURKEY,Elec_Storage,2035,0.0
