VARIABLE,REGION,INTERCONNECTION,FUEL,YEAR,VALUE
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Demand,2023,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Demand,2025,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Demand,2030,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Demand,2035,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Demand,2040,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Demand,2045,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Demand,2050,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Storage,2023,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Storage,2025,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Storage,2030,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Storage,2035,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Storage,2040,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Storage,2045,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Storage,2050,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Transmission,2023,-131.45090029473434
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Transmission,2025,-345.16690109196685
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Transmission,2030,-379.1252258799826
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Transmission,2035,-468.77664244751156
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Transmission,2040,-613.1362539359961
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Transmission,2045,-759.8337741705346
InterUndiscountedTradeCost,EL51,BULGARIA,Elec_Transmission,2050,-1025.1489470498045
InterUndiscountedTradeCost,EL51,BULGARIA,GRBiomass,2023,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRBiomass,2025,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRBiomass,2030,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRBiomass,2035,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRBiomass,2040,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRBiomass,2045,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRBiomass,2050,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRGas,2023,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRGas,2025,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRGas,2030,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRGas,2035,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRGas,2040,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRGas,2045,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRGas,2050,0.0
InterUndiscountedTradeCost,EL51,BULGARIA,GRLignite,2023,0.0
