VARIABLE,REGION,TECHNOLOGY,YEAR,VALUE
NewCapacity,CHIOS,Batteries_New,2023,3.345287652185967e-08
NewCapacity,CHIOS,Batteries_New,2025,2.501123558835951e-10
NewCapacity,CHIOS,Batteries_New,2030,0.026365389396808533
NewCapacity,CHIOS,Batteries_New,2035,0.00046639149142460346
NewCapacity,CHIOS,Batteries_New,2040,6.502490073795386e-10
NewCapacity,CHIOS,Batteries_New,2045,4.391082178598007e-06
NewCapacity,CHIOS,Batteries_New,2050,0.00046654197110224994
NewCapacity,CHIOS,Chios,2023,0.0
NewCapacity,CHIOS,Chios,2025,0.0
NewCapacity,CHIOS,Chios,2030,0.0
NewCapacity,CHIOS,Chios,2035,0.0
NewCapacity,CHIOS,Chios,2040,0.0
NewCapacity,CHIOS,Chios,2045,0.0
NewCapacity,CHIOS,Chios,2050,0.0
NewCapacity,CHIOS,Elec_Network,2023,6.58271742757198e-12
NewCapacity,CHIOS,Elec_Network,2025,2.0441591871026197e-12
NewCapacity,CHIOS,Elec_Network,2030,4.380434484642303e-12
NewCapacity,CHIOS,Elec_Network,2035,1.082639774351301e-11
NewCapacity,CHIOS,Elec_Network,2040,1.6963139808460496e-11
NewCapacity,CHIOS,Elec_Network,2045,3.4365341857052914e-11
NewCapacity,CHIOS,Elec_Network,2050,3.4894747220230714e-10
NewCapacity,CHIOS,OffshoreWind,2023,0.0
NewCapacity,CHIOS,OffshoreWind,2025,0.0
NewCapacity,CHIOS,OffshoreWind,2030,0.0
NewCapacity,CHIOS,OffshoreWind,2035,0.0
NewCapacity,CHIOS,OffshoreWind,2040,0.0
NewCapacity,CHIOS,OffshoreWind,2045,0.0
NewCapacity,CHIOS,OffshoreWind,2050,0.0
NewCapacity,CHIOS,OilImports,2023,0.0
NewCapacity,CHIOS,OilImports,2025,0.0
NewCapacity,CHIOS,OilImports,2030,0.0
NewCapacity,CHIOS,OilImports,2035,0.0
NewCapacity,CHIOS,OilImports,2040,0.0
NewCapacity,CHIOS,OilImports,2045,0.0
NewCapacity,CHIOS,OilImports,2050,0.0
NewCapacity,CHIOS,PV,2023,0.0
NewCapacity,CHIOS,PV,2025,0.0
NewCapacity,CHIOS,PV,2030,0.08343043441969572
NewCapacity,CHIOS,PV,2035,0.05111546429505643
NewCapacity,CHIOS,PV,2040,0.014442865343638547
NewCapacity,CHIOS,PV,2045,2.7086455025886317e-08
NewCapacity,CHIOS,PV,2050,0.004212950049105634
NewCapacity,CHIOS,PV_Ex,2023,0.0
NewCapacity,CHIOS,PV_Ex,2025,0.0
NewCapacity,CHIOS,PV_Ex,2030,0.0
NewCapacity,CHIOS,PV_Ex,2035,0.0
NewCapacity,CHIOS,PV_Ex,2040,0.0
NewCapacity,CHIOS,PV_Ex,2045,0.0
NewCapacity,CHIOS,PV_Ex,2050,0.0
NewCapacity,CHIOS,RooftopPV,2023,0.0
NewCapacity,CHIOS,RooftopPV,2025,0.0
NewCapacity,CHIOS,RooftopPV,2030,3.6556450709548936e-08
NewCapacity,CHIOS,RooftopPV,2035,2.009817618096879e-07
NewCapacity,CHIOS,RooftopPV,2040,0.03198382585478732
NewCapacity,CHIOS,RooftopPV,2045,0.018241235044720288
NewCapacity,CHIOS,RooftopPV,2050,2.0883168326412363e-09
NewCapacity,CHIOS,RooftopPV_Ex,2023,0.0
NewCapacity,CHIOS,RooftopPV_Ex,2025,0.0
NewCapacity,CHIOS,RooftopPV_Ex,2030,0.0
NewCapacity,CHIOS,RooftopPV_Ex,2035,0.0
NewCapacity,CHIOS,RooftopPV_Ex,2040,0.0
NewCapacity,CHIOS,RooftopPV_Ex,2045,0.0
NewCapacity,CHIOS,RooftopPV_Ex,2050,0.0
NewCapacity,CHIOS,Wind,2023,0.0
