VARIABLE,REGION,STORAGE,YEAR,VALUE
NewStorageCapacity,CHIOS,BATTERY_STORAGE_NEW,2023,1.2074780602218313e-10
NewStorageCapacity,CHIOS,BATTERY_STORAGE_NEW,2025,1.1538966106100226e-12
NewStorageCapacity,CHIOS,BATTERY_STORAGE_NEW,2030,0.0004926292283812493
NewStorageCapacity,CHIOS,BATTERY_STORAGE_NEW,2035,8.304853066198645e-13
NewStorageCapacity,CHIOS,BATTERY_STORAGE_NEW,2040,6.8993511894903355e-12
NewStorageCapacity,CHIOS,BATTERY_STORAGE_NEW,2045,8.643267441920987e-06
NewStorageCapacity,CHIOS,BATTERY_STORAGE_NEW,2050,2.2632340684135734e-09
NewStorageCapacity,Crete,BATTERY_STORAGE_NEW,2023,1.2545084114178559e-10
NewStorageCapacity,Crete,BATTERY_STORAGE_NEW,2025,1.3683718552413205e-10
NewStorageCapacity,Crete,BATTERY_STORAGE_NEW,2030,1.2287777996461308e-09
NewStorageCapacity,Crete,BATTERY_STORAGE_NEW,2035,7.451582675262407e-08
NewStorageCapacity,Crete,BATTERY_STORAGE_NEW,2040,0.013729342862662065
NewStorageCapacity,Crete,BATTERY_STORAGE_NEW,2045,0.007699210869689206
NewStorageCapacity,Crete,BATTERY_STORAGE_NEW,2050,0.013419647265897568
NewStorageCapacity,EL30,BATTERY_STORAGE_NEW,2023,1.2401959893623532e-10
NewStorageCapacity,EL30,BATTERY_STORAGE_NEW,2025,3.568628937836218e-11
NewStorageCapacity,EL30,BATTERY_STORAGE_NEW,2030,5.580404253609951e-10
NewStorageCapacity,EL30,BATTERY_STORAGE_NEW,2035,0.0007016639020905825
NewStorageCapacity,EL30,BATTERY_STORAGE_NEW,2040,0.001087576590480384
NewStorageCapacity,EL30,BATTERY_STORAGE_NEW,2045,0.0011928264890769653
NewStorageCapacity,EL30,BATTERY_STORAGE_NEW,2050,0.0005761217331672624
NewStorageCapacity,EL30,HPS_STORAGE_NEW,2023,7.937403394290854e-10
NewStorageCapacity,EL30,HPS_STORAGE_NEW,2025,4.217378765747425e-13
NewStorageCapacity,EL30,HPS_STORAGE_NEW,2030,6.368191859133588e-10
NewStorageCapacity,EL30,HPS_STORAGE_NEW,2035,0.0015428808424691185
NewStorageCapacity,EL30,HPS_STORAGE_NEW,2040,2.626744986439449e-12
NewStorageCapacity,EL30,HPS_STORAGE_NEW,2045,3.5712064666862097e-12
NewStorageCapacity,EL30,HPS_STORAGE_NEW,2050,4.667908458961443e-11
NewStorageCapacity,EL51,BATTERY_STORAGE_NEW,2023,1.2171146647694887e-10
NewStorageCapacity,EL51,BATTERY_STORAGE_NEW,2025,3.3739884687592503e-11
NewStorageCapacity,EL51,BATTERY_STORAGE_NEW,2030,4.1890496075359746e-10
NewStorageCapacity,EL51,BATTERY_STORAGE_NEW,2035,8.707435259640136e-10
NewStorageCapacity,EL51,BATTERY_STORAGE_NEW,2040,4.9979144042309125e-09
NewStorageCapacity,EL51,BATTERY_STORAGE_NEW,2045,2.7835502428350374e-08
NewStorageCapacity,EL51,BATTERY_STORAGE_NEW,2050,0.001136511738269197
NewStorageCapacity,EL51,HPS_STORAGE_NEW,2023,6.369897069668896e-10
NewStorageCapacity,EL51,HPS_STORAGE_NEW,2025,3.699763576308902e-13
NewStorageCapacity,EL51,HPS_STORAGE_NEW,2030,4.387503737354877e-10
NewStorageCapacity,EL51,HPS_STORAGE_NEW,2035,1.9410484128366536e-09
NewStorageCapacity,EL51,HPS_STORAGE_NEW,2040,4.208407782498392e-09
NewStorageCapacity,EL51,HPS_STORAGE_NEW,2045,4.409412195952841e-09
NewStorageCapacity,EL51,HPS_STORAGE_NEW,2050,3.710511820249714e-08
NewStorageCapacity,EL51,Thisavros_S,2023,0.0
NewStorageCapacity,EL51,Thisavros_S,2025,0.0
NewStorageCapacity,EL51,Thisavros_S,2030,0.0
NewStorageCapacity,EL51,Thisavros_S,2035,0.0
NewStorageCapacity,EL51,Thisavros_S,2040,0.0
NewStorageCapacity,EL51,Thisavros_S,2045,0.0
NewStorageCapacity,EL51,Thisavros_S,2050,0.0
NewStorageCapacity,EL52,BATTERY_STORAGE_NEW,2023,1.216795995855419e-10
NewStorageCapacity,EL52,BATTERY_STORAGE_NEW,2025,3.338923482744352e-11
NewStorageCapacity,EL52,BATTERY_STORAGE_NEW,2030,4.674200156671987e-10
NewStorageCapacity,EL52,BATTERY_STORAGE_NEW,2035,8.792509498070573e-10
NewStorageCapacity,EL52,BATTERY_STORAGE_NEW,2040,2.2105377699926114e-08
NewStorageCapacity,EL52,BATTERY_STORAGE_NEW,2045,0.011432775936075282
NewStorageCapacity,EL52,BATTERY_STORAGE_NEW,2050,1.1593032754657288e-10
NewStorageCapacity,EL52,HPS_STORAGE_NEW,2023,6.425663872983015e-10
NewStorageCapacity,EL52,HPS_STORAGE_NEW,2025,3.70703639317648e-13
NewStorageCapacity,EL52,HPS_STORAGE_NEW,2030,5.349532668055995e-10
NewStorageCapacity,EL52,HPS_STORAGE_NEW,2035,1.4396893414029845e-09
NewStorageCapacity,EL52,HPS_STORAGE_NEW,2040,1.3340362534809809e-08
NewStorageCapacity,EL52,HPS_STORAGE_NEW,2045,2.108101367714879e-08
NewStorageCapacity,EL52,HPS_STORAGE_NEW,2050,2.2471429696870597e-08
NewStorageCapacity,EL52,Sfikia_S,2023,0.0
NewStorageCapacity,EL52,Sfikia_S,2025,0.0
NewStorageCapacity,EL52,Sfikia_S,2030,0.0
NewStorageCapacity,EL52,Sfikia_S,2035,0.0
NewStorageCapacity,EL52,Sfikia_S,2040,0.0
NewStorageCapacity,EL52,Sfikia_S,2045,0.0
NewStorageCapacity,EL52,Sfikia_S,2050,0.0
NewStorageCapacity,EL53,BATTERY_STORAGE_NEW,2023,1.2135718252198382e-10
NewStorageCapacity,EL53,BATTERY_STORAGE_NEW,2025,3.300181466212192e-11
NewStorageCapacity,EL53,BATTERY_STORAGE_NEW,2030,5.113676197182268e-10
NewStorageCapacity,EL53,BATTERY_STORAGE_NEW,2035,9.510483466551875e-10
NewStorageCapacity,EL53,BATTERY_STORAGE_NEW,2040,4.352904803107285e-09
NewStorageCapacity,EL53,BATTERY_STORAGE_NEW,2045,3.122032140645847e-08
NewStorageCapacity,EL53,BATTERY_STORAGE_NEW,2050,2.5494539215612508e-08
NewStorageCapacity,EL53,HPS_STORAGE_NEW,2023,6.396524127701178e-10
NewStorageCapacity,EL53,HPS_STORAGE_NEW,2025,3.806182687584888e-13
NewStorageCapacity,EL53,HPS_STORAGE_NEW,2030,5.901209094882714e-10
NewStorageCapacity,EL53,HPS_STORAGE_NEW,2035,1.398773131299469e-09
NewStorageCapacity,EL53,HPS_STORAGE_NEW,2040,4.5157775977571866e-09
NewStorageCapacity,EL53,HPS_STORAGE_NEW,2045,4.8708121505336174e-09
NewStorageCapacity,EL53,HPS_STORAGE_NEW,2050,2.4323341475898803e-08
NewStorageCapacity,EL54,BATTERY_STORAGE_NEW,2023,1.2083132800753474e-10
NewStorageCapacity,EL54,BATTERY_STORAGE_NEW,2025,3.324437982767034e-11
NewStorageCapacity,EL54,BATTERY_STORAGE_NEW,2030,4.910499225517944e-10
NewStorageCapacity,EL54,BATTERY_STORAGE_NEW,2035,8.228631138099076e-10
NewStorageCapacity,EL54,BATTERY_STORAGE_NEW,2040,3.773885121911998e-09
NewStorageCapacity,EL54,BATTERY_STORAGE_NEW,2045,1.5013646419383622e-08
NewStorageCapacity,EL54,BATTERY_STORAGE_NEW,2050,0.012836336181573727
NewStorageCapacity,EL54,HPS_STORAGE_NEW,2023,6.538415893639873e-10
NewStorageCapacity,EL54,HPS_STORAGE_NEW,2025,4.0410050176983567e-13
NewStorageCapacity,EL54,HPS_STORAGE_NEW,2030,5.996863116084974e-10
NewStorageCapacity,EL54,HPS_STORAGE_NEW,2035,1.5059213582035907e-09
NewStorageCapacity,EL54,HPS_STORAGE_NEW,2040,5.296895421666155e-09
NewStorageCapacity,EL54,HPS_STORAGE_NEW,2045,5.529709495467906e-09
NewStorageCapacity,EL54,HPS_STORAGE_NEW,2050,9.338268618428109e-08
NewStorageCapacity,EL61,BATTERY_STORAGE_NEW,2023,1.7114728062317565e-10
NewStorageCapacity,EL61,BATTERY_STORAGE_NEW,2025,4.277844416085783e-11
NewStorageCapacity,EL61,BATTERY_STORAGE_NEW,2030,9.69588427771457e-10
NewStorageCapacity,EL61,BATTERY_STORAGE_NEW,2035,3.2587645195646452e-09
NewStorageCapacity,EL61,BATTERY_STORAGE_NEW,2040,0.0016337411539641155
NewStorageCapacity,EL61,BATTERY_STORAGE_NEW,2045,0.00241402201765692
NewStorageCapacity,EL61,BATTERY_STORAGE_NEW,2050,0.004080325008846965
NewStorageCapacity,EL61,HPS_STORAGE_NEW,2023,1.4888506002969906e-09
NewStorageCapacity,EL61,HPS_STORAGE_NEW,2025,6.418948154065677e-13
NewStorageCapacity,EL61,HPS_STORAGE_NEW,2030,1.437528556591774e-09
NewStorageCapacity,EL61,HPS_STORAGE_NEW,2035,1.29800359205638e-08
NewStorageCapacity,EL61,HPS_STORAGE_NEW,2040,8.077269853503014e-08
NewStorageCapacity,EL61,HPS_STORAGE_NEW,2045,1.1314058820478933e-11
NewStorageCapacity,EL61,HPS_STORAGE_NEW,2050,1.635856696642193e-08
NewStorageCapacity,EL62,BATTERY_STORAGE_NEW,2023,2.0628059914437737e-10
NewStorageCapacity,EL62,BATTERY_STORAGE_NEW,2025,1.883915973059723e-10
NewStorageCapacity,EL62,BATTERY_STORAGE_NEW,2030,5.076149983686209e-10
NewStorageCapacity,EL62,BATTERY_STORAGE_NEW,2035,1.1281859038147154e-09
NewStorageCapacity,EL62,BATTERY_STORAGE_NEW,2040,7.78250693243857e-09
NewStorageCapacity,EL62,BATTERY_STORAGE_NEW,2045,0.0006252374151585237
NewStorageCapacity,EL62,BATTERY_STORAGE_NEW,2050,0.0023320116735592827
NewStorageCapacity,EL62,HPS_STORAGE_NEW,2023,2.83278090169189e-09
NewStorageCapacity,EL62,HPS_STORAGE_NEW,2025,1.0658707284578908e-12
NewStorageCapacity,EL62,HPS_STORAGE_NEW,2030,5.282333093735472e-11
NewStorageCapacity,EL62,HPS_STORAGE_NEW,2035,1.9066062146877096e-09
NewStorageCapacity,EL62,HPS_STORAGE_NEW,2040,7.4046077807720335e-09
NewStorageCapacity,EL62,HPS_STORAGE_NEW,2045,8.31901460998017e-09
NewStorageCapacity,EL62,HPS_STORAGE_NEW,2050,1.4592419435053857e-07
NewStorageCapacity,EL63,BATTERY_STORAGE_NEW,2023,1.2144860729646058e-10
NewStorageCapacity,EL63,BATTERY_STORAGE_NEW,2025,3.389862777415646e-11
NewStorageCapacity,EL63,BATTERY_STORAGE_NEW,2030,4.96952366664392e-10
NewStorageCapacity,EL63,BATTERY_STORAGE_NEW,2035,1.0343346716970096e-09
NewStorageCapacity,EL63,BATTERY_STORAGE_NEW,2040,4.656703496657378e-09
NewStorageCapacity,EL63,BATTERY_STORAGE_NEW,2045,4.443681656241904e-08
NewStorageCapacity,EL63,BATTERY_STORAGE_NEW,2050,0.0048275808691149585
NewStorageCapacity,EL63,HPS_STORAGE_NEW,2023,6.513279406931605e-10
NewStorageCapacity,EL63,HPS_STORAGE_NEW,2025,4.063133413670769e-13
NewStorageCapacity,EL63,HPS_STORAGE_NEW,2030,5.852164000639707e-10
NewStorageCapacity,EL63,HPS_STORAGE_NEW,2035,1.5452329043408155e-09
NewStorageCapacity,EL63,HPS_STORAGE_NEW,2040,5.2702069747178524e-09
NewStorageCapacity,EL63,HPS_STORAGE_NEW,2045,6.421865394098913e-09
NewStorageCapacity,EL63,HPS_STORAGE_NEW,2050,7.057119885627308e-08
NewStorageCapacity,EL64,BATTERY_STORAGE_NEW,2023,1.2135577282817142e-10
NewStorageCapacity,EL64,BATTERY_STORAGE_NEW,2025,3.424543237408335e-11
NewStorageCapacity,EL64,BATTERY_STORAGE_NEW,2030,4.967884798348645e-10
NewStorageCapacity,EL64,BATTERY_STORAGE_NEW,2035,8.038234857950226e-10
NewStorageCapacity,EL64,BATTERY_STORAGE_NEW,2040,2.7895556533053975e-09
NewStorageCapacity,EL64,BATTERY_STORAGE_NEW,2045,8.367514739039297e-09
NewStorageCapacity,EL64,BATTERY_STORAGE_NEW,2050,1.369544892503597e-07
NewStorageCapacity,EL64,HPS_STORAGE_NEW,2023,6.356849295617488e-10
NewStorageCapacity,EL64,HPS_STORAGE_NEW,2025,3.691243402550671e-13
NewStorageCapacity,EL64,HPS_STORAGE_NEW,2030,5.407898480363812e-10
NewStorageCapacity,EL64,HPS_STORAGE_NEW,2035,9.857158903680812e-10
NewStorageCapacity,EL64,HPS_STORAGE_NEW,2040,2.2851761711530226e-09
NewStorageCapacity,EL64,HPS_STORAGE_NEW,2045,2.3017446803044042e-09
NewStorageCapacity,EL64,HPS_STORAGE_NEW,2050,3.5414306276532647e-08
NewStorageCapacity,EL65,BATTERY_STORAGE_NEW,2023,1.2167533997199948e-10
NewStorageCapacity,EL65,BATTERY_STORAGE_NEW,2025,3.221444408803045e-11
NewStorageCapacity,EL65,BATTERY_STORAGE_NEW,2030,4.776857268622184e-10
NewStorageCapacity,EL65,BATTERY_STORAGE_NEW,2035,8.965629579411987e-10
NewStorageCapacity,EL65,BATTERY_STORAGE_NEW,2040,4.4381550500834265e-09
NewStorageCapacity,EL65,BATTERY_STORAGE_NEW,2045,5.071364944970547e-08
NewStorageCapacity,EL65,BATTERY_STORAGE_NEW,2050,0.015603274806286652
NewStorageCapacity,EL65,HPS_STORAGE_NEW,2023,6.565730991883598e-10
NewStorageCapacity,EL65,HPS_STORAGE_NEW,2025,4.248071968578742e-13
NewStorageCapacity,EL65,HPS_STORAGE_NEW,2030,5.790639305138761e-10
NewStorageCapacity,EL65,HPS_STORAGE_NEW,2035,1.404660921390299e-09
NewStorageCapacity,EL65,HPS_STORAGE_NEW,2040,4.595144871945959e-09
NewStorageCapacity,EL65,HPS_STORAGE_NEW,2045,5.932081370348631e-09
NewStorageCapacity,EL65,HPS_STORAGE_NEW,2050,1.2006151038321147e-07
NewStorageCapacity,KARPATHOS,BATTERY_STORAGE_NEW,2023,1.168510238950359e-10
NewStorageCapacity,KARPATHOS,BATTERY_STORAGE_NEW,2025,9.696063006845936e-13
NewStorageCapacity,KARPATHOS,BATTERY_STORAGE_NEW,2030,9.754213992778501e-05
NewStorageCapacity,KARPATHOS,BATTERY_STORAGE_NEW,2035,0.000942583308953573
NewStorageCapacity,KARPATHOS,BATTERY_STORAGE_NEW,2040,0.0001655889595638693
NewStorageCapacity,KARPATHOS,BATTERY_STORAGE_NEW,2045,0.00012355122559853251
NewStorageCapacity,KARPATHOS,BATTERY_STORAGE_NEW,2050,0.0015350139235766058
NewStorageCapacity,KOS,BATTERY_STORAGE_NEW,2023,1.1929462979682372e-10
NewStorageCapacity,KOS,BATTERY_STORAGE_NEW,2025,9.25156013206228e-13
NewStorageCapacity,KOS,BATTERY_STORAGE_NEW,2030,0.001354431840491539
NewStorageCapacity,KOS,BATTERY_STORAGE_NEW,2035,8.686920486563168e-13
NewStorageCapacity,KOS,BATTERY_STORAGE_NEW,2040,0.0007131049832962367
NewStorageCapacity,KOS,BATTERY_STORAGE_NEW,2045,0.0035177890519766043
NewStorageCapacity,KOS,BATTERY_STORAGE_NEW,2050,0.00014784469435354756
NewStorageCapacity,LEMNOS,BATTERY_STORAGE_NEW,2023,1.1689210664144978e-10
NewStorageCapacity,LEMNOS,BATTERY_STORAGE_NEW,2025,9.708002639365573e-13
NewStorageCapacity,LEMNOS,BATTERY_STORAGE_NEW,2030,0.0002415240327943123
NewStorageCapacity,LEMNOS,BATTERY_STORAGE_NEW,2035,0.0010436206388417166
NewStorageCapacity,LEMNOS,BATTERY_STORAGE_NEW,2040,0.0004078947808918102
NewStorageCapacity,LEMNOS,BATTERY_STORAGE_NEW,2045,0.0008026753780089464
NewStorageCapacity,LEMNOS,BATTERY_STORAGE_NEW,2050,0.0004774650681318964
NewStorageCapacity,LESVOS,BATTERY_STORAGE_NEW,2023,1.2028323737730722e-10
NewStorageCapacity,LESVOS,BATTERY_STORAGE_NEW,2025,1.0986456413127974e-12
NewStorageCapacity,LESVOS,BATTERY_STORAGE_NEW,2030,0.0004547624848013355
NewStorageCapacity,LESVOS,BATTERY_STORAGE_NEW,2035,7.215360762446974e-13
NewStorageCapacity,LESVOS,BATTERY_STORAGE_NEW,2040,6.5186890472955554e-12
NewStorageCapacity,LESVOS,BATTERY_STORAGE_NEW,2045,0.0003801574910632622
NewStorageCapacity,LESVOS,BATTERY_STORAGE_NEW,2050,3.2926190903626244e-09
NewStorageCapacity,RODOS,BATTERY_STORAGE_NEW,2023,1.1929333554208064e-10
NewStorageCapacity,RODOS,BATTERY_STORAGE_NEW,2025,9.258317707466178e-13
NewStorageCapacity,RODOS,BATTERY_STORAGE_NEW,2030,0.00019903711546280688
NewStorageCapacity,RODOS,BATTERY_STORAGE_NEW,2035,3.188919828393844e-12
NewStorageCapacity,RODOS,BATTERY_STORAGE_NEW,2040,0.0002273318612637559
NewStorageCapacity,RODOS,BATTERY_STORAGE_NEW,2045,0.0010581692389654302
NewStorageCapacity,RODOS,BATTERY_STORAGE_NEW,2050,2.383728423740791e-10
NewStorageCapacity,SAMOS,BATTERY_STORAGE_NEW,2023,1.2020342459930915e-10
NewStorageCapacity,SAMOS,BATTERY_STORAGE_NEW,2025,1.759101591323017e-12
NewStorageCapacity,SAMOS,BATTERY_STORAGE_NEW,2030,0.0003446853934725001
NewStorageCapacity,SAMOS,BATTERY_STORAGE_NEW,2035,1.4371387607634179e-12
NewStorageCapacity,SAMOS,BATTERY_STORAGE_NEW,2040,1.476303499215052e-11
NewStorageCapacity,SAMOS,BATTERY_STORAGE_NEW,2045,0.0009406640857303248
NewStorageCapacity,SAMOS,BATTERY_STORAGE_NEW,2050,2.6664242614812035e-10
NewStorageCapacity,SERIFOS,BATTERY_STORAGE_NEW,2023,1.1829459619573707e-10
NewStorageCapacity,SERIFOS,BATTERY_STORAGE_NEW,2025,1.0883993261321777e-12
NewStorageCapacity,SERIFOS,BATTERY_STORAGE_NEW,2030,0.0008019522847307475
NewStorageCapacity,SERIFOS,BATTERY_STORAGE_NEW,2035,1.4150437758608221e-12
NewStorageCapacity,SERIFOS,BATTERY_STORAGE_NEW,2040,7.819705031953982e-12
NewStorageCapacity,SERIFOS,BATTERY_STORAGE_NEW,2045,0.0008172367888749026
NewStorageCapacity,SERIFOS,BATTERY_STORAGE_NEW,2050,0.00044477090617019274
NewStorageCapacity,SKYROS,BATTERY_STORAGE_NEW,2023,1.171843757890129e-10
NewStorageCapacity,SKYROS,BATTERY_STORAGE_NEW,2025,1.0112687627163157e-12
NewStorageCapacity,SKYROS,BATTERY_STORAGE_NEW,2030,3.701439935749082e-05
NewStorageCapacity,SKYROS,BATTERY_STORAGE_NEW,2035,0.0027575418531951964
NewStorageCapacity,SKYROS,BATTERY_STORAGE_NEW,2040,8.487003225879179e-12
NewStorageCapacity,SKYROS,BATTERY_STORAGE_NEW,2045,3.1304542491162354e-05
NewStorageCapacity,SKYROS,BATTERY_STORAGE_NEW,2050,0.0026774154811780226
NewStorageCapacity,THIRA,BATTERY_STORAGE_NEW,2023,1.1928381018324286e-10
NewStorageCapacity,THIRA,BATTERY_STORAGE_NEW,2025,9.248341763369432e-13
NewStorageCapacity,THIRA,BATTERY_STORAGE_NEW,2030,1.1922314229142752e-09
NewStorageCapacity,THIRA,BATTERY_STORAGE_NEW,2035,2.5017192203152536e-09
NewStorageCapacity,THIRA,BATTERY_STORAGE_NEW,2040,0.00020593489233253874
NewStorageCapacity,THIRA,BATTERY_STORAGE_NEW,2045,0.0006648950227082855
NewStorageCapacity,THIRA,BATTERY_STORAGE_NEW,2050,0.0005817822857664376
