VARIABLE,REGION,TECHNOLOGY,YEAR,VALUE
ObjFunction,CHIOS,Batteries_New,2023,3.828601012615433e-06
ObjFunction,CHIOS,Batteries_New,2025,7.355044391868416e-06
ObjFunction,CHIOS,Batteries_New,2030,2.2840665693740796
ObjFunction,CHIOS,Batteries_New,2035,1.580603758062265
ObjFunction,CHIOS,Batteries_New,2040,1.0757300762608182
ObjFunction,CHIOS,Batteries_New,2045,0.04028277909032872
ObjFunction,CHIOS,Batteries_New,2050,0.0076904738387340715
ObjFunction,CHIOS,Chios,2023,21.48214927891198
ObjFunction,CHIOS,Chios,2025,42.709652987020846
ObjFunction,CHIOS,Chios,2030,13.152396283084363
ObjFunction,CHIOS,Chios,2035,4.703122783980657
ObjFunction,CHIOS,Chios,2040,3.20086870592965
ObjFunction,CHIOS,Chios,2045,2.2410560942977327
ObjFunction,CHIOS,Chios,2050,0.37891176039986213
ObjFunction,CHIOS,Elec_Network,2023,3.279015155957669
ObjFunction,CHIOS,Elec_Network,2025,7.128690935176091
ObjFunction,CHIOS,Elec_Network,2030,5.356185089378927
ObjFunction,CHIOS,Elec_Network,2035,4.381975386473165
ObjFunction,CHIOS,Elec_Network,2040,2.997605196185292
ObjFunction,CHIOS,Elec_Network,2045,2.350513022666446
ObjFunction,CHIOS,Elec_Network,2050,0.5112288625796095
ObjFunction,CHIOS,OffshoreWind,2023,0.0
ObjFunction,CHIOS,OffshoreWind,2025,0.0
ObjFunction,CHIOS,OffshoreWind,2030,0.0
ObjFunction,CHIOS,OffshoreWind,2035,0.0
ObjFunction,CHIOS,OffshoreWind,2040,0.0
ObjFunction,CHIOS,OffshoreWind,2045,0.0
ObjFunction,CHIOS,OffshoreWind,2050,0.0
ObjFunction,CHIOS,OilImports,2023,34.922396367158214
ObjFunction,CHIOS,OilImports,2025,105.61498560719949
ObjFunction,CHIOS,OilImports,2030,20.249609809367097
ObjFunction,CHIOS,OilImports,2035,7.314802503259275e-06
ObjFunction,CHIOS,OilImports,2040,4.789720954485298e-06
ObjFunction,CHIOS,OilImports,2045,0.04145947684550917
ObjFunction,CHIOS,OilImports,2050,0.01135099300415207
ObjFunction,CHIOS,PV,2023,0.0
ObjFunction,CHIOS,PV,2025,0.0
ObjFunction,CHIOS,PV,2030,10.853680646235631
ObjFunction,CHIOS,PV,2035,10.980802850691948
ObjFunction,CHIOS,PV,2040,8.015550801854953
ObjFunction,CHIOS,PV,2045,5.403159327032641
ObjFunction,CHIOS,PV,2050,0.9101088965858687
ObjFunction,CHIOS,PV_Ex,2023,0.1340894850275252
ObjFunction,CHIOS,PV_Ex,2025,0.2560658054047853
ObjFunction,CHIOS,PV_Ex,2030,0.17425859001345065
ObjFunction,CHIOS,PV_Ex,2035,0.11437302847186454
ObjFunction,CHIOS,PV_Ex,2040,0.07495777685738302
ObjFunction,CHIOS,PV_Ex,2045,0.049052881333496896
ObjFunction,CHIOS,PV_Ex,2050,0.007769800217130784
ObjFunction,CHIOS,RooftopPV,2023,0.0
ObjFunction,CHIOS,RooftopPV,2025,0.0
ObjFunction,CHIOS,RooftopPV,2030,1.1595983945608206e-05
ObjFunction,CHIOS,RooftopPV,2035,0.00017916870209687074
ObjFunction,CHIOS,RooftopPV,2040,3.185548262258541
ObjFunction,CHIOS,RooftopPV,2045,2.951132285131129
ObjFunction,CHIOS,RooftopPV,2050,0.48692227525848475
ObjFunction,CHIOS,RooftopPV_Ex,2023,0.2564553734718028
ObjFunction,CHIOS,RooftopPV_Ex,2025,0.48354591982544404
ObjFunction,CHIOS,RooftopPV_Ex,2030,0.3037854737310402
ObjFunction,CHIOS,RooftopPV_Ex,2035,0.20675128899439016
ObjFunction,CHIOS,RooftopPV_Ex,2040,0.1407108451106661
ObjFunction,CHIOS,RooftopPV_Ex,2045,0.09576485229796779
ObjFunction,CHIOS,RooftopPV_Ex,2050,0.015800876532926812
ObjFunction,CHIOS,Wind,2023,0.0
ObjFunction,CHIOS,Wind,2025,0.0
