VARIABLE,REGION,YEAR,VALUE
ObjFunctionCurtailment,CHIOS,2023,3.206113252480345e-07
ObjFunctionCurtailment,CHIOS,2025,2.684096398321884e-07
ObjFunctionCurtailment,CHIOS,2030,1.3896990331430594
ObjFunctionCurtailment,CHIOS,2035,0.20062994110452903
ObjFunctionCurtailment,CHIOS,2040,0.16060272367299858
ObjFunctionCurtailment,CHIOS,2045,0.15464774333543407
ObjFunctionCurtailment,CHIOS,2050,0.026375982078495133
ObjFunctionCurtailment,Crete,2023,4.191695440985337e-07
ObjFunctionCurtailment,Crete,2025,0.09258731636405663
ObjFunctionCurtailment,Crete,2030,10.596621358109664
ObjFunctionCurtailment,Crete,2035,14.003042747443128
ObjFunctionCurtailment,Crete,2040,12.570053666116765
ObjFunctionCurtailment,Crete,2045,14.236036966600915
ObjFunctionCurtailment,Crete,2050,2.7369288162246836
ObjFunctionCurtailment,EL30,2023,3.229273222548737
ObjFunctionCurtailment,EL30,2025,7.67283808723983
ObjFunctionCurtailment,EL30,2030,8.316734384699314
ObjFunctionCurtailment,EL30,2035,14.971911155239148
ObjFunctionCurtailment,EL30,2040,6.749231311964215
ObjFunctionCurtailment,EL30,2045,6.5995913701058315
ObjFunctionCurtailment,EL30,2050,1.7778556387194187
ObjFunctionCurtailment,EL51,2023,0.014050310098963886
ObjFunctionCurtailment,EL51,2025,0.8576085764366576
ObjFunctionCurtailment,EL51,2030,1.9774197419143045
ObjFunctionCurtailment,EL51,2035,5.0839551618984355
ObjFunctionCurtailment,EL51,2040,6.34727341747157
ObjFunctionCurtailment,EL51,2045,8.088085856142685
ObjFunctionCurtailment,EL51,2050,2.7849728464373342
ObjFunctionCurtailment,EL52,2023,0.15916356042870686
ObjFunctionCurtailment,EL52,2025,0.6257436542587784
ObjFunctionCurtailment,EL52,2030,1.338822368020307
ObjFunctionCurtailment,EL52,2035,5.164733358083813
ObjFunctionCurtailment,EL52,2040,15.074454699576304
ObjFunctionCurtailment,EL52,2045,23.137150171436346
ObjFunctionCurtailment,EL52,2050,5.245795981532825
ObjFunctionCurtailment,EL53,2023,0.030695839093614306
ObjFunctionCurtailment,EL53,2025,0.6820013092365834
ObjFunctionCurtailment,EL53,2030,2.273019516194034
ObjFunctionCurtailment,EL53,2035,2.4917499815710595
ObjFunctionCurtailment,EL53,2040,1.95690541195304
ObjFunctionCurtailment,EL53,2045,1.6125942574352656
ObjFunctionCurtailment,EL53,2050,0.2899010131068933
ObjFunctionCurtailment,EL54,2023,0.10045344701112599
ObjFunctionCurtailment,EL54,2025,0.5947336650841575
ObjFunctionCurtailment,EL54,2030,1.2100300445792995
ObjFunctionCurtailment,EL54,2035,1.1830964220508657
ObjFunctionCurtailment,EL54,2040,1.1046448721161786
ObjFunctionCurtailment,EL54,2045,1.4903983856607326
ObjFunctionCurtailment,EL54,2050,1.1302098111691692
ObjFunctionCurtailment,EL61,2023,14.309429233450203
