VARIABLE,REGION,INTERCONNECTION,YEAR,VALUE
ObjFunctionInter,EL51,BULGARIA,2023,-243.42759313839696
ObjFunctionInter,EL51,BULGARIA,2025,-1220.6530710644645
ObjFunctionInter,EL51,BULGARIA,2030,-912.4876794951267
ObjFunctionInter,EL51,BULGARIA,2035,-767.8767425921264
ObjFunctionInter,EL51,BULGARIA,2040,-683.5397393737128
ObjFunctionInter,EL51,BULGARIA,2045,-576.5096599444694
ObjFunctionInter,EL51,BULGARIA,2050,-128.33513500676568
ObjFunctionInter,EL51,TURKEY,2023,-7.513687201423592
ObjFunctionInter,EL51,TURKEY,2025,-386.71517645056144
ObjFunctionInter,EL51,TURKEY,2030,-104.73512467543571
ObjFunctionInter,EL51,TURKEY,2035,5.226350224326898
ObjFunctionInter,EL51,TURKEY,2040,57.92240633722879
ObjFunctionInter,EL51,TURKEY,2045,45.22281394611269
ObjFunctionInter,EL51,TURKEY,2050,8.676959425091326
ObjFunctionInter,EL52,BULGARIA,2023,-180.31765080493818
ObjFunctionInter,EL52,BULGARIA,2025,-870.1436138629696
ObjFunctionInter,EL52,BULGARIA,2030,-641.8736738932978
ObjFunctionInter,EL52,BULGARIA,2035,-551.8780238532858
ObjFunctionInter,EL52,BULGARIA,2040,-475.9327620312106
ObjFunctionInter,EL52,BULGARIA,2045,-374.70404707368147
ObjFunctionInter,EL52,BULGARIA,2050,-76.1585020519008
ObjFunctionInter,EL53,ALBANIA,2023,-572.7599224786646
ObjFunctionInter,EL53,ALBANIA,2025,-1943.076647792184
ObjFunctionInter,EL53,ALBANIA,2030,-1276.3776191120396
ObjFunctionInter,EL53,ALBANIA,2035,-874.9524479834859
ObjFunctionInter,EL53,ALBANIA,2040,-526.8822445443969
ObjFunctionInter,EL53,ALBANIA,2045,-352.5253028742529
ObjFunctionInter,EL53,ALBANIA,2050,-61.76512666033143
ObjFunctionInter,EL53,NORTH_MACEDONIA,2023,182.14362473441838
ObjFunctionInter,EL53,NORTH_MACEDONIA,2025,-1012.1474175415299
ObjFunctionInter,EL53,NORTH_MACEDONIA,2030,-820.2661426589934
ObjFunctionInter,EL53,NORTH_MACEDONIA,2035,-728.4076273274969
ObjFunctionInter,EL53,NORTH_MACEDONIA,2040,-595.9267618423955
ObjFunctionInter,EL53,NORTH_MACEDONIA,2045,-428.527345014113
ObjFunctionInter,EL53,NORTH_MACEDONIA,2050,-73.89051096817644
ObjFunctionInter,EL54,ALBANIA,2023,-55.16322758427447
ObjFunctionInter,EL54,ALBANIA,2025,-187.5254080978006
ObjFunctionInter,EL54,ALBANIA,2030,-124.99443349163462
ObjFunctionInter,EL54,ALBANIA,2035,-86.89403492528197
ObjFunctionInter,EL54,ALBANIA,2040,-52.915982542971385
ObjFunctionInter,EL54,ALBANIA,2045,-33.61605538689878
ObjFunctionInter,EL54,ALBANIA,2050,-5.91749697298369
ObjFunctionInter,EL54,ITALY,2023,-284.0244343434038
ObjFunctionInter,EL54,ITALY,2025,-1292.6676020295508
ObjFunctionInter,EL54,ITALY,2030,-900.104578710754
ObjFunctionInter,EL54,ITALY,2035,-642.9592886721958
ObjFunctionInter,EL54,ITALY,2040,-466.3027782146315
ObjFunctionInter,EL54,ITALY,2045,-323.08062711506875
ObjFunctionInter,EL54,ITALY,2050,-56.079662363771156
