VARIABLE,REGION,STORAGE,YEAR,VALUE
ObjFunctionStor,CHIOS,BATTERY_STORAGE_NEW,2023,2.807737098304481e-06
ObjFunctionStor,CHIOS,BATTERY_STORAGE_NEW,2025,5.40287647726861e-06
ObjFunctionStor,CHIOS,BATTERY_STORAGE_NEW,2030,9.453803081071264
ObjFunctionStor,CHIOS,BATTERY_STORAGE_NEW,2035,6.434099534904045
ObjFunctionStor,CHIOS,BATTERY_STORAGE_NEW,2040,4.378938378497952
ObjFunctionStor,CHIOS,BATTERY_STORAGE_NEW,2045,0.038117202365016215
ObjFunctionStor,CHIOS,BATTERY_STORAGE_NEW,2050,0.006290590243773986
ObjFunctionStor,Crete,BATTERY_STORAGE_NEW,2023,2.917096320761167e-06
ObjFunctionStor,Crete,BATTERY_STORAGE_NEW,2025,1.0437865676578491e-05
ObjFunctionStor,Crete,BATTERY_STORAGE_NEW,2030,3.068469185850081e-05
ObjFunctionStor,Crete,BATTERY_STORAGE_NEW,2035,0.0009056687633836778
ObjFunctionStor,Crete,BATTERY_STORAGE_NEW,2040,99.91895994565391
ObjFunctionStor,Crete,BATTERY_STORAGE_NEW,2045,101.9569932232915
ObjFunctionStor,Crete,BATTERY_STORAGE_NEW,2050,25.394772971595923
ObjFunctionStor,EL30,BATTERY_STORAGE_NEW,2023,2.8838157836684737e-06
ObjFunctionStor,EL30,BATTERY_STORAGE_NEW,2025,6.77645173256678e-06
ObjFunctionStor,EL30,BATTERY_STORAGE_NEW,2030,1.5321011924859427e-05
ObjFunctionStor,EL30,BATTERY_STORAGE_NEW,2035,8.331420243332627
ObjFunctionStor,EL30,BATTERY_STORAGE_NEW,2040,13.585303063616873
ObjFunctionStor,EL30,BATTERY_STORAGE_NEW,2045,14.506339315220862
ObjFunctionStor,EL30,BATTERY_STORAGE_NEW,2050,2.1247738173243924
ObjFunctionStor,EL30,HPS_STORAGE_NEW,2023,-0.0
ObjFunctionStor,EL30,HPS_STORAGE_NEW,2025,-0.0
ObjFunctionStor,EL30,HPS_STORAGE_NEW,2030,-0.0
ObjFunctionStor,EL30,HPS_STORAGE_NEW,2035,-0.0
ObjFunctionStor,EL30,HPS_STORAGE_NEW,2040,-0.0
ObjFunctionStor,EL30,HPS_STORAGE_NEW,2045,-0.0
ObjFunctionStor,EL30,HPS_STORAGE_NEW,2050,-0.0
ObjFunctionStor,EL51,BATTERY_STORAGE_NEW,2023,2.830145002001859e-06
ObjFunctionStor,EL51,BATTERY_STORAGE_NEW,2025,6.604726483017647e-06
ObjFunctionStor,EL51,BATTERY_STORAGE_NEW,2030,1.2534059981271696e-05
ObjFunctionStor,EL51,BATTERY_STORAGE_NEW,2035,1.8869496375225782e-05
ObjFunctionStor,EL51,BATTERY_STORAGE_NEW,2040,4.7133610823306415e-05
ObjFunctionStor,EL51,BATTERY_STORAGE_NEW,2045,0.00015229982375245966
ObjFunctionStor,EL51,BATTERY_STORAGE_NEW,2050,0.7260265686201972
ObjFunctionStor,EL51,HPS_STORAGE_NEW,2023,-0.0
ObjFunctionStor,EL51,HPS_STORAGE_NEW,2025,-0.0
ObjFunctionStor,EL51,HPS_STORAGE_NEW,2030,-0.0
ObjFunctionStor,EL51,HPS_STORAGE_NEW,2035,-0.0
ObjFunctionStor,EL51,HPS_STORAGE_NEW,2040,-0.0
ObjFunctionStor,EL51,HPS_STORAGE_NEW,2045,-0.0
ObjFunctionStor,EL51,HPS_STORAGE_NEW,2050,-0.0
ObjFunctionStor,EL51,Thisavros_S,2023,-0.0
ObjFunctionStor,EL51,Thisavros_S,2025,-0.0
ObjFunctionStor,EL51,Thisavros_S,2030,-0.0
ObjFunctionStor,EL51,Thisavros_S,2035,-0.0
ObjFunctionStor,EL51,Thisavros_S,2040,-0.0
ObjFunctionStor,EL51,Thisavros_S,2045,-0.0
ObjFunctionStor,EL51,Thisavros_S,2050,-0.0
ObjFunctionStor,EL52,BATTERY_STORAGE_NEW,2023,2.8294040042466324e-06
