VARIABLE,REGION,YEAR,VALUE
ObjFunctionSurplus,CHIOS,2023,1.0218400467158044e-05
ObjFunctionSurplus,CHIOS,2025,1.0209165570014576e-05
ObjFunctionSurplus,CHIOS,2030,1.0230276466731209e-05
ObjFunctionSurplus,CHIOS,2035,1.0239994477107075e-05
ObjFunctionSurplus,CHIOS,2040,1.0240799813795243e-05
ObjFunctionSurplus,CHIOS,2045,1.0242660931250882e-05
ObjFunctionSurplus,CHIOS,2050,1.0242901580387376e-05
ObjFunctionSurplus,Crete,2023,1.0219367888502939e-05
ObjFunctionSurplus,Crete,2025,1.0216965622316209e-05
ObjFunctionSurplus,Crete,2030,1.0239839806868073e-05
ObjFunctionSurplus,Crete,2035,1.0238137535204438e-05
ObjFunctionSurplus,Crete,2040,1.0238350811755016e-05
ObjFunctionSurplus,Crete,2045,1.0238904686290467e-05
ObjFunctionSurplus,Crete,2050,1.0234514267655062e-05
ObjFunctionSurplus,EL30,2023,1.1284838631870136e-05
ObjFunctionSurplus,EL30,2025,1.1288371700150593e-05
ObjFunctionSurplus,EL30,2030,1.1290223271170893e-05
ObjFunctionSurplus,EL30,2035,1.1287962418607532e-05
ObjFunctionSurplus,EL30,2040,1.1288220575506739e-05
ObjFunctionSurplus,EL30,2045,1.1288469097564274e-05
ObjFunctionSurplus,EL30,2050,1.1285940823372482e-05
ObjFunctionSurplus,EL51,2023,1.1285845173006276e-05
ObjFunctionSurplus,EL51,2025,1.1288849728820912e-05
ObjFunctionSurplus,EL51,2030,1.1290564843307046e-05
ObjFunctionSurplus,EL51,2035,1.128906327947226e-05
ObjFunctionSurplus,EL51,2040,1.1289281981196193e-05
ObjFunctionSurplus,EL51,2045,1.1291461233946897e-05
ObjFunctionSurplus,EL51,2050,1.1296024873935654e-05
ObjFunctionSurplus,EL52,2023,1.229189290476371e-05
ObjFunctionSurplus,EL52,2025,1.2294474992646259e-05
ObjFunctionSurplus,EL52,2030,1.2296192789608226e-05
ObjFunctionSurplus,EL52,2035,1.2293237145226446e-05
ObjFunctionSurplus,EL52,2040,1.2294773262968462e-05
ObjFunctionSurplus,EL52,2045,1.229664746754896e-05
