VARIABLE,REGION,TECHNOLOGY,YEAR,VALUE
TotalCapacityAnnual,CHIOS,Batteries_New,2023,3.345287652185967e-08
TotalCapacityAnnual,CHIOS,Batteries_New,2025,3.370298887774326e-08
TotalCapacityAnnual,CHIOS,Batteries_New,2030,0.026365423099797412
TotalCapacityAnnual,CHIOS,Batteries_New,2035,0.026831814591222015
TotalCapacityAnnual,CHIOS,Batteries_New,2040,0.026831781538482143
TotalCapacityAnnual,CHIOS,Batteries_New,2045,0.0004707832238522088
TotalCapacityAnnual,CHIOS,Batteries_New,2050,0.00047093370352985534
TotalCapacityAnnual,CHIOS,Chios,2023,0.078
TotalCapacityAnnual,CHIOS,Chios,2025,0.078
TotalCapacityAnnual,CHIOS,Chios,2030,0.078
TotalCapacityAnnual,CHIOS,Chios,2035,0.078
TotalCapacityAnnual,CHIOS,Chios,2040,0.078
TotalCapacityAnnual,CHIOS,Chios,2045,0.078
TotalCapacityAnnual,CHIOS,Chios,2050,0.078
TotalCapacityAnnual,CHIOS,Elec_Network,2023,0.40000000000658276
TotalCapacityAnnual,CHIOS,Elec_Network,2025,0.4000000000086269
TotalCapacityAnnual,CHIOS,Elec_Network,2030,0.40000000001300734
TotalCapacityAnnual,CHIOS,Elec_Network,2035,0.40000000002383373
TotalCapacityAnnual,CHIOS,Elec_Network,2040,0.4000000000407969
TotalCapacityAnnual,CHIOS,Elec_Network,2045,0.40000000007516223
TotalCapacityAnnual,CHIOS,Elec_Network,2050,0.4000000004241097
TotalCapacityAnnual,CHIOS,OffshoreWind,2023,0.0
TotalCapacityAnnual,CHIOS,OffshoreWind,2025,0.0
TotalCapacityAnnual,CHIOS,OffshoreWind,2030,0.0
TotalCapacityAnnual,CHIOS,OffshoreWind,2035,0.0
TotalCapacityAnnual,CHIOS,OffshoreWind,2040,0.0
TotalCapacityAnnual,CHIOS,OffshoreWind,2045,0.0
TotalCapacityAnnual,CHIOS,OffshoreWind,2050,0.0
TotalCapacityAnnual,CHIOS,OilImports,2023,99999.0
TotalCapacityAnnual,CHIOS,OilImports,2025,99999.0
TotalCapacityAnnual,CHIOS,OilImports,2030,99999.0
TotalCapacityAnnual,CHIOS,OilImports,2035,99999.0
TotalCapacityAnnual,CHIOS,OilImports,2040,99999.0
TotalCapacityAnnual,CHIOS,OilImports,2045,99999.0
TotalCapacityAnnual,CHIOS,OilImports,2050,99999.0
TotalCapacityAnnual,CHIOS,PV,2023,0.0
TotalCapacityAnnual,CHIOS,PV,2025,0.0
TotalCapacityAnnual,CHIOS,PV,2030,0.08343043441969572
TotalCapacityAnnual,CHIOS,PV,2035,0.13454589871475214
TotalCapacityAnnual,CHIOS,PV,2040,0.14898876405839068
TotalCapacityAnnual,CHIOS,PV,2045,0.1489887911448457
TotalCapacityAnnual,CHIOS,PV,2050,0.15320174119395133
TotalCapacityAnnual,CHIOS,PV_Ex,2023,0.00517
TotalCapacityAnnual,CHIOS,PV_Ex,2025,0.00517
TotalCapacityAnnual,CHIOS,PV_Ex,2030,0.00517
TotalCapacityAnnual,CHIOS,PV_Ex,2035,0.00517
TotalCapacityAnnual,CHIOS,PV_Ex,2040,0.00517
TotalCapacityAnnual,CHIOS,PV_Ex,2045,0.00517
TotalCapacityAnnual,CHIOS,PV_Ex,2050,0.00517
TotalCapacityAnnual,CHIOS,RoR,2023,0.0
TotalCapacityAnnual,CHIOS,RoR,2025,0.0
TotalCapacityAnnual,CHIOS,RoR,2030,0.0
TotalCapacityAnnual,CHIOS,RoR,2035,0.0
TotalCapacityAnnual,CHIOS,RoR,2040,0.0
TotalCapacityAnnual,CHIOS,RoR,2045,0.0
TotalCapacityAnnual,CHIOS,RoR,2050,0.0
TotalCapacityAnnual,CHIOS,RoR_Ex,2023,0.0
TotalCapacityAnnual,CHIOS,RoR_Ex,2025,0.0
TotalCapacityAnnual,CHIOS,RoR_Ex,2030,0.0
TotalCapacityAnnual,CHIOS,RoR_Ex,2035,0.0
TotalCapacityAnnual,CHIOS,RoR_Ex,2040,0.0
TotalCapacityAnnual,CHIOS,RoR_Ex,2045,0.0
TotalCapacityAnnual,CHIOS,RoR_Ex,2050,0.0
TotalCapacityAnnual,CHIOS,RooftopPV,2023,0.0
TotalCapacityAnnual,CHIOS,RooftopPV,2025,0.0
TotalCapacityAnnual,CHIOS,RooftopPV,2030,3.6556450709548936e-08
TotalCapacityAnnual,CHIOS,RooftopPV,2035,2.3753821251923683e-07
TotalCapacityAnnual,CHIOS,RooftopPV,2040,0.031984063392999834
TotalCapacityAnnual,CHIOS,RooftopPV,2045,0.050225298437720126
TotalCapacityAnnual,CHIOS,RooftopPV,2050,0.05022530052603696
TotalCapacityAnnual,CHIOS,RooftopPV_Ex,2023,0.00701
TotalCapacityAnnual,CHIOS,RooftopPV_Ex,2025,0.00701
TotalCapacityAnnual,CHIOS,RooftopPV_Ex,2030,0.00701
TotalCapacityAnnual,CHIOS,RooftopPV_Ex,2035,0.00701
TotalCapacityAnnual,CHIOS,RooftopPV_Ex,2040,0.00701
TotalCapacityAnnual,CHIOS,RooftopPV_Ex,2045,0.00701
TotalCapacityAnnual,CHIOS,RooftopPV_Ex,2050,0.00701
TotalCapacityAnnual,CHIOS,Wind,2023,0.0
TotalCapacityAnnual,CHIOS,Wind,2025,0.0
TotalCapacityAnnual,CHIOS,Wind,2030,0.02906877832951643
TotalCapacityAnnual,CHIOS,Wind,2035,0.029068778489308215
TotalCapacityAnnual,CHIOS,Wind,2040,0.029068778731584772
TotalCapacityAnnual,CHIOS,Wind,2045,0.02906877898695335
TotalCapacityAnnual,CHIOS,Wind,2050,0.029068782818603665
TotalCapacityAnnual,CHIOS,Wind_Ex,2023,0.01044
TotalCapacityAnnual,CHIOS,Wind_Ex,2025,0.01044
TotalCapacityAnnual,CHIOS,Wind_Ex,2030,0.01044
TotalCapacityAnnual,CHIOS,Wind_Ex,2035,0.01044
TotalCapacityAnnual,CHIOS,Wind_Ex,2040,0.01044
TotalCapacityAnnual,CHIOS,Wind_Ex,2045,0.01044
TotalCapacityAnnual,CHIOS,Wind_Ex,2050,0.01044
TotalCapacityAnnual,Crete,Atherinolakos,2023,0.195
TotalCapacityAnnual,Crete,Atherinolakos,2025,0.195
TotalCapacityAnnual,Crete,Atherinolakos,2030,0.195
TotalCapacityAnnual,Crete,Atherinolakos,2035,0.195
TotalCapacityAnnual,Crete,Atherinolakos,2040,0.195
TotalCapacityAnnual,Crete,Atherinolakos,2045,0.195
TotalCapacityAnnual,Crete,Atherinolakos,2050,0.195
TotalCapacityAnnual,Crete,Atherinolakos_Diesel,2023,0.02558
TotalCapacityAnnual,Crete,Atherinolakos_Diesel,2025,0.02558
TotalCapacityAnnual,Crete,Atherinolakos_Diesel,2030,0.02558
TotalCapacityAnnual,Crete,Atherinolakos_Diesel,2035,0.02558
TotalCapacityAnnual,Crete,Atherinolakos_Diesel,2040,0.02558
TotalCapacityAnnual,Crete,Atherinolakos_Diesel,2045,0.02558
