VARIABLE,REGION,INTERCONNECTION,FUEL,YEAR,VALUE
TotalCapacityInterconnection,EL51,BULGARIA,Elec_Transmission,2023,1.9300000000000002
TotalCapacityInterconnection,EL51,BULGARIA,Elec_Transmission,2025,1.9300000000000002
TotalCapacityInterconnection,EL51,BULGARIA,Elec_Transmission,2030,1.9300000000000002
TotalCapacityInterconnection,EL51,BULGARIA,Elec_Transmission,2035,1.9300000000000002
TotalCapacityInterconnection,EL51,BULGARIA,Elec_Transmission,2040,1.9300000000000002
TotalCapacityInterconnection,EL51,BULGARIA,Elec_Transmission,2045,1.9300000000000002
TotalCapacityInterconnection,EL51,BULGARIA,Elec_Transmission,2050,1.9300000000000002
TotalCapacityInterconnection,EL51,TURKEY,Elec_Transmission,2023,1.9300000000000002
TotalCapacityInterconnection,EL51,TURKEY,Elec_Transmission,2025,1.9300000000000002
TotalCapacityInterconnection,EL51,TURKEY,Elec_Transmission,2030,1.9300000000000002
TotalCapacityInterconnection,EL51,TURKEY,Elec_Transmission,2035,1.9300000000000002
TotalCapacityInterconnection,EL51,TURKEY,Elec_Transmission,2040,1.9300000000000002
TotalCapacityInterconnection,EL51,TURKEY,Elec_Transmission,2045,1.9300000000000002
TotalCapacityInterconnection,EL51,TURKEY,Elec_Transmission,2050,1.9300000000000002
TotalCapacityInterconnection,EL52,BULGARIA,Elec_Transmission,2023,1.35
TotalCapacityInterconnection,EL52,BULGARIA,Elec_Transmission,2025,1.35
TotalCapacityInterconnection,EL52,BULGARIA,Elec_Transmission,2030,1.35
TotalCapacityInterconnection,EL52,BULGARIA,Elec_Transmission,2035,1.35
TotalCapacityInterconnection,EL52,BULGARIA,Elec_Transmission,2040,1.35
TotalCapacityInterconnection,EL52,BULGARIA,Elec_Transmission,2045,1.35
TotalCapacityInterconnection,EL52,BULGARIA,Elec_Transmission,2050,1.35
TotalCapacityInterconnection,EL53,ALBANIA,Elec_Transmission,2023,1.35
TotalCapacityInterconnection,EL53,ALBANIA,Elec_Transmission,2025,1.35
TotalCapacityInterconnection,EL53,ALBANIA,Elec_Transmission,2030,1.35
TotalCapacityInterconnection,EL53,ALBANIA,Elec_Transmission,2035,1.35
TotalCapacityInterconnection,EL53,ALBANIA,Elec_Transmission,2040,1.35
TotalCapacityInterconnection,EL53,ALBANIA,Elec_Transmission,2045,1.35
TotalCapacityInterconnection,EL53,ALBANIA,Elec_Transmission,2050,1.35
TotalCapacityInterconnection,EL53,NORTH_MACEDONIA,Elec_Transmission,2023,2.7
TotalCapacityInterconnection,EL53,NORTH_MACEDONIA,Elec_Transmission,2025,2.7
TotalCapacityInterconnection,EL53,NORTH_MACEDONIA,Elec_Transmission,2030,2.7
TotalCapacityInterconnection,EL53,NORTH_MACEDONIA,Elec_Transmission,2035,2.7
TotalCapacityInterconnection,EL53,NORTH_MACEDONIA,Elec_Transmission,2040,2.7
TotalCapacityInterconnection,EL53,NORTH_MACEDONIA,Elec_Transmission,2045,2.7
TotalCapacityInterconnection,EL53,NORTH_MACEDONIA,Elec_Transmission,2050,2.7
TotalCapacityInterconnection,EL54,ALBANIA,Elec_Transmission,2023,0.133
TotalCapacityInterconnection,EL54,ALBANIA,Elec_Transmission,2025,0.133
TotalCapacityInterconnection,EL54,ALBANIA,Elec_Transmission,2030,0.133
TotalCapacityInterconnection,EL54,ALBANIA,Elec_Transmission,2035,0.133
TotalCapacityInterconnection,EL54,ALBANIA,Elec_Transmission,2040,0.133
TotalCapacityInterconnection,EL54,ALBANIA,Elec_Transmission,2045,0.133
TotalCapacityInterconnection,EL54,ALBANIA,Elec_Transmission,2050,0.133
TotalCapacityInterconnection,EL54,ITALY,Elec_Transmission,2023,0.5
TotalCapacityInterconnection,EL54,ITALY,Elec_Transmission,2025,0.5
TotalCapacityInterconnection,EL54,ITALY,Elec_Transmission,2030,0.5
TotalCapacityInterconnection,EL54,ITALY,Elec_Transmission,2035,0.5
TotalCapacityInterconnection,EL54,ITALY,Elec_Transmission,2040,0.5
TotalCapacityInterconnection,EL54,ITALY,Elec_Transmission,2045,0.5
TotalCapacityInterconnection,EL54,ITALY,Elec_Transmission,2050,0.5
