VARIABLE,REGION,TECHNOLOGY,YEAR,VALUE
vAnnCapex,CHIOS,Batteries_New,2023,2.0674445468123337e-06
vAnnCapex,CHIOS,Batteries_New,2025,2.079802968030216e-06
vAnnCapex,CHIOS,Batteries_New,2030,0.9489961053698694
vAnnCapex,CHIOS,Batteries_New,2035,0.9649336692281073
vAnnCapex,CHIOS,Batteries_New,2040,0.9649316216920553
vAnnCapex,CHIOS,Batteries_New,2045,0.05309228655983078
vAnnCapex,CHIOS,Batteries_New,2050,0.061431977748546196
vAnnCapex,CHIOS,Chios,2023,-0.0
vAnnCapex,CHIOS,Chios,2025,-0.0
vAnnCapex,CHIOS,Chios,2030,-0.0
vAnnCapex,CHIOS,Chios,2035,-0.0
vAnnCapex,CHIOS,Chios,2040,-0.0
vAnnCapex,CHIOS,Chios,2045,-0.0
vAnnCapex,CHIOS,Chios,2050,-0.0
vAnnCapex,CHIOS,Elec_Network,2023,6.0047591122894e-10
vAnnCapex,CHIOS,Elec_Network,2025,8.507583861819724e-10
vAnnCapex,CHIOS,Elec_Network,2030,1.3186504629454625e-09
vAnnCapex,CHIOS,Elec_Network,2035,2.424668878342096e-09
vAnnCapex,CHIOS,Elec_Network,2040,4.185555172308101e-09
vAnnCapex,CHIOS,Elec_Network,2045,7.833776798826523e-09
vAnnCapex,CHIOS,Elec_Network,2050,4.216795707239673e-08
vAnnCapex,CHIOS,OffshoreWind,2023,0.0
vAnnCapex,CHIOS,OffshoreWind,2025,0.0
vAnnCapex,CHIOS,OffshoreWind,2030,0.0
vAnnCapex,CHIOS,OffshoreWind,2035,0.0
vAnnCapex,CHIOS,OffshoreWind,2040,0.0
vAnnCapex,CHIOS,OffshoreWind,2045,0.0
vAnnCapex,CHIOS,OffshoreWind,2050,0.0
vAnnCapex,CHIOS,OilImports,2023,-0.0
vAnnCapex,CHIOS,OilImports,2025,-0.0
vAnnCapex,CHIOS,OilImports,2030,-0.0
vAnnCapex,CHIOS,OilImports,2035,-0.0
vAnnCapex,CHIOS,OilImports,2040,-0.0
vAnnCapex,CHIOS,OilImports,2045,-0.0
vAnnCapex,CHIOS,OilImports,2050,-0.0
vAnnCapex,CHIOS,PV,2023,0.0
vAnnCapex,CHIOS,PV,2025,0.0
vAnnCapex,CHIOS,PV,2030,3.358439161732302
vAnnCapex,CHIOS,PV,2035,5.004637977397694
vAnnCapex,CHIOS,PV,2040,5.403976016757829
vAnnCapex,CHIOS,PV,2045,5.403986514870785
vAnnCapex,CHIOS,PV,2050,5.556807056338228
vAnnCapex,CHIOS,PV_Ex,2023,-0.0
vAnnCapex,CHIOS,PV_Ex,2025,-0.0
vAnnCapex,CHIOS,PV_Ex,2030,-0.0
vAnnCapex,CHIOS,PV_Ex,2035,-0.0
vAnnCapex,CHIOS,PV_Ex,2040,-0.0
vAnnCapex,CHIOS,PV_Ex,2045,-0.0
vAnnCapex,CHIOS,PV_Ex,2050,-0.0
vAnnCapex,CHIOS,RooftopPV,2023,0.0
vAnnCapex,CHIOS,RooftopPV,2025,0.0
vAnnCapex,CHIOS,RooftopPV,2030,3.8440232536702906e-06
vAnnCapex,CHIOS,RooftopPV,2035,8.59939900666612e-05
vAnnCapex,CHIOS,RooftopPV,2040,2.204963143794636
vAnnCapex,CHIOS,RooftopPV,2045,2.985234502476011
vAnnCapex,CHIOS,RooftopPV,2050,2.9852345561736104
vAnnCapex,CHIOS,RooftopPV_Ex,2023,-0.0
vAnnCapex,CHIOS,RooftopPV_Ex,2025,-0.0
vAnnCapex,CHIOS,RooftopPV_Ex,2030,-0.0
vAnnCapex,CHIOS,RooftopPV_Ex,2035,-0.0
vAnnCapex,CHIOS,RooftopPV_Ex,2040,-0.0
vAnnCapex,CHIOS,RooftopPV_Ex,2045,-0.0
vAnnCapex,CHIOS,RooftopPV_Ex,2050,-0.0
vAnnCapex,CHIOS,Wind,2023,0.0
vAnnCapex,CHIOS,Wind,2025,0.0
vAnnCapex,CHIOS,Wind,2030,4.232332785783414
vAnnCapex,CHIOS,Wind,2035,4.232332818266969
vAnnCapex,CHIOS,Wind,2040,4.232332894948584
vAnnCapex,CHIOS,Wind,2045,4.232332950969052
vAnnCapex,CHIOS,Wind,2050,4.232333867992314
vAnnCapex,CHIOS,Wind_Ex,2023,-0.0
vAnnCapex,CHIOS,Wind_Ex,2025,-0.0
vAnnCapex,CHIOS,Wind_Ex,2030,-0.0
vAnnCapex,CHIOS,Wind_Ex,2035,-0.0
vAnnCapex,CHIOS,Wind_Ex,2040,-0.0
vAnnCapex,CHIOS,Wind_Ex,2045,-0.0
vAnnCapex,CHIOS,Wind_Ex,2050,-0.0
vAnnCapex,Crete,Atherinolakos,2023,-0.0
vAnnCapex,Crete,Atherinolakos,2025,-0.0
vAnnCapex,Crete,Atherinolakos,2030,-0.0
vAnnCapex,Crete,Atherinolakos,2035,-0.0
vAnnCapex,Crete,Atherinolakos,2040,-0.0
vAnnCapex,Crete,Atherinolakos,2045,-0.0
vAnnCapex,Crete,Atherinolakos,2050,-0.0
vAnnCapex,Crete,Atherinolakos_Diesel,2023,-0.0
vAnnCapex,Crete,Atherinolakos_Diesel,2025,-0.0
vAnnCapex,Crete,Atherinolakos_Diesel,2030,-0.0
vAnnCapex,Crete,Atherinolakos_Diesel,2035,-0.0
vAnnCapex,Crete,Atherinolakos_Diesel,2040,-0.0
vAnnCapex,Crete,Atherinolakos_Diesel,2045,-0.0
vAnnCapex,Crete,Atherinolakos_Diesel,2050,-0.0
vAnnCapex,Crete,Batteries_New,2023,2.154020191561774e-06
vAnnCapex,Crete,Batteries_New,2025,2.710514407780469e-06
vAnnCapex,Crete,Batteries_New,2030,9.944234089555779e-06
vAnnCapex,Crete,Batteries_New,2035,1.4484303428599796
vAnnCapex,Crete,Batteries_New,2040,28.390836630285747
vAnnCapex,Crete,Batteries_New,2045,46.05984600887679
vAnnCapex,Crete,Batteries_New,2050,67.2097716826775
vAnnCapex,Crete,Elec_Network,2023,4.873857728505728e-10
vAnnCapex,Crete,Elec_Network,2025,7.36980620432178e-10
vAnnCapex,Crete,Elec_Network,2030,1.1682903141855358e-09
vAnnCapex,Crete,Elec_Network,2035,2.210408436594091e-09
vAnnCapex,Crete,Elec_Network,2040,3.892719118868147e-09
vAnnCapex,Crete,Elec_Network,2045,7.30443532884107e-09
vAnnCapex,Crete,Elec_Network,2050,3.9416122306976764e-08
vAnnCapex,Crete,Linoperamata,2023,-0.0
vAnnCapex,Crete,Linoperamata,2025,-0.0
vAnnCapex,Crete,Linoperamata,2030,-0.0
vAnnCapex,Crete,Linoperamata,2035,-0.0
vAnnCapex,Crete,Linoperamata,2040,-0.0
vAnnCapex,Crete,Linoperamata,2045,-0.0
vAnnCapex,Crete,Linoperamata,2050,-0.0
vAnnCapex,Crete,OffshoreWind,2023,0.0
vAnnCapex,Crete,OffshoreWind,2025,0.0
vAnnCapex,Crete,OffshoreWind,2030,8.947233453072496e-06
vAnnCapex,Crete,OffshoreWind,2035,4.914018198936819e-05
vAnnCapex,Crete,OffshoreWind,2040,84.64276126780244
vAnnCapex,Crete,OffshoreWind,2045,132.12854424310177
vAnnCapex,Crete,OffshoreWind,2050,148.9633058293358
vAnnCapex,Crete,OilImports,2023,-0.0
vAnnCapex,Crete,OilImports,2025,-0.0
vAnnCapex,Crete,OilImports,2030,-0.0
vAnnCapex,Crete,OilImports,2035,-0.0
vAnnCapex,Crete,OilImports,2040,-0.0
vAnnCapex,Crete,OilImports,2045,-0.0
