VARIABLE,REGION,STORAGE,YEAR,VALUE
vAnnCapexStor,CHIOS,BATTERY_STORAGE_NEW,2023,2.232429836355062e-06
vAnnCapexStor,CHIOS,BATTERY_STORAGE_NEW,2025,2.248646677843564e-06
vAnnCapexStor,CHIOS,BATTERY_STORAGE_NEW,2030,3.8117826696424224
vAnnCapexStor,CHIOS,BATTERY_STORAGE_NEW,2035,3.8117826768342464
vAnnCapexStor,CHIOS,BATTERY_STORAGE_NEW,2040,3.8117804901861145
vAnnCapexStor,CHIOS,BATTERY_STORAGE_NEW,2045,0.16766066734632876
vAnnCapexStor,CHIOS,BATTERY_STORAGE_NEW,2050,0.16820606641185207
vAnnCapexStor,CHIOS,HPS_STORAGE_NEW,2023,-0.0
vAnnCapexStor,CHIOS,HPS_STORAGE_NEW,2025,-0.0
vAnnCapexStor,CHIOS,HPS_STORAGE_NEW,2030,-0.0
vAnnCapexStor,CHIOS,HPS_STORAGE_NEW,2035,-0.0
vAnnCapexStor,CHIOS,HPS_STORAGE_NEW,2040,-0.0
vAnnCapexStor,CHIOS,HPS_STORAGE_NEW,2045,-0.0
vAnnCapexStor,CHIOS,HPS_STORAGE_NEW,2050,-0.0
vAnnCapexStor,CHIOS,Sfikia_S,2023,-0.0
vAnnCapexStor,CHIOS,Sfikia_S,2025,-0.0
vAnnCapexStor,CHIOS,Sfikia_S,2030,-0.0
vAnnCapexStor,CHIOS,Sfikia_S,2035,-0.0
vAnnCapexStor,CHIOS,Sfikia_S,2040,-0.0
vAnnCapexStor,CHIOS,Sfikia_S,2045,-0.0
vAnnCapexStor,CHIOS,Sfikia_S,2050,-0.0
vAnnCapexStor,CHIOS,Thisavros_S,2023,-0.0
vAnnCapexStor,CHIOS,Thisavros_S,2025,-0.0
vAnnCapexStor,CHIOS,Thisavros_S,2030,-0.0
vAnnCapexStor,CHIOS,Thisavros_S,2035,-0.0
vAnnCapexStor,CHIOS,Thisavros_S,2040,-0.0
vAnnCapexStor,CHIOS,Thisavros_S,2045,-0.0
vAnnCapexStor,CHIOS,Thisavros_S,2050,-0.0
vAnnCapexStor,Crete,BATTERY_STORAGE_NEW,2023,2.3257773460481606e-06
vAnnCapexStor,Crete,BATTERY_STORAGE_NEW,2025,4.374017846530092e-06
vAnnCapexStor,Crete,BATTERY_STORAGE_NEW,2030,1.9504928255433414e-05
vAnnCapexStor,Crete,BATTERY_STORAGE_NEW,2035,3.8854683907481466
vAnnCapexStor,Crete,BATTERY_STORAGE_NEW,2040,82.50050802521804
vAnnCapexStor,Crete,BATTERY_STORAGE_NEW,2045,130.01998222556742
vAnnCapexStor,Crete,BATTERY_STORAGE_NEW,2050,198.16733849695117
vAnnCapexStor,Crete,HPS_STORAGE_NEW,2023,-0.0
vAnnCapexStor,Crete,HPS_STORAGE_NEW,2025,-0.0
vAnnCapexStor,Crete,HPS_STORAGE_NEW,2030,-0.0
vAnnCapexStor,Crete,HPS_STORAGE_NEW,2035,-0.0
vAnnCapexStor,Crete,HPS_STORAGE_NEW,2040,-0.0
vAnnCapexStor,Crete,HPS_STORAGE_NEW,2045,-0.0
vAnnCapexStor,Crete,HPS_STORAGE_NEW,2050,-0.0
vAnnCapexStor,Crete,Sfikia_S,2023,-0.0
vAnnCapexStor,Crete,Sfikia_S,2025,-0.0
vAnnCapexStor,Crete,Sfikia_S,2030,-0.0
vAnnCapexStor,Crete,Sfikia_S,2035,-0.0
vAnnCapexStor,Crete,Sfikia_S,2040,-0.0
vAnnCapexStor,Crete,Sfikia_S,2045,-0.0
vAnnCapexStor,Crete,Sfikia_S,2050,-0.0
vAnnCapexStor,Crete,Thisavros_S,2023,-0.0
vAnnCapexStor,Crete,Thisavros_S,2025,-0.0
vAnnCapexStor,Crete,Thisavros_S,2030,-0.0
vAnnCapexStor,Crete,Thisavros_S,2035,-0.0
vAnnCapexStor,Crete,Thisavros_S,2040,-0.0
vAnnCapexStor,Crete,Thisavros_S,2045,-0.0
vAnnCapexStor,Crete,Thisavros_S,2050,-0.0
vAnnCapexStor,EL30,BATTERY_STORAGE_NEW,2023,2.5927664786810206e-06
vAnnCapexStor,EL30,BATTERY_STORAGE_NEW,2025,2.8978213725150964e-06
vAnnCapexStor,EL30,BATTERY_STORAGE_NEW,2030,9.608575491982394e-06
vAnnCapexStor,EL30,BATTERY_STORAGE_NEW,2035,2.5449870181663634
vAnnCapexStor,EL30,BATTERY_STORAGE_NEW,2040,6.097533480522102
vAnnCapexStor,EL30,BATTERY_STORAGE_NEW,2045,9.668714029974758
vAnnCapexStor,EL30,BATTERY_STORAGE_NEW,2050,23.34881986837778
vAnnCapexStor,EL30,HPS_STORAGE_NEW,2023,-0.0
vAnnCapexStor,EL30,HPS_STORAGE_NEW,2025,-0.0
vAnnCapexStor,EL30,HPS_STORAGE_NEW,2030,-0.0
vAnnCapexStor,EL30,HPS_STORAGE_NEW,2035,-0.0
vAnnCapexStor,EL30,HPS_STORAGE_NEW,2040,-0.0
vAnnCapexStor,EL30,HPS_STORAGE_NEW,2045,-0.0
vAnnCapexStor,EL30,HPS_STORAGE_NEW,2050,-0.0
vAnnCapexStor,EL30,Sfikia_S,2023,-0.0
vAnnCapexStor,EL30,Sfikia_S,2025,-0.0
vAnnCapexStor,EL30,Sfikia_S,2030,-0.0
vAnnCapexStor,EL30,Sfikia_S,2035,-0.0
vAnnCapexStor,EL30,Sfikia_S,2040,-0.0
vAnnCapexStor,EL30,Sfikia_S,2045,-0.0
vAnnCapexStor,EL30,Sfikia_S,2050,-0.0
vAnnCapexStor,EL30,Thisavros_S,2023,-0.0
vAnnCapexStor,EL30,Thisavros_S,2025,-0.0
vAnnCapexStor,EL30,Thisavros_S,2030,-0.0
vAnnCapexStor,EL30,Thisavros_S,2035,-0.0
vAnnCapexStor,EL30,Thisavros_S,2040,-0.0
vAnnCapexStor,EL30,Thisavros_S,2045,-0.0
vAnnCapexStor,EL30,Thisavros_S,2050,-0.0
vAnnCapexStor,EL51,BATTERY_STORAGE_NEW,2023,2.24069066452656e-06
vAnnCapexStor,EL51,BATTERY_STORAGE_NEW,2025,2.7520419457389084e-06
vAnnCapexStor,EL51,BATTERY_STORAGE_NEW,2030,7.667889930928616e-06
vAnnCapexStor,EL51,BATTERY_STORAGE_NEW,2035,1.5586636638184678e-05
vAnnCapexStor,EL51,BATTERY_STORAGE_NEW,2040,5.5771460136716535e-05
vAnnCapexStor,EL51,BATTERY_STORAGE_NEW,2045,0.00017038954684105964
vAnnCapexStor,EL51,BATTERY_STORAGE_NEW,2050,12.261946575709707
vAnnCapexStor,EL51,HPS_STORAGE_NEW,2023,-0.0
vAnnCapexStor,EL51,HPS_STORAGE_NEW,2025,-0.0
vAnnCapexStor,EL51,HPS_STORAGE_NEW,2030,-0.0
vAnnCapexStor,EL51,HPS_STORAGE_NEW,2035,-0.0
vAnnCapexStor,EL51,HPS_STORAGE_NEW,2040,-0.0
vAnnCapexStor,EL51,HPS_STORAGE_NEW,2045,-0.0
vAnnCapexStor,EL51,HPS_STORAGE_NEW,2050,-0.0
vAnnCapexStor,EL51,Sfikia_S,2023,-0.0
vAnnCapexStor,EL51,Sfikia_S,2025,-0.0
vAnnCapexStor,EL51,Sfikia_S,2030,-0.0
vAnnCapexStor,EL51,Sfikia_S,2035,-0.0
vAnnCapexStor,EL51,Sfikia_S,2040,-0.0
vAnnCapexStor,EL51,Sfikia_S,2045,-0.0
vAnnCapexStor,EL51,Sfikia_S,2050,-0.0
vAnnCapexStor,EL51,Thisavros_S,2023,-0.0
vAnnCapexStor,EL51,Thisavros_S,2025,-0.0
vAnnCapexStor,EL51,Thisavros_S,2030,-0.0
vAnnCapexStor,EL51,Thisavros_S,2035,-0.0
vAnnCapexStor,EL51,Thisavros_S,2040,-0.0
vAnnCapexStor,EL51,Thisavros_S,2045,-0.0
vAnnCapexStor,EL51,Thisavros_S,2050,-0.0
vAnnCapexStor,EL52,BATTERY_STORAGE_NEW,2023,2.2433491372742367e-06
vAnnCapexStor,EL52,BATTERY_STORAGE_NEW,2025,2.7597882683551144e-06
vAnnCapexStor,EL52,BATTERY_STORAGE_NEW,2030,8.20711909512075e-06
vAnnCapexStor,EL52,BATTERY_STORAGE_NEW,2035,1.665915054828232e-05
vAnnCapexStor,EL52,BATTERY_STORAGE_NEW,2040,0.0001701493816924928
vAnnCapexStor,EL52,BATTERY_STORAGE_NEW,2045,51.24322489890528
vAnnCapexStor,EL52,BATTERY_STORAGE_NEW,2050,57.14587798457656
vAnnCapexStor,EL52,HPS_STORAGE_NEW,2023,-0.0
vAnnCapexStor,EL52,HPS_STORAGE_NEW,2025,-0.0
vAnnCapexStor,EL52,HPS_STORAGE_NEW,2030,-0.0
vAnnCapexStor,EL52,HPS_STORAGE_NEW,2035,-0.0
vAnnCapexStor,EL52,HPS_STORAGE_NEW,2040,-0.0
vAnnCapexStor,EL52,HPS_STORAGE_NEW,2045,-0.0
vAnnCapexStor,EL52,HPS_STORAGE_NEW,2050,-0.0
vAnnCapexStor,EL52,Sfikia_S,2023,-0.0
vAnnCapexStor,EL52,Sfikia_S,2025,-0.0
vAnnCapexStor,EL52,Sfikia_S,2030,-0.0
vAnnCapexStor,EL52,Sfikia_S,2035,-0.0
vAnnCapexStor,EL52,Sfikia_S,2040,-0.0
vAnnCapexStor,EL52,Sfikia_S,2045,-0.0
vAnnCapexStor,EL52,Sfikia_S,2050,-0.0
vAnnCapexStor,EL52,Thisavros_S,2023,-0.0
vAnnCapexStor,EL52,Thisavros_S,2025,-0.0
vAnnCapexStor,EL52,Thisavros_S,2030,-0.0
vAnnCapexStor,EL52,Thisavros_S,2035,-0.0
vAnnCapexStor,EL52,Thisavros_S,2040,-0.0
vAnnCapexStor,EL52,Thisavros_S,2045,-0.0
vAnnCapexStor,EL52,Thisavros_S,2050,-0.0
vAnnCapexStor,EL53,BATTERY_STORAGE_NEW,2023,2.234974780021455e-06
vAnnCapexStor,EL53,BATTERY_STORAGE_NEW,2025,2.7306048072790973e-06
vAnnCapexStor,EL53,BATTERY_STORAGE_NEW,2030,8.599930441369008e-06
vAnnCapexStor,EL53,BATTERY_STORAGE_NEW,2035,1.734445384973945e-05
vAnnCapexStor,EL53,BATTERY_STORAGE_NEW,2040,5.0837997663507276e-05
vAnnCapexStor,EL53,BATTERY_STORAGE_NEW,2045,0.00028988419813629656
vAnnCapexStor,EL53,BATTERY_STORAGE_NEW,2050,0.0005052181566712287
vAnnCapexStor,EL53,HPS_STORAGE_NEW,2023,-0.0
vAnnCapexStor,EL53,HPS_STORAGE_NEW,2025,-0.0
vAnnCapexStor,EL53,HPS_STORAGE_NEW,2030,-0.0
vAnnCapexStor,EL53,HPS_STORAGE_NEW,2035,-0.0
vAnnCapexStor,EL53,HPS_STORAGE_NEW,2040,-0.0
vAnnCapexStor,EL53,HPS_STORAGE_NEW,2045,-0.0
vAnnCapexStor,EL53,HPS_STORAGE_NEW,2050,-0.0
vAnnCapexStor,EL53,Sfikia_S,2023,-0.0
vAnnCapexStor,EL53,Sfikia_S,2025,-0.0
vAnnCapexStor,EL53,Sfikia_S,2030,-0.0
vAnnCapexStor,EL53,Sfikia_S,2035,-0.0
vAnnCapexStor,EL53,Sfikia_S,2040,-0.0
vAnnCapexStor,EL53,Sfikia_S,2045,-0.0
vAnnCapexStor,EL53,Sfikia_S,2050,-0.0
vAnnCapexStor,EL53,Thisavros_S,2023,-0.0
vAnnCapexStor,EL53,Thisavros_S,2025,-0.0
vAnnCapexStor,EL53,Thisavros_S,2030,-0.0
vAnnCapexStor,EL53,Thisavros_S,2035,-0.0
vAnnCapexStor,EL53,Thisavros_S,2040,-0.0
vAnnCapexStor,EL53,Thisavros_S,2045,-0.0
vAnnCapexStor,EL53,Thisavros_S,2050,-0.0
vAnnCapexStor,EL54,BATTERY_STORAGE_NEW,2023,2.2194522769986067e-06
vAnnCapexStor,EL54,BATTERY_STORAGE_NEW,2025,2.725377493670685e-06
vAnnCapexStor,EL54,BATTERY_STORAGE_NEW,2030,8.42894724429673e-06
vAnnCapexStor,EL54,BATTERY_STORAGE_NEW,2035,1.6259441404707837e-05
vAnnCapexStor,EL54,BATTERY_STORAGE_NEW,2040,4.452311015322333e-05
vAnnCapexStor,EL54,BATTERY_STORAGE_NEW,2045,0.00015989629420693806
vAnnCapexStor,EL54,BATTERY_STORAGE_NEW,2050,38.119667825377576
vAnnCapexStor,EL54,HPS_STORAGE_NEW,2023,-0.0
vAnnCapexStor,EL54,HPS_STORAGE_NEW,2025,-0.0
vAnnCapexStor,EL54,HPS_STORAGE_NEW,2030,-0.0
vAnnCapexStor,EL54,HPS_STORAGE_NEW,2035,-0.0
vAnnCapexStor,EL54,HPS_STORAGE_NEW,2040,-0.0
vAnnCapexStor,EL54,HPS_STORAGE_NEW,2045,-0.0
vAnnCapexStor,EL54,HPS_STORAGE_NEW,2050,-0.0
vAnnCapexStor,EL54,Sfikia_S,2023,-0.0
vAnnCapexStor,EL54,Sfikia_S,2025,-0.0
vAnnCapexStor,EL54,Sfikia_S,2030,-0.0
vAnnCapexStor,EL54,Sfikia_S,2035,-0.0
vAnnCapexStor,EL54,Sfikia_S,2040,-0.0
vAnnCapexStor,EL54,Sfikia_S,2045,-0.0
vAnnCapexStor,EL54,Sfikia_S,2050,-0.0
vAnnCapexStor,EL54,Thisavros_S,2023,-0.0
vAnnCapexStor,EL54,Thisavros_S,2025,-0.0
vAnnCapexStor,EL54,Thisavros_S,2030,-0.0
vAnnCapexStor,EL54,Thisavros_S,2035,-0.0
vAnnCapexStor,EL54,Thisavros_S,2040,-0.0
vAnnCapexStor,EL54,Thisavros_S,2045,-0.0
vAnnCapexStor,EL54,Thisavros_S,2050,-0.0
vAnnCapexStor,EL61,BATTERY_STORAGE_NEW,2023,3.114231878029016e-06
vAnnCapexStor,EL61,BATTERY_STORAGE_NEW,2025,3.6917789435178644e-06
vAnnCapexStor,EL61,BATTERY_STORAGE_NEW,2030,1.527374206896288e-05
vAnnCapexStor,EL61,BATTERY_STORAGE_NEW,2035,4.431991791942999e-05
vAnnCapexStor,EL61,BATTERY_STORAGE_NEW,2040,10.048451081762927
vAnnCapexStor,EL61,BATTERY_STORAGE_NEW,2045,31.532020946226723
vAnnCapexStor,EL61,BATTERY_STORAGE_NEW,2050,39.004632357201636
vAnnCapexStor,EL61,HPS_STORAGE_NEW,2023,-0.0
vAnnCapexStor,EL61,HPS_STORAGE_NEW,2025,-0.0
vAnnCapexStor,EL61,HPS_STORAGE_NEW,2030,-0.0
vAnnCapexStor,EL61,HPS_STORAGE_NEW,2035,-0.0
vAnnCapexStor,EL61,HPS_STORAGE_NEW,2040,-0.0
vAnnCapexStor,EL61,HPS_STORAGE_NEW,2045,-0.0
vAnnCapexStor,EL61,HPS_STORAGE_NEW,2050,-0.0
vAnnCapexStor,EL61,Sfikia_S,2023,-0.0
vAnnCapexStor,EL61,Sfikia_S,2025,-0.0
vAnnCapexStor,EL61,Sfikia_S,2030,-0.0
vAnnCapexStor,EL61,Sfikia_S,2035,-0.0
vAnnCapexStor,EL61,Sfikia_S,2040,-0.0
vAnnCapexStor,EL61,Sfikia_S,2045,-0.0
vAnnCapexStor,EL61,Sfikia_S,2050,-0.0
vAnnCapexStor,EL61,Thisavros_S,2023,-0.0
vAnnCapexStor,EL61,Thisavros_S,2025,-0.0
vAnnCapexStor,EL61,Thisavros_S,2030,-0.0
vAnnCapexStor,EL61,Thisavros_S,2035,-0.0
vAnnCapexStor,EL61,Thisavros_S,2040,-0.0
vAnnCapexStor,EL61,Thisavros_S,2045,-0.0
vAnnCapexStor,EL61,Thisavros_S,2050,-0.0
vAnnCapexStor,EL62,BATTERY_STORAGE_NEW,2023,4.212303049000047e-06
vAnnCapexStor,EL62,BATTERY_STORAGE_NEW,2025,7.966526328698847e-06
vAnnCapexStor,EL62,BATTERY_STORAGE_NEW,2030,1.3896080058259547e-05
vAnnCapexStor,EL62,BATTERY_STORAGE_NEW,2035,2.390629947047584e-05
vAnnCapexStor,EL62,BATTERY_STORAGE_NEW,2040,0.0001268263660276078
vAnnCapexStor,EL62,BATTERY_STORAGE_NEW,2045,3.633435462931737
vAnnCapexStor,EL62,BATTERY_STORAGE_NEW,2050,12.45348361053104
vAnnCapexStor,EL62,HPS_STORAGE_NEW,2023,-0.0
vAnnCapexStor,EL62,HPS_STORAGE_NEW,2025,-0.0
vAnnCapexStor,EL62,HPS_STORAGE_NEW,2030,-0.0
vAnnCapexStor,EL62,HPS_STORAGE_NEW,2035,-0.0
vAnnCapexStor,EL62,HPS_STORAGE_NEW,2040,-0.0
vAnnCapexStor,EL62,HPS_STORAGE_NEW,2045,-0.0
vAnnCapexStor,EL62,HPS_STORAGE_NEW,2050,-0.0
vAnnCapexStor,EL62,Sfikia_S,2023,-0.0
vAnnCapexStor,EL62,Sfikia_S,2025,-0.0
vAnnCapexStor,EL62,Sfikia_S,2030,-0.0
vAnnCapexStor,EL62,Sfikia_S,2035,-0.0
vAnnCapexStor,EL62,Sfikia_S,2040,-0.0
vAnnCapexStor,EL62,Sfikia_S,2045,-0.0
vAnnCapexStor,EL62,Sfikia_S,2050,-0.0
vAnnCapexStor,EL62,Thisavros_S,2023,-0.0
vAnnCapexStor,EL62,Thisavros_S,2025,-0.0
vAnnCapexStor,EL62,Thisavros_S,2030,-0.0
vAnnCapexStor,EL62,Thisavros_S,2035,-0.0
vAnnCapexStor,EL62,Thisavros_S,2040,-0.0
vAnnCapexStor,EL62,Thisavros_S,2045,-0.0
vAnnCapexStor,EL62,Thisavros_S,2050,-0.0
vAnnCapexStor,EL63,BATTERY_STORAGE_NEW,2023,2.2356997688908614e-06
vAnnCapexStor,EL63,BATTERY_STORAGE_NEW,2025,2.7465540616538427e-06
vAnnCapexStor,EL63,BATTERY_STORAGE_NEW,2030,8.64109126554722e-06
vAnnCapexStor,EL63,BATTERY_STORAGE_NEW,2035,1.7761470189993746e-05
vAnnCapexStor,EL63,BATTERY_STORAGE_NEW,2040,4.8972065965504595e-05
vAnnCapexStor,EL63,BATTERY_STORAGE_NEW,2045,0.001012601934524109
vAnnCapexStor,EL63,BATTERY_STORAGE_NEW,2050,32.13865429223536
vAnnCapexStor,EL63,HPS_STORAGE_NEW,2023,-0.0
vAnnCapexStor,EL63,HPS_STORAGE_NEW,2025,-0.0
vAnnCapexStor,EL63,HPS_STORAGE_NEW,2030,-0.0
vAnnCapexStor,EL63,HPS_STORAGE_NEW,2035,-0.0
vAnnCapexStor,EL63,HPS_STORAGE_NEW,2040,-0.0
vAnnCapexStor,EL63,HPS_STORAGE_NEW,2045,-0.0
vAnnCapexStor,EL63,HPS_STORAGE_NEW,2050,-0.0
vAnnCapexStor,EL63,Sfikia_S,2023,-0.0
vAnnCapexStor,EL63,Sfikia_S,2025,-0.0
vAnnCapexStor,EL63,Sfikia_S,2030,-0.0
vAnnCapexStor,EL63,Sfikia_S,2035,-0.0
vAnnCapexStor,EL63,Sfikia_S,2040,-0.0
vAnnCapexStor,EL63,Sfikia_S,2045,-0.0
vAnnCapexStor,EL63,Sfikia_S,2050,-0.0
vAnnCapexStor,EL63,Thisavros_S,2023,-0.0
vAnnCapexStor,EL63,Thisavros_S,2025,-0.0
vAnnCapexStor,EL63,Thisavros_S,2030,-0.0
vAnnCapexStor,EL63,Thisavros_S,2035,-0.0
vAnnCapexStor,EL63,Thisavros_S,2040,-0.0
vAnnCapexStor,EL63,Thisavros_S,2045,-0.0
vAnnCapexStor,EL63,Thisavros_S,2050,-0.0
vAnnCapexStor,EL64,BATTERY_STORAGE_NEW,2023,2.23643479761437e-06
vAnnCapexStor,EL64,BATTERY_STORAGE_NEW,2025,2.765167923710899e-06
vAnnCapexStor,EL64,BATTERY_STORAGE_NEW,2030,8.737879505948366e-06
vAnnCapexStor,EL64,BATTERY_STORAGE_NEW,2035,1.6941443211427492e-05
vAnnCapexStor,EL64,BATTERY_STORAGE_NEW,2040,4.260081314196129e-05
vAnnCapexStor,EL64,BATTERY_STORAGE_NEW,2045,0.000144878582438401
vAnnCapexStor,EL64,BATTERY_STORAGE_NEW,2050,0.0012099039292105956
vAnnCapexStor,EL64,HPS_STORAGE_NEW,2023,-0.0
vAnnCapexStor,EL64,HPS_STORAGE_NEW,2025,-0.0
vAnnCapexStor,EL64,HPS_STORAGE_NEW,2030,-0.0
vAnnCapexStor,EL64,HPS_STORAGE_NEW,2035,-0.0
vAnnCapexStor,EL64,HPS_STORAGE_NEW,2040,-0.0
vAnnCapexStor,EL64,HPS_STORAGE_NEW,2045,-0.0
vAnnCapexStor,EL64,HPS_STORAGE_NEW,2050,-0.0
vAnnCapexStor,EL64,Sfikia_S,2023,-0.0
vAnnCapexStor,EL64,Sfikia_S,2025,-0.0
vAnnCapexStor,EL64,Sfikia_S,2030,-0.0
vAnnCapexStor,EL64,Sfikia_S,2035,-0.0
vAnnCapexStor,EL64,Sfikia_S,2040,-0.0
vAnnCapexStor,EL64,Sfikia_S,2045,-0.0
vAnnCapexStor,EL64,Sfikia_S,2050,-0.0
vAnnCapexStor,EL64,Thisavros_S,2023,-0.0
vAnnCapexStor,EL64,Thisavros_S,2025,-0.0
vAnnCapexStor,EL64,Thisavros_S,2030,-0.0
vAnnCapexStor,EL64,Thisavros_S,2035,-0.0
vAnnCapexStor,EL64,Thisavros_S,2040,-0.0
vAnnCapexStor,EL64,Thisavros_S,2045,-0.0
vAnnCapexStor,EL64,Thisavros_S,2050,-0.0
vAnnCapexStor,EL65,BATTERY_STORAGE_NEW,2023,2.23884856130024e-06
vAnnCapexStor,EL65,BATTERY_STORAGE_NEW,2025,2.727169266112073e-06
vAnnCapexStor,EL65,BATTERY_STORAGE_NEW,2030,8.406013875832085e-06
vAnnCapexStor,EL65,BATTERY_STORAGE_NEW,2035,1.7480665211248934e-05
vAnnCapexStor,EL65,BATTERY_STORAGE_NEW,2040,5.7754635684407826e-05
vAnnCapexStor,EL65,BATTERY_STORAGE_NEW,2045,1.2054261899892584
vAnnCapexStor,EL65,BATTERY_STORAGE_NEW,2050,64.14290790131606
vAnnCapexStor,EL65,HPS_STORAGE_NEW,2023,-0.0
vAnnCapexStor,EL65,HPS_STORAGE_NEW,2025,-0.0
vAnnCapexStor,EL65,HPS_STORAGE_NEW,2030,-0.0
vAnnCapexStor,EL65,HPS_STORAGE_NEW,2035,-0.0
vAnnCapexStor,EL65,HPS_STORAGE_NEW,2040,-0.0
vAnnCapexStor,EL65,HPS_STORAGE_NEW,2045,-0.0
vAnnCapexStor,EL65,HPS_STORAGE_NEW,2050,-0.0
vAnnCapexStor,EL65,Sfikia_S,2023,-0.0
vAnnCapexStor,EL65,Sfikia_S,2025,-0.0
vAnnCapexStor,EL65,Sfikia_S,2030,-0.0
vAnnCapexStor,EL65,Sfikia_S,2035,-0.0
vAnnCapexStor,EL65,Sfikia_S,2040,-0.0
vAnnCapexStor,EL65,Sfikia_S,2045,-0.0
vAnnCapexStor,EL65,Sfikia_S,2050,-0.0
vAnnCapexStor,EL65,Thisavros_S,2023,-0.0
vAnnCapexStor,EL65,Thisavros_S,2025,-0.0
vAnnCapexStor,EL65,Thisavros_S,2030,-0.0
vAnnCapexStor,EL65,Thisavros_S,2035,-0.0
vAnnCapexStor,EL65,Thisavros_S,2040,-0.0
vAnnCapexStor,EL65,Thisavros_S,2045,-0.0
vAnnCapexStor,EL65,Thisavros_S,2050,-0.0
